step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3905,0.8187,0.3905,0.3491,0.7893,7.2233,0.3735,0.3884,1.5126
1,0.4618,0.8918,0.4618,0.4299,0.7069,2.1078,0.4794,0.46,0.8547
2,0.531,0.9134,0.531,0.5081,0.64,1.8812,0.5422,0.529,0.9969
3,0.5715,0.9174,0.5715,0.5553,0.6017,1.794,0.5672,0.5688,1.0309
4,0.5877,0.9224,0.5877,0.5706,0.5878,1.7551,0.5822,0.5853,0.2995
5,0.615,0.9329,0.615,0.6004,0.5564,1.6062,0.6177,0.6126,0.8315
6,0.6285,0.9377,0.6285,0.6179,0.5393,1.5486,0.6369,0.6257,0.272
7,0.6333,0.9453,0.6333,0.6249,0.5286,1.4606,0.6467,0.6302,0.2804
8,0.648,0.9467,0.648,0.6424,0.5142,1.4324,0.6555,0.6456,0.4207
9,0.6533,0.9479,0.6533,0.646,0.5104,1.4165,0.6604,0.6508,0.401
10,0.6602,0.9499,0.6602,0.6542,0.4964,1.3817,0.6711,0.6576,0.3791
11,0.6662,0.9508,0.6662,0.6634,0.488,1.3631,0.6801,0.6636,0.2832
12,0.6713,0.9526,0.6713,0.6702,0.4777,1.3367,0.692,0.6689,0.801
13,0.679,0.9561,0.679,0.6778,0.4687,1.2886,0.6993,0.6765,1.1118
14,0.6835,0.9567,0.6835,0.6825,0.4623,1.2785,0.7058,0.6812,0.3379
15,0.6867,0.9577,0.6867,0.6852,0.456,1.263,0.7135,0.6843,0.3515
16,0.689,0.9599,0.689,0.6865,0.4542,1.2364,0.7164,0.6865,0.342
17,0.6922,0.9601,0.6922,0.6894,0.452,1.233,0.7156,0.69,0.3535
18,0.6957,0.961,0.6957,0.6927,0.4469,1.2164,0.7183,0.6935,0.536
19,0.6988,0.9614,0.6988,0.6958,0.4444,1.2083,0.7196,0.6967,0.812
20,0.7,0.9617,0.7,0.6977,0.4426,1.1985,0.7207,0.6977,0.5954
21,0.6982,0.9621,0.6982,0.6963,0.4373,1.1899,0.7251,0.6959,0.4338
22,0.7028,0.9627,0.7028,0.7011,0.4349,1.1805,0.7272,0.7008,0.9006
23,0.7045,0.9626,0.7045,0.7026,0.4358,1.1865,0.7279,0.7025,0.5764
24,0.7053,0.9629,0.7053,0.7038,0.4319,1.1797,0.7308,0.7033,0.3705
25,0.7078,0.9633,0.7078,0.7065,0.4291,1.1737,0.7332,0.7058,0.3553
26,0.7105,0.9636,0.7105,0.7084,0.428,1.1683,0.7343,0.7085,0.6071
27,0.7118,0.9646,0.7118,0.7096,0.4242,1.1501,0.7372,0.7098,0.3902
28,0.7128,0.9649,0.7128,0.7104,0.4216,1.1442,0.7393,0.7108,0.3261
29,0.7122,0.9653,0.7122,0.7098,0.4202,1.1415,0.7399,0.7101,0.3385
30,0.7132,0.9659,0.7132,0.7112,0.4169,1.1327,0.7416,0.7112,0.4027
31,0.7143,0.9663,0.7143,0.7124,0.416,1.1263,0.7431,0.7125,0.9994
32,0.7165,0.9664,0.7165,0.7148,0.4142,1.1281,0.7439,0.7146,0.3447
33,0.72,0.9677,0.72,0.7182,0.413,1.1064,0.7459,0.7182,0.8123
34,0.7212,0.9676,0.7212,0.7195,0.413,1.1088,0.7462,0.7193,0.8873
35,0.72,0.9681,0.72,0.7182,0.4104,1.1011,0.7482,0.7182,0.3747
36,0.7208,0.9685,0.7208,0.7186,0.4087,1.0955,0.7496,0.719,0.6235
37,0.7247,0.9693,0.7247,0.7222,0.4059,1.0796,0.7519,0.7228,0.9319
38,0.7233,0.9694,0.7233,0.7212,0.4047,1.0782,0.7538,0.7215,0.4019
39,0.723,0.9695,0.723,0.7205,0.4048,1.0779,0.7537,0.7212,0.5429
40,0.724,0.9699,0.724,0.7213,0.4045,1.0729,0.7527,0.7222,0.5187
41,0.7245,0.9703,0.7245,0.7217,0.4032,1.065,0.7533,0.7226,0.3709
42,0.7277,0.9708,0.7277,0.7251,0.4015,1.0549,0.7546,0.7258,0.396
43,0.7312,0.9709,0.7312,0.7289,0.3995,1.0492,0.7562,0.7293,0.4274
44,0.7308,0.971,0.7308,0.7286,0.3988,1.0484,0.7575,0.729,0.4013
45,0.7318,0.9712,0.7318,0.7298,0.3977,1.0455,0.7584,0.73,0.387
46,0.7318,0.9715,0.7318,0.7299,0.397,1.0408,0.7591,0.7299,0.4736
47,0.733,0.9715,0.733,0.731,0.3971,1.0423,0.7586,0.7311,0.4134
48,0.7343,0.9722,0.7343,0.7325,0.3957,1.0308,0.7603,0.7324,0.3511
49,0.7352,0.9726,0.7352,0.7334,0.3928,1.0217,0.7634,0.7332,0.46
50,0.7368,0.9728,0.7368,0.7348,0.3913,1.0172,0.7656,0.7349,0.3636
51,0.7388,0.973,0.7388,0.7368,0.3898,1.0126,0.7671,0.737,0.4175
52,0.7402,0.973,0.7402,0.738,0.3882,1.0105,0.7683,0.7383,1.3971
53,0.7405,0.9732,0.7405,0.7381,0.3878,1.0079,0.7689,0.7387,0.4371
54,0.7398,0.9733,0.7398,0.7372,0.388,1.0051,0.7685,0.7379,0.3939
55,0.7402,0.9734,0.7402,0.7379,0.3883,1.0066,0.769,0.7383,0.6894
56,0.7413,0.9737,0.7413,0.7393,0.3872,1.0005,0.7698,0.7395,0.4285
57,0.742,0.9739,0.742,0.7398,0.3867,0.9967,0.7699,0.7402,0.4827
58,0.7422,0.9739,0.7422,0.7398,0.3862,0.9959,0.7698,0.7403,0.4153
59,0.7418,0.9739,0.7418,0.7394,0.3864,0.9972,0.7694,0.74,0.4479
