step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2767,0.7711,0.2767,0.2466,0.8898,6.5581,0.2514,0.2775,0.0152
1,0.3368,0.8231,0.3368,0.3047,0.8203,3.8865,0.3232,0.3376,0.1722
2,0.375,0.8578,0.375,0.3486,0.7705,2.3655,0.4005,0.3748,0.076
3,0.423,0.8729,0.423,0.4033,0.7325,2.2328,0.4355,0.4213,0.0772
4,0.4455,0.8896,0.4455,0.4179,0.6966,2.1426,0.4817,0.4442,0.0822
5,0.4848,0.8998,0.4848,0.4611,0.6618,1.9964,0.5208,0.483,0.0892
6,0.499,0.9071,0.499,0.4753,0.6435,1.9092,0.5417,0.4969,0.1481
7,0.5187,0.9166,0.5187,0.4922,0.6164,1.808,0.5649,0.5171,0.1923
8,0.5245,0.9284,0.5245,0.499,0.6024,1.6897,0.58,0.5234,0.0964
9,0.5363,0.9328,0.5363,0.5185,0.5902,1.6264,0.5847,0.5357,0.1174
10,0.5535,0.9412,0.5535,0.5332,0.5658,1.5377,0.613,0.5527,0.1846
11,0.5762,0.9467,0.5762,0.5565,0.547,1.4498,0.6343,0.5754,0.1285
12,0.599,0.95,0.599,0.5791,0.5277,1.3918,0.6611,0.5983,0.1876
13,0.6043,0.9532,0.6043,0.5886,0.519,1.3472,0.6695,0.6035,0.2005
14,0.6078,0.9575,0.6078,0.5976,0.5095,1.2996,0.6848,0.6069,0.137
15,0.6197,0.9587,0.6197,0.6059,0.5006,1.2789,0.6911,0.6183,0.1936
16,0.6242,0.9595,0.6242,0.6119,0.4965,1.2667,0.694,0.6227,0.1295
17,0.6368,0.9616,0.6368,0.6299,0.4877,1.2322,0.7017,0.6353,0.1316
18,0.6387,0.9625,0.6387,0.6304,0.4851,1.2203,0.7033,0.637,0.1372
19,0.6463,0.965,0.6463,0.6376,0.4805,1.1961,0.7143,0.6447,0.1848
20,0.6513,0.9652,0.6513,0.6423,0.4753,1.1838,0.7193,0.6496,0.227
21,0.6647,0.9665,0.6647,0.6565,0.4625,1.1558,0.73,0.6631,0.1661
22,0.6603,0.9687,0.6603,0.6544,0.4589,1.1316,0.7353,0.6589,0.2275
23,0.6505,0.969,0.6505,0.6446,0.4648,1.1354,0.727,0.6491,0.1708
24,0.6572,0.9699,0.6572,0.651,0.4595,1.1216,0.737,0.6558,0.2348
25,0.6565,0.9701,0.6565,0.6508,0.4576,1.1153,0.7361,0.6552,0.1871
26,0.6618,0.9706,0.6618,0.6557,0.4547,1.1073,0.7403,0.6605,0.2194
27,0.668,0.9705,0.668,0.6639,0.4543,1.1051,0.738,0.6665,0.1999
28,0.678,0.9711,0.678,0.6735,0.4507,1.097,0.7417,0.6763,0.2492
29,0.6827,0.9715,0.6827,0.6772,0.4493,1.0916,0.7431,0.6809,0.2336
30,0.6878,0.9713,0.6878,0.6827,0.4464,1.0866,0.7428,0.6861,0.2421
31,0.687,0.9708,0.687,0.6823,0.4482,1.0915,0.7379,0.6854,0.2105
32,0.6857,0.9708,0.6857,0.6807,0.4489,1.0917,0.7371,0.6841,0.2104
33,0.682,0.9712,0.682,0.677,0.4482,1.0869,0.738,0.6804,0.2198
34,0.6845,0.9717,0.6845,0.6789,0.4471,1.0821,0.7385,0.683,0.2187
35,0.6902,0.9722,0.6902,0.6843,0.4434,1.0712,0.7414,0.6886,0.2115
36,0.6898,0.9724,0.6898,0.6839,0.4425,1.067,0.741,0.6882,0.2628
37,0.6917,0.9728,0.6917,0.6853,0.4417,1.0636,0.7416,0.69,0.2123
38,0.6905,0.9731,0.6905,0.6849,0.4411,1.0598,0.7425,0.6888,0.2335
39,0.6963,0.9732,0.6963,0.6908,0.44,1.0556,0.7427,0.6946,0.251
40,0.6932,0.9736,0.6932,0.6877,0.4394,1.0516,0.7427,0.6915,0.2358
41,0.698,0.9736,0.698,0.693,0.4385,1.0489,0.7442,0.6963,0.3039
42,0.7047,0.9738,0.7047,0.699,0.4363,1.0445,0.746,0.703,0.2439
43,0.7045,0.9742,0.7045,0.6993,0.4354,1.0414,0.7479,0.7029,0.3131
44,0.7022,0.9745,0.7022,0.6967,0.4358,1.0408,0.7491,0.7005,0.248
45,0.7008,0.9745,0.7008,0.696,0.4351,1.0393,0.75,0.6991,0.2844
46,0.7003,0.9747,0.7003,0.6953,0.4352,1.0377,0.7489,0.6986,0.2767
47,0.7018,0.9748,0.7018,0.6975,0.4334,1.0333,0.7504,0.7002,0.2821
48,0.7022,0.9749,0.7022,0.6978,0.4323,1.0305,0.7511,0.7005,0.2748
49,0.7045,0.9752,0.7045,0.7003,0.4308,1.0258,0.7525,0.7029,0.2801
50,0.7032,0.9753,0.7032,0.6992,0.4301,1.0229,0.7528,0.7016,0.254
51,0.7043,0.9756,0.7043,0.7007,0.4291,1.0187,0.754,0.7027,0.3336
52,0.702,0.9758,0.702,0.6981,0.4296,1.0179,0.7544,0.7002,0.32
53,0.7027,0.976,0.7027,0.6988,0.4287,1.0154,0.7563,0.7009,0.3551
54,0.7007,0.9758,0.7007,0.6965,0.4301,1.0175,0.7543,0.6989,0.4559
55,0.7017,0.976,0.7017,0.6979,0.428,1.0128,0.7562,0.7,0.3492
56,0.7018,0.976,0.7018,0.6979,0.4273,1.0104,0.7564,0.7001,0.3554
57,0.7038,0.9762,0.7038,0.7003,0.426,1.0077,0.7586,0.7022,0.3734
58,0.7043,0.9762,0.7043,0.7005,0.4252,1.0058,0.7588,0.7026,0.327
59,0.7052,0.9763,0.7052,0.701,0.4258,1.0052,0.7584,0.7035,0.4457
