step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3532,0.818,0.3532,0.3475,0.8563,6.0752,0.3775,0.3517,12.6714
1,0.4628,0.886,0.4628,0.4402,0.7033,3.2601,0.5035,0.4606,7.7275
2,0.5243,0.9198,0.5243,0.5073,0.6337,1.8681,0.5863,0.5222,8.0231
3,0.5663,0.9262,0.5663,0.5532,0.5917,1.7879,0.6221,0.565,6.9353
4,0.6245,0.9327,0.6245,0.6305,0.5331,1.5897,0.6683,0.6236,7.4311
5,0.6497,0.9361,0.6497,0.6551,0.5025,1.5315,0.686,0.6485,6.7716
6,0.6668,0.9397,0.6668,0.6728,0.4866,1.4857,0.6861,0.6653,7.1144
7,0.6793,0.9387,0.6793,0.6874,0.478,1.4949,0.691,0.678,6.6805
8,0.691,0.942,0.691,0.697,0.4644,1.4485,0.7005,0.6898,7.2162
9,0.6865,0.941,0.6865,0.6919,0.4652,1.4772,0.7058,0.6848,6.5979
10,0.6927,0.9426,0.6927,0.6983,0.4554,1.4697,0.7106,0.691,6.9596
11,0.7033,0.9436,0.7033,0.7093,0.4462,1.4549,0.7175,0.7018,7.1933
12,0.713,0.9463,0.713,0.718,0.4345,1.4183,0.7251,0.7116,6.6699
13,0.7125,0.9502,0.7125,0.7166,0.4321,1.3507,0.7283,0.711,7.8343
14,0.7145,0.9502,0.7145,0.7198,0.4283,1.3522,0.7302,0.713,7.5787
15,0.7137,0.9505,0.7137,0.7186,0.4264,1.3521,0.732,0.7122,6.9915
16,0.717,0.9527,0.717,0.7202,0.4233,1.3277,0.7367,0.7155,7.6539
17,0.7197,0.9529,0.7197,0.7235,0.4197,1.3254,0.7398,0.7183,7.9347
18,0.7193,0.9528,0.7193,0.7221,0.4194,1.3388,0.7428,0.7178,8.3208
19,0.721,0.9551,0.721,0.7239,0.4151,1.3045,0.7475,0.7196,7.7643
20,0.728,0.9559,0.728,0.7299,0.4102,1.2909,0.7512,0.7266,7.3715
21,0.7335,0.9586,0.7335,0.7339,0.4058,1.2312,0.7578,0.732,10.0446
22,0.731,0.9606,0.731,0.7306,0.4017,1.2028,0.7632,0.7296,12.8021
23,0.7338,0.9609,0.7338,0.7335,0.3968,1.1952,0.7655,0.7324,12.4286
24,0.735,0.9606,0.735,0.7349,0.3959,1.1999,0.765,0.7335,12.8965
25,0.7365,0.9616,0.7365,0.7362,0.3943,1.1869,0.7655,0.735,13.6157
26,0.7402,0.9621,0.7402,0.7395,0.3882,1.1747,0.7717,0.7386,12.9618
27,0.7432,0.9626,0.7432,0.7427,0.3863,1.1687,0.7739,0.7417,14.349
28,0.7468,0.963,0.7468,0.7456,0.3825,1.1589,0.7761,0.7453,11.603
29,0.7488,0.9638,0.7488,0.7478,0.3815,1.1511,0.7775,0.7473,14.3891
30,0.748,0.9641,0.748,0.7467,0.3798,1.1445,0.7789,0.7465,14.1263
31,0.7513,0.9669,0.7513,0.7501,0.3767,1.093,0.7836,0.7498,13.9598
32,0.75,0.967,0.75,0.7489,0.375,1.085,0.7862,0.7485,13.8444
33,0.7488,0.9677,0.7488,0.7483,0.373,1.0738,0.7874,0.7474,13.335
34,0.751,0.9677,0.751,0.7503,0.3721,1.0737,0.788,0.7496,14.1178
35,0.7508,0.9686,0.7508,0.7499,0.3705,1.0611,0.791,0.7496,14.4574
36,0.7548,0.9703,0.7548,0.7538,0.3682,1.0319,0.7935,0.7535,12.6113
37,0.7587,0.9705,0.7587,0.7575,0.3666,1.026,0.7953,0.7574,14.1939
38,0.7592,0.9711,0.7592,0.7579,0.3647,1.0119,0.7972,0.7578,14.0934
39,0.7582,0.9715,0.7582,0.7565,0.364,1.0078,0.7987,0.7567,13.0179
40,0.7563,0.9717,0.7563,0.7549,0.3633,1.0058,0.7993,0.7549,13.3135
41,0.7578,0.9719,0.7578,0.7567,0.3626,1.0021,0.7995,0.7564,13.3575
42,0.7577,0.9727,0.7577,0.7565,0.362,0.9895,0.8022,0.7562,14.0932
43,0.7575,0.9736,0.7575,0.7564,0.3617,0.9783,0.8031,0.7561,14.3141
44,0.7573,0.9736,0.7573,0.7561,0.3611,0.9766,0.8034,0.7558,13.3929
45,0.7562,0.9741,0.7562,0.7548,0.361,0.969,0.8047,0.7546,14.6354
46,0.7567,0.9744,0.7567,0.7551,0.3609,0.9642,0.8049,0.7551,14.7463
47,0.7565,0.9746,0.7565,0.755,0.3606,0.9617,0.8053,0.755,12.2736
48,0.757,0.9751,0.757,0.7554,0.3582,0.9519,0.8076,0.7554,14.2063
49,0.7565,0.9756,0.7565,0.755,0.3597,0.9454,0.8073,0.7549,12.8652
50,0.757,0.9762,0.757,0.7556,0.3594,0.9367,0.8087,0.7554,14.4853
51,0.7588,0.9762,0.7588,0.7567,0.3574,0.9324,0.8105,0.7571,12.645
52,0.7583,0.9762,0.7583,0.7564,0.3561,0.9313,0.8111,0.7566,13.3842
53,0.7607,0.9764,0.7607,0.7592,0.355,0.9271,0.8118,0.7591,13.9275
54,0.761,0.9765,0.761,0.759,0.3547,0.9256,0.8123,0.7594,14.6779
55,0.7583,0.9766,0.7583,0.7565,0.356,0.9263,0.8116,0.7567,12.5051
56,0.7588,0.9765,0.7588,0.7571,0.3567,0.9274,0.8112,0.7572,14.1555
57,0.756,0.9767,0.756,0.7544,0.3577,0.9257,0.8108,0.7544,11.7203
58,0.7562,0.977,0.7562,0.755,0.3584,0.921,0.8107,0.7546,12.6163
