step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2963,0.7856,0.2963,0.2481,0.8806,6.5052,0.281,0.2978,0.0064
1,0.4305,0.8902,0.4305,0.408,0.7333,2.1286,0.4399,0.4318,0.0059
2,0.5103,0.9179,0.5103,0.493,0.6599,1.8212,0.5199,0.5106,0.0056
3,0.6028,0.9413,0.6028,0.5961,0.5623,1.4985,0.6257,0.6017,0.0055
4,0.6067,0.9455,0.6067,0.6079,0.5477,1.4478,0.6403,0.6054,0.0054
5,0.643,0.9507,0.643,0.6392,0.5127,1.3608,0.6693,0.6409,0.0053
6,0.647,0.9519,0.647,0.6447,0.5074,1.3526,0.6701,0.6451,0.0052
7,0.663,0.9563,0.663,0.6593,0.4858,1.2806,0.6963,0.6611,0.0053
8,0.6753,0.9589,0.6753,0.6705,0.4752,1.2505,0.7094,0.6733,0.0053
9,0.6882,0.9602,0.6882,0.6831,0.4633,1.2259,0.7211,0.6861,0.0058
10,0.6912,0.9627,0.6912,0.6858,0.4544,1.1888,0.7287,0.689,0.0056
11,0.6908,0.9632,0.6908,0.6862,0.449,1.1763,0.7283,0.6889,0.0055
12,0.7047,0.9659,0.7047,0.7006,0.4308,1.1307,0.7495,0.7026,0.0054
13,0.7093,0.9674,0.7093,0.7049,0.4246,1.1042,0.7569,0.7073,0.0055
14,0.7133,0.9676,0.7133,0.7088,0.4224,1.0995,0.7581,0.7112,0.0055
15,0.7165,0.9683,0.7165,0.7121,0.4172,1.0874,0.7636,0.7144,0.0063
16,0.7152,0.9688,0.7152,0.712,0.4147,1.0778,0.7641,0.713,0.0054
17,0.7217,0.9697,0.7217,0.7179,0.4103,1.0606,0.7694,0.7196,0.0056
18,0.7253,0.9701,0.7253,0.7209,0.4061,1.0506,0.7728,0.7232,0.0056
19,0.7222,0.9706,0.7222,0.7186,0.4021,1.0396,0.7748,0.7199,0.0056
20,0.7197,0.971,0.7197,0.7165,0.4009,1.0329,0.7742,0.7176,0.0055
21,0.7262,0.9718,0.7262,0.7226,0.3961,1.0214,0.778,0.724,0.0056
22,0.7302,0.972,0.7302,0.727,0.3939,1.0185,0.7793,0.7281,0.0055
23,0.7318,0.9724,0.7318,0.7286,0.39,1.01,0.7824,0.7298,0.0054
24,0.7402,0.9727,0.7402,0.7375,0.3845,1.0005,0.7887,0.7382,0.0056
25,0.7395,0.9731,0.7395,0.7361,0.3843,0.9956,0.7907,0.7374,0.0055
26,0.7417,0.9733,0.7417,0.7387,0.383,0.9916,0.7915,0.7396,0.0053
27,0.7408,0.9732,0.7408,0.738,0.3819,0.9903,0.7917,0.7388,0.0054
28,0.741,0.9737,0.741,0.7386,0.3789,0.983,0.7948,0.739,0.0053
29,0.7423,0.9741,0.7423,0.7399,0.3799,0.9774,0.7952,0.7404,0.0056
30,0.7443,0.9741,0.7443,0.7418,0.378,0.9761,0.7964,0.7424,0.0054
31,0.745,0.9744,0.745,0.7427,0.3778,0.9707,0.7956,0.743,0.0053
32,0.748,0.9746,0.748,0.7462,0.3765,0.9687,0.7977,0.7462,0.0056
33,0.7467,0.9748,0.7467,0.745,0.3754,0.9633,0.7976,0.7449,0.0053
34,0.7478,0.9748,0.7478,0.746,0.3746,0.9621,0.7981,0.7461,0.0056
35,0.7488,0.9751,0.7488,0.7469,0.3735,0.9579,0.7998,0.747,0.0057
36,0.7512,0.9753,0.7512,0.7494,0.3719,0.9546,0.8016,0.7495,0.0053
37,0.7513,0.9754,0.7513,0.7497,0.371,0.9532,0.8021,0.7497,0.0055
38,0.7535,0.9754,0.7535,0.752,0.3691,0.9508,0.8033,0.7519,0.0057
39,0.757,0.976,0.757,0.7555,0.3667,0.9398,0.8052,0.7555,0.0054
40,0.7578,0.9759,0.7578,0.7563,0.3664,0.9405,0.8051,0.7563,0.0054
41,0.756,0.9758,0.756,0.7545,0.3664,0.9423,0.8043,0.7545,0.0055
42,0.755,0.9761,0.755,0.7534,0.3661,0.9396,0.8039,0.7535,0.0054
43,0.7548,0.9762,0.7548,0.7533,0.3657,0.9385,0.8047,0.7533,0.0053
44,0.757,0.9763,0.757,0.7555,0.3647,0.9353,0.8046,0.7554,0.0052
45,0.7553,0.9764,0.7553,0.7538,0.3649,0.9349,0.8037,0.7537,0.0053
46,0.7567,0.9763,0.7567,0.7551,0.3638,0.9355,0.8043,0.7551,0.0069
47,0.7548,0.9764,0.7548,0.7536,0.3635,0.9325,0.8045,0.7533,0.0051
48,0.758,0.9771,0.758,0.7566,0.3622,0.9213,0.8058,0.7564,0.0059
49,0.7602,0.9772,0.7602,0.7586,0.361,0.919,0.8071,0.7586,0.0053
50,0.7617,0.9773,0.7617,0.7602,0.3602,0.917,0.8073,0.7601,0.0049
51,0.7618,0.9773,0.7618,0.7605,0.3588,0.9149,0.8079,0.7604,0.005
52,0.7637,0.9773,0.7637,0.7624,0.3578,0.9145,0.809,0.7622,0.0049
53,0.7625,0.9772,0.7625,0.7613,0.3579,0.9159,0.809,0.7611,0.005
54,0.7638,0.9773,0.7638,0.7625,0.3563,0.913,0.8099,0.7624,0.005
55,0.7642,0.9773,0.7642,0.7629,0.3561,0.9129,0.8096,0.7628,0.0045
56,0.7647,0.9773,0.7647,0.7632,0.3552,0.9114,0.81,0.7633,0.0051
57,0.7647,0.9774,0.7647,0.7632,0.3554,0.9088,0.8101,0.7633,0.0058
58,0.7655,0.9774,0.7655,0.764,0.3547,0.9084,0.8106,0.7641,0.006
59,0.7657,0.9775,0.7657,0.7642,0.3542,0.9073,0.8114,0.7643,0.0057
