step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0377,0.5,0.0377,0.0028,1.9247,34.686,0.0385,0.0385,0.6745
1,0.0503,0.5135,0.0503,0.0072,1.5037,33.4047,0.0434,0.0522,0.284
2,0.0818,0.534,0.0818,0.0182,1.3691,32.0234,0.0556,0.083,0.1997
3,0.1123,0.5548,0.1123,0.031,1.2373,30.6281,0.0858,0.1125,0.2087
4,0.1173,0.5671,0.1173,0.0403,1.1911,29.3463,0.0903,0.1189,0.1823
5,0.1268,0.5777,0.1268,0.0539,1.1429,28.0842,0.1,0.1288,0.2049
6,0.1285,0.581,0.1285,0.0588,1.1799,28.0782,0.1001,0.1304,0.1882
7,0.1348,0.5841,0.1348,0.0741,1.1381,26.7632,0.11,0.1362,0.1917
8,0.1315,0.5873,0.1315,0.0794,1.1235,25.5001,0.1125,0.1326,0.1818
9,0.1382,0.6,0.1382,0.0881,1.1154,24.2302,0.1118,0.1395,0.1955
10,0.1652,0.6175,0.1652,0.1115,1.0662,22.8659,0.1371,0.1658,0.1868
11,0.1807,0.6207,0.1807,0.1185,1.046,22.8409,0.1571,0.1806,0.1803
12,0.199,0.6354,0.199,0.1344,1.0079,21.5235,0.1674,0.1987,0.1945
13,0.2178,0.6476,0.2178,0.1578,0.9805,20.2459,0.1871,0.2177,0.2362
14,0.2162,0.6541,0.2162,0.1594,0.9721,19.004,0.187,0.2161,0.2162
15,0.2077,0.6532,0.2077,0.1635,0.9887,19.0218,0.1897,0.2075,0.1865
16,0.2038,0.6546,0.2038,0.1631,1.0109,19.043,0.1908,0.2033,0.2095
17,0.2165,0.6686,0.2165,0.1772,0.9958,17.7053,0.2003,0.2154,0.1894
18,0.2118,0.6674,0.2118,0.1766,1.0166,17.729,0.2002,0.2107,0.1979
19,0.2073,0.667,0.2073,0.1776,1.0287,17.7403,0.2017,0.2063,0.2077
20,0.2192,0.6822,0.2192,0.1846,0.9794,16.4165,0.2114,0.2179,0.1996
21,0.2322,0.6964,0.2322,0.2014,0.9587,15.0676,0.2217,0.2301,0.2092
22,0.2328,0.6966,0.2328,0.2006,0.9574,15.0678,0.2264,0.231,0.2265
23,0.2388,0.6955,0.2388,0.2027,0.9604,15.0812,0.2278,0.2368,0.2103
24,0.232,0.6945,0.232,0.1973,0.9666,15.0911,0.2245,0.2301,0.211
25,0.2433,0.705,0.2433,0.205,0.945,15.0109,0.2333,0.2416,0.2194
26,0.2413,0.7054,0.2413,0.2029,0.9466,15.0138,0.2355,0.2397,0.2206
27,0.2437,0.7149,0.2437,0.2047,0.9371,13.8081,0.2366,0.2419,0.2747
28,0.247,0.7147,0.247,0.2064,0.9352,13.8066,0.2378,0.2449,0.2571
29,0.245,0.7144,0.245,0.2048,0.9383,13.8097,0.2373,0.2429,0.2467
30,0.2582,0.7168,0.2582,0.2093,0.9266,13.7939,0.2516,0.2551,0.2043
31,0.2563,0.717,0.2563,0.2083,0.9285,13.8019,0.2523,0.2533,0.2358
32,0.2593,0.7186,0.2593,0.2101,0.9251,13.7948,0.2567,0.2561,0.2308
33,0.2713,0.7192,0.2713,0.2206,0.9084,13.7641,0.2613,0.2689,0.2763
34,0.2783,0.7262,0.2783,0.2303,0.9009,13.7136,0.2626,0.2758,0.2054
35,0.284,0.7271,0.284,0.2324,0.8991,13.7069,0.2659,0.2817,0.2322
36,0.2835,0.7308,0.2835,0.233,0.8958,13.6733,0.2696,0.281,0.225
37,0.2893,0.7424,0.2893,0.2419,0.8857,12.437,0.2771,0.2869,0.2457
38,0.2885,0.7427,0.2885,0.24,0.888,12.4388,0.2728,0.286,0.2787
39,0.2895,0.7419,0.2895,0.2414,0.8927,12.447,0.2717,0.2871,0.274
40,0.296,0.7432,0.296,0.2434,0.8847,12.4354,0.2747,0.2934,0.2837
41,0.3022,0.746,0.3022,0.2525,0.8864,12.4268,0.2815,0.2997,0.2684
42,0.3052,0.7472,0.3052,0.2535,0.8872,12.4267,0.2834,0.3025,0.2544
