step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0378,0.5,0.0378,0.0028,1.9243,34.68,0.0385,0.0385,0.0099
1,0.068,0.5205,0.068,0.01,1.4881,33.2762,0.0429,0.0676,0.0084
2,0.069,0.5232,0.069,0.0128,1.4061,32.0423,0.0462,0.0688,0.0118
3,0.0753,0.5401,0.0753,0.0207,1.3529,30.7083,0.0603,0.0744,0.0158
4,0.0822,0.546,0.0822,0.0267,1.3069,29.4768,0.0619,0.0816,0.0189
5,0.0828,0.5416,0.0828,0.0304,1.2523,28.1955,0.0644,0.0821,0.0196
6,0.0913,0.5457,0.0913,0.0354,1.1956,26.9987,0.0677,0.0913,0.02
7,0.1097,0.5614,0.1097,0.0496,1.1403,25.7562,0.0803,0.1105,0.0204
8,0.1125,0.5621,0.1125,0.0553,1.12,24.5454,0.0836,0.1134,0.0194
9,0.1152,0.5693,0.1152,0.0589,1.1072,23.2637,0.0851,0.116,0.0192
10,0.117,0.576,0.117,0.0606,1.1145,23.2538,0.0848,0.118,0.0192
11,0.1125,0.5747,0.1125,0.054,1.1306,23.2814,0.08,0.1128,0.0203
12,0.1132,0.5784,0.1132,0.0558,1.1327,23.2445,0.0803,0.1135,0.0202
13,0.1218,0.5867,0.1218,0.066,1.1195,23.1724,0.086,0.1226,0.0208
14,0.117,0.5863,0.117,0.0574,1.1526,23.213,0.0776,0.1178,0.0193
15,0.1182,0.5935,0.1182,0.0646,1.121,21.9439,0.0937,0.1188,0.02
16,0.118,0.593,0.118,0.068,1.1201,21.9328,0.0921,0.1185,0.0194
17,0.125,0.6081,0.125,0.0784,1.1091,20.6091,0.1045,0.1253,0.0199
18,0.1177,0.609,0.1177,0.0712,1.1102,20.6104,0.1025,0.1179,0.0202
19,0.112,0.6053,0.112,0.0674,1.1198,20.6369,0.1001,0.1121,0.022
20,0.1297,0.6174,0.1297,0.0815,1.0901,19.3391,0.1097,0.1294,0.0202
21,0.131,0.6262,0.131,0.0857,1.0783,18.0338,0.112,0.1306,0.0213
22,0.1315,0.6294,0.1315,0.0875,1.0722,16.8558,0.114,0.1312,0.0217
23,0.137,0.6366,0.137,0.095,1.0716,15.652,0.1159,0.1372,0.022
24,0.128,0.6319,0.128,0.0887,1.1125,15.7383,0.1139,0.1285,0.0225
25,0.1277,0.6399,0.1277,0.0887,1.1089,14.5114,0.1155,0.1281,0.022
26,0.1283,0.6426,0.1283,0.0894,1.1104,14.5042,0.1156,0.1287,0.0227
27,0.131,0.6494,0.131,0.0938,1.1025,14.4753,0.1197,0.1313,0.0226
28,0.1395,0.6537,0.1395,0.0979,1.0941,14.4574,0.1249,0.1393,0.0221
29,0.1382,0.6499,0.1382,0.0988,1.1012,14.4855,0.1233,0.138,0.0219
30,0.1375,0.6506,0.1375,0.096,1.1025,14.4924,0.1227,0.1372,0.023
31,0.135,0.6525,0.135,0.0906,1.1105,14.4986,0.1211,0.1344,0.0249
32,0.1437,0.6663,0.1437,0.1025,1.0934,13.2363,0.1291,0.1431,0.0229
33,0.1472,0.6683,0.1472,0.1075,1.0867,13.22,0.1315,0.147,0.0243
34,0.1687,0.685,0.1687,0.1282,1.064,11.9417,0.1468,0.1687,0.0235
35,0.1688,0.6852,0.1688,0.1264,1.0624,11.9506,0.1474,0.1689,0.025
36,0.1747,0.6859,0.1747,0.1321,1.0607,11.9525,0.1495,0.1748,0.024
37,0.176,0.6856,0.176,0.1334,1.0676,11.9806,0.1513,0.1765,0.0242
38,0.1923,0.6907,0.1923,0.1415,1.0453,11.939,0.1578,0.1928,0.0241
39,0.1895,0.6913,0.1895,0.1408,1.0555,11.952,0.1576,0.1899,0.0253
40,0.1932,0.6916,0.1932,0.1468,1.0528,11.9419,0.1643,0.1934,0.0239
41,0.1768,0.6863,0.1768,0.1392,1.0809,12.0174,0.1618,0.1772,0.0247
42,0.1788,0.6868,0.1788,0.1429,1.0761,12.0188,0.1656,0.1792,0.0242
43,0.1837,0.6887,0.1837,0.1504,1.0692,11.9908,0.1705,0.1838,0.0247
44,0.181,0.6882,0.181,0.149,1.0728,12.0042,0.1691,0.1811,0.0236
45,0.1758,0.6861,0.1758,0.1404,1.0801,12.0443,0.1626,0.1759,0.0242
46,0.1855,0.7004,0.1855,0.1549,1.0652,10.7932,0.1739,0.1857,0.0239
47,0.1807,0.7004,0.1807,0.1528,1.0733,10.8011,0.1703,0.1809,0.0254
48,0.1783,0.6987,0.1783,0.1511,1.0758,10.8183,0.1698,0.1785,0.0256
49,0.1778,0.7016,0.1778,0.1526,1.0769,10.8069,0.1722,0.178,0.0255
50,0.189,0.7089,0.189,0.1538,1.0659,10.7826,0.1782,0.1894,0.0249
51,0.197,0.7128,0.197,0.1618,1.0557,10.73,0.1878,0.197,0.0257
52,0.1958,0.7115,0.1958,0.1603,1.0581,10.7421,0.1841,0.1959,0.0245
53,0.198,0.7101,0.198,0.1562,1.0561,10.7544,0.1871,0.1981,0.0247
54,0.2053,0.7101,0.2053,0.1629,1.0507,10.7499,0.1806,0.2055,0.0252
55,0.218,0.7211,0.218,0.1749,1.0268,10.634,0.1907,0.2187,0.0247
56,0.2175,0.7224,0.2175,0.1722,1.0247,10.6249,0.1907,0.2185,0.025
57,0.2203,0.7224,0.2203,0.1722,1.0328,10.6567,0.1893,0.2215,0.0253
58,0.2208,0.7198,0.2208,0.1724,1.0308,10.669,0.1901,0.222,0.0243
59,0.2223,0.7194,0.2223,0.1713,1.0328,10.6791,0.1893,0.2232,0.0261
