step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1875,0.7576,0.1875,0.1615,0.9396,6.8147,0.2645,0.1876,0.0219
1,0.1678,0.8166,0.1678,0.1348,0.9221,3.0138,0.2956,0.1672,2.6523
2,0.1933,0.8224,0.1933,0.1282,0.919,3.0749,0.2964,0.1923,2.6778
3,0.12,0.836,0.12,0.1063,0.9291,3.0325,0.3201,0.1211,2.7563
4,0.1378,0.8519,0.1378,0.099,0.9266,3.001,0.3182,0.1374,3.1662
5,0.1528,0.8618,0.1528,0.1135,0.9214,2.9516,0.3181,0.1523,3.1303
6,0.1688,0.8712,0.1688,0.1334,0.9178,2.8899,0.3457,0.1687,3.1874
7,0.1703,0.8797,0.1703,0.1303,0.9177,2.8607,0.3662,0.1708,3.388
8,0.1763,0.8892,0.1763,0.1454,0.9156,2.842,0.3858,0.177,3.5121
9,0.2033,0.8984,0.2033,0.1601,0.9118,2.8128,0.4074,0.203,3.8277
10,0.1917,0.9061,0.1917,0.1458,0.9127,2.8159,0.4168,0.1907,4.0021
11,0.2252,0.9059,0.2252,0.1915,0.9123,2.8121,0.4215,0.2239,4.3315
12,0.22,0.9101,0.22,0.1916,0.9134,2.8104,0.4264,0.2185,4.2804
13,0.2015,0.9104,0.2015,0.1744,0.9154,2.8195,0.4276,0.2,4.5686
14,0.206,0.9105,0.206,0.1802,0.9152,2.8171,0.4334,0.2042,5.0778
15,0.211,0.911,0.211,0.1814,0.9164,2.8241,0.4282,0.2092,5.1981
16,0.2262,0.912,0.2262,0.2069,0.9159,2.8179,0.4308,0.2245,5.4707
17,0.2553,0.9128,0.2553,0.2294,0.916,2.8204,0.4346,0.2537,5.0033
18,0.2553,0.9159,0.2553,0.2373,0.9168,2.8239,0.4369,0.2537,5.3764
19,0.2607,0.9192,0.2607,0.233,0.9165,2.8202,0.4448,0.2593,5.7943
20,0.2717,0.9221,0.2717,0.249,0.9172,2.824,0.4486,0.2706,6.2121
21,0.2835,0.9217,0.2835,0.2618,0.9179,2.8269,0.452,0.2822,6.268
22,0.2877,0.9235,0.2877,0.264,0.9181,2.8278,0.4583,0.2862,6.438
23,0.3027,0.9241,0.3027,0.2773,0.9181,2.8267,0.4657,0.3009,6.293
24,0.2653,0.9267,0.2653,0.2488,0.919,2.8303,0.4631,0.2654,7.0498
25,0.2717,0.9289,0.2717,0.2571,0.9188,2.8281,0.4662,0.2718,7.0035
26,0.2703,0.9285,0.2703,0.2547,0.9194,2.8319,0.4629,0.2704,7.5908
27,0.2642,0.9296,0.2642,0.2527,0.9204,2.8376,0.4646,0.2646,7.6319
28,0.2827,0.9295,0.2827,0.2716,0.9206,2.8383,0.4647,0.2827,7.9202
29,0.3005,0.9315,0.3005,0.2761,0.921,2.8409,0.4726,0.3007,7.7605
30,0.3085,0.9315,0.3085,0.2827,0.9215,2.8434,0.4695,0.3093,8.034
31,0.256,0.9312,0.256,0.2503,0.9221,2.8478,0.4672,0.2566,8.4558
32,0.2815,0.9336,0.2815,0.2828,0.922,2.8461,0.4767,0.281,8.6142
33,0.247,0.9335,0.247,0.2519,0.9229,2.8526,0.4774,0.2474,8.9624
34,0.267,0.9334,0.267,0.2732,0.923,2.8538,0.4743,0.2675,9.2522
35,0.2295,0.9323,0.2295,0.2182,0.9234,2.8557,0.4725,0.2313,9.3523
36,0.2242,0.9322,0.2242,0.2116,0.9237,2.8577,0.4688,0.226,10.0769
37,0.2193,0.9317,0.2193,0.2049,0.9241,2.8603,0.4667,0.221,10.1339
38,0.1725,0.9305,0.1725,0.1635,0.9245,2.8608,0.4664,0.1744,10.0487
39,0.1858,0.9308,0.1858,0.1753,0.9249,2.8642,0.4636,0.1877,10.6106
40,0.1595,0.9309,0.1595,0.1504,0.9256,2.8678,0.4605,0.1613,11.1106
41,0.1492,0.9315,0.1492,0.1323,0.9256,2.868,0.46,0.1508,11.363
