step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.127,0.5793,0.127,0.0856,1.0529,25.6214,0.1116,0.1287,2.071
1,0.0908,0.6198,0.0908,0.0649,1.0269,20.5759,0.13,0.0927,2.1284
2,0.0882,0.6386,0.0882,0.0597,1.0224,18.2071,0.1328,0.0898,2.1232
3,0.084,0.6564,0.084,0.0611,1.0119,16.9142,0.1548,0.0856,2.0191
4,0.0877,0.6744,0.0877,0.0543,1.0004,14.4645,0.1558,0.0896,2.4787
5,0.0908,0.6989,0.0908,0.058,0.9862,13.1407,0.1647,0.0925,2.1701
6,0.0943,0.7044,0.0943,0.0566,0.9764,13.1137,0.1754,0.0958,2.681
7,0.0927,0.6983,0.0927,0.0586,0.9806,11.9101,0.1741,0.0941,2.562
8,0.092,0.7006,0.092,0.0547,0.9747,11.8753,0.1737,0.0933,2.5215
9,0.0993,0.7076,0.0993,0.0606,0.9687,10.6098,0.1756,0.1008,2.2682
10,0.1037,0.7078,0.1037,0.0623,0.9675,10.6052,0.1779,0.1053,2.0912
11,0.1065,0.7253,0.1065,0.0685,0.962,9.3949,0.2003,0.1079,2.3666
12,0.1143,0.7355,0.1143,0.0768,0.957,8.0927,0.2037,0.1154,2.2093
13,0.1167,0.7344,0.1167,0.0789,0.9557,8.0869,0.2057,0.1179,2.427
14,0.1183,0.7359,0.1183,0.0831,0.9549,8.0942,0.2057,0.1196,2.229
15,0.1225,0.7508,0.1225,0.0867,0.9515,6.806,0.2169,0.1237,2.1732
16,0.1198,0.7497,0.1198,0.0832,0.9533,6.826,0.2164,0.1211,2.1853
17,0.1227,0.7511,0.1227,0.0845,0.9505,6.7683,0.2144,0.1239,2.1837
18,0.1383,0.7663,0.1383,0.0953,0.9497,5.6353,0.2225,0.1394,2.2239
19,0.1313,0.7798,0.1313,0.0908,0.9492,5.6079,0.2237,0.1324,2.1635
20,0.13,0.7788,0.13,0.0903,0.951,5.6268,0.2247,0.1312,2.2111
21,0.1383,0.7787,0.1383,0.0986,0.9496,5.6228,0.2213,0.1394,2.2641
22,0.1375,0.7788,0.1375,0.0966,0.9518,5.6424,0.2207,0.1386,2.2402
23,0.1425,0.7969,0.1425,0.1006,0.95,4.4113,0.2324,0.1436,2.2555
24,0.1437,0.7959,0.1437,0.0989,0.9496,4.4075,0.2312,0.1447,2.4252
25,0.1482,0.7978,0.1482,0.0997,0.9483,4.3923,0.2315,0.1493,2.3847
