step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0407,0.5,0.0407,0.003,1.9187,34.5779,0.0385,0.0385,0.0209
1,0.0412,0.5021,0.0412,0.0058,1.4345,33.2387,0.0394,0.0397,4.3518
2,0.0498,0.5109,0.0498,0.0115,1.3458,31.9377,0.0426,0.0488,3.5709
3,0.0515,0.5199,0.0515,0.0145,1.3279,30.736,0.0457,0.0505,4.8275
4,0.0527,0.5261,0.0527,0.0188,1.2665,29.424,0.0477,0.0514,4.918
5,0.0535,0.5373,0.0535,0.0206,1.2531,28.148,0.053,0.0522,2.8325
6,0.0658,0.5462,0.0658,0.032,1.2102,26.8202,0.0618,0.0641,3.8737
7,0.0682,0.5464,0.0682,0.0343,1.1974,26.7885,0.0623,0.0663,4.2244
8,0.0713,0.5554,0.0713,0.0375,1.1485,25.4836,0.0682,0.0694,3.9238
9,0.0735,0.5657,0.0735,0.0413,1.1173,24.242,0.0713,0.0716,3.7337
10,0.0705,0.5667,0.0705,0.0374,1.1139,24.2385,0.0721,0.0686,3.9955
11,0.0618,0.5668,0.0618,0.0259,1.1149,24.2389,0.0723,0.06,4.1091
12,0.075,0.5686,0.075,0.0378,1.0896,24.1603,0.0789,0.0735,3.9581
13,0.078,0.5668,0.078,0.035,1.0886,24.1682,0.076,0.0768,4.0925
14,0.0998,0.583,0.0998,0.0607,1.0539,22.8725,0.1026,0.0989,4.0093
15,0.103,0.5842,0.103,0.0598,1.0478,22.8662,0.1036,0.1021,4.0012
16,0.1047,0.5848,0.1047,0.0563,1.0447,22.8646,0.1045,0.1038,3.9519
17,0.1042,0.588,0.1042,0.0575,1.0475,22.8683,0.1087,0.1027,4.4696
18,0.1038,0.5874,0.1038,0.0561,1.0486,22.8709,0.1075,0.1024,4.1816
19,0.1023,0.588,0.1023,0.0561,1.0565,22.8799,0.1082,0.1007,3.5317
20,0.1077,0.6023,0.1077,0.0622,1.029,21.6628,0.1125,0.1063,3.8054
21,0.1088,0.6118,0.1088,0.0651,1.017,20.4418,0.1168,0.1075,4.6748
22,0.1085,0.6118,0.1085,0.0649,1.0124,20.4353,0.1169,0.1071,3.5307
23,0.1115,0.6118,0.1115,0.0685,1.0099,20.4197,0.1168,0.11,4.2838
24,0.1098,0.6113,0.1098,0.0672,1.0097,20.4216,0.1168,0.1083,4.5112
25,0.1158,0.6141,0.1158,0.0742,1.0036,20.401,0.1177,0.1143,3.5092
26,0.1367,0.6294,0.1367,0.0961,0.9821,19.0709,0.135,0.1345,4.3409
27,0.1415,0.6284,0.1415,0.0942,0.9795,19.0734,0.1342,0.1391,3.012
28,0.1457,0.6397,0.1457,0.1023,0.9677,19.0204,0.1563,0.1434,3.6189
29,0.145,0.6397,0.145,0.0999,0.9664,19.0198,0.1561,0.1428,4.2848
30,0.1437,0.6407,0.1437,0.0932,0.966,19.026,0.1609,0.1412,3.8438
31,0.1438,0.6406,0.1438,0.0921,0.9664,19.0268,0.1605,0.1415,3.9249
32,0.152,0.6556,0.152,0.1051,0.954,17.7346,0.1767,0.1496,3.919
33,0.157,0.6557,0.157,0.1092,0.95,17.7261,0.1769,0.1546,4.078
34,0.157,0.6562,0.157,0.1087,0.9493,17.7234,0.1778,0.1546,3.939
35,0.1603,0.6647,0.1603,0.1146,0.9432,16.4277,0.1828,0.1578,3.836
36,0.1643,0.6647,0.1643,0.1186,0.9404,16.4149,0.1846,0.1616,3.7545
37,0.1655,0.6644,0.1655,0.1186,0.9406,16.4162,0.1855,0.163,3.9027
38,0.1708,0.6724,0.1708,0.127,0.9323,15.2077,0.1925,0.1685,3.8795
39,0.1707,0.6729,0.1707,0.1266,0.932,15.2051,0.1929,0.1683,3.7989
40,0.172,0.6731,0.172,0.1276,0.932,15.2044,0.1931,0.1696,3.889
41,0.1807,0.6857,0.1807,0.1388,0.9239,13.9667,0.2033,0.1785,3.8799
42,0.1883,0.6973,0.1883,0.1513,0.9171,12.7598,0.2121,0.1865,2.9831
