step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3078,0.7625,0.3078,0.2623,0.881,10.0841,0.3518,0.3066,0.1592
1,0.3242,0.8129,0.3242,0.2803,0.8828,6.479,0.3965,0.325,0.1037
2,0.3195,0.8525,0.3195,0.2716,0.8851,3.9864,0.4404,0.3201,0.1323
3,0.3385,0.8774,0.3385,0.2774,0.887,2.8032,0.4864,0.3393,0.1832
4,0.3762,0.8948,0.3762,0.3244,0.8857,2.7231,0.5125,0.3766,0.1552
5,0.397,0.8983,0.397,0.3294,0.8871,2.7117,0.5327,0.3975,0.1253
6,0.3897,0.9047,0.3897,0.2992,0.8898,2.7236,0.5353,0.3889,0.1259
7,0.4062,0.91,0.4062,0.3122,0.8905,2.7082,0.5388,0.4048,0.1228
8,0.3875,0.9133,0.3875,0.3024,0.8912,2.7015,0.5304,0.3866,0.1158
9,0.3903,0.9132,0.3903,0.305,0.8927,2.7055,0.5294,0.3892,0.1331
10,0.3887,0.9132,0.3887,0.2994,0.893,2.7043,0.5397,0.3872,0.1897
11,0.3963,0.913,0.3963,0.3192,0.8942,2.7031,0.5344,0.3952,0.1554
12,0.3918,0.9206,0.3918,0.3053,0.8956,2.7069,0.5372,0.3909,0.175
13,0.4,0.9232,0.4,0.3317,0.8952,2.7026,0.5419,0.3993,0.1644
14,0.4225,0.9248,0.4225,0.357,0.8963,2.7104,0.5355,0.4217,0.1487
15,0.4493,0.9265,0.4493,0.3944,0.8965,2.7086,0.5445,0.4484,0.145
16,0.4172,0.9264,0.4172,0.3571,0.8962,2.7069,0.5425,0.4169,0.1766
17,0.422,0.9297,0.422,0.3711,0.8971,2.7114,0.551,0.4215,0.1707
18,0.4507,0.93,0.4507,0.3981,0.8978,2.7114,0.5443,0.4499,0.1861
19,0.4347,0.9296,0.4347,0.3762,0.8977,2.7122,0.5403,0.434,0.1775
20,0.4325,0.9313,0.4325,0.3698,0.8982,2.7129,0.5386,0.4321,0.1841
21,0.4458,0.9327,0.4458,0.3847,0.8989,2.7154,0.5384,0.4446,0.2004
22,0.4523,0.9316,0.4523,0.3978,0.8998,2.7186,0.536,0.4504,0.1465
23,0.4748,0.9335,0.4748,0.4251,0.9,2.7186,0.5324,0.4729,0.1521
24,0.4825,0.9323,0.4825,0.4362,0.9002,2.7153,0.5324,0.4809,0.1526
25,0.4878,0.933,0.4878,0.4397,0.9005,2.714,0.5313,0.4858,0.1538
26,0.4918,0.9329,0.4918,0.4437,0.9011,2.7164,0.535,0.4894,0.1531
27,0.4933,0.9336,0.4933,0.4343,0.9017,2.7184,0.5327,0.4905,0.1636
28,0.4943,0.9342,0.4943,0.4405,0.9017,2.7188,0.5342,0.492,0.1803
29,0.486,0.9341,0.486,0.441,0.9015,2.7183,0.5343,0.484,0.1967
30,0.4842,0.9342,0.4842,0.4396,0.9017,2.7191,0.5338,0.4818,0.2028
31,0.4925,0.9339,0.4925,0.4462,0.9018,2.7198,0.5359,0.4907,0.2026
32,0.4985,0.9348,0.4985,0.4515,0.902,2.7204,0.5361,0.4967,0.1795
33,0.4955,0.9354,0.4955,0.4503,0.9019,2.7193,0.5378,0.4932,0.1678
34,0.4918,0.9354,0.4918,0.4491,0.9023,2.7206,0.5337,0.4895,0.1691
35,0.4792,0.9354,0.4792,0.4356,0.9024,2.7209,0.5329,0.4765,0.1782
36,0.4713,0.9347,0.4713,0.4247,0.9022,2.7201,0.5279,0.469,0.1806
37,0.4847,0.935,0.4847,0.4415,0.9022,2.7193,0.5307,0.4819,0.1867
38,0.4802,0.935,0.4802,0.4372,0.9022,2.7187,0.5304,0.4777,0.2517
39,0.4875,0.9358,0.4875,0.4464,0.9025,2.719,0.528,0.4853,0.2296
40,0.4808,0.9363,0.4808,0.4367,0.9025,2.7182,0.5303,0.4784,0.2457
41,0.4843,0.936,0.4843,0.4451,0.9025,2.7176,0.5288,0.4826,0.213
42,0.4707,0.9361,0.4707,0.4275,0.9026,2.7177,0.5303,0.4684,0.2252
43,0.4818,0.9367,0.4818,0.438,0.9027,2.7175,0.5298,0.4793,0.2429
44,0.4723,0.9376,0.4723,0.4306,0.9028,2.7189,0.5305,0.47,0.2096
45,0.4815,0.9381,0.4815,0.4408,0.9026,2.7184,0.5331,0.4789,0.2489
46,0.4713,0.938,0.4713,0.4283,0.9026,2.7188,0.5328,0.4686,0.2628
47,0.4783,0.9376,0.4783,0.4374,0.9028,2.719,0.5315,0.4754,0.2302
48,0.4712,0.9372,0.4712,0.4263,0.9027,2.7199,0.5308,0.4682,0.2126
49,0.4713,0.9381,0.4713,0.4302,0.9028,2.7191,0.5319,0.4687,0.2075
50,0.4918,0.9389,0.4918,0.4556,0.9031,2.7194,0.5329,0.489,0.2129
51,0.495,0.9389,0.495,0.4612,0.9033,2.719,0.535,0.492,0.1961
52,0.4917,0.9383,0.4917,0.4546,0.9034,2.7197,0.5336,0.4884,0.2065
53,0.4997,0.9383,0.4997,0.4639,0.9036,2.7206,0.5314,0.4965,0.2377
54,0.4967,0.9385,0.4967,0.4562,0.9036,2.72,0.5302,0.4934,0.217
55,0.5053,0.9385,0.5053,0.4655,0.904,2.7219,0.5284,0.5018,0.2284
56,0.5088,0.9387,0.5088,0.4721,0.9043,2.7226,0.5294,0.5055,0.2499
57,0.51,0.9384,0.51,0.4715,0.9044,2.7232,0.5304,0.5071,0.232
58,0.5012,0.9382,0.5012,0.461,0.9045,2.7237,0.5285,0.4987,0.23
59,0.5015,0.9381,0.5015,0.4598,0.9048,2.7247,0.5278,0.4992,0.2273
