step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0393,0.5,0.0393,0.0029,1.9213,34.6259,0.0385,0.0385,6.4191
1,0.0418,0.5078,0.0418,0.0072,1.886,33.3715,0.043,0.0409,0.783
2,0.0472,0.5136,0.0472,0.0145,1.8404,33.2841,0.0495,0.0461,0.8091
3,0.0477,0.5213,0.0477,0.0157,1.7938,32.02,0.0511,0.0466,0.6836
4,0.0537,0.5203,0.0537,0.0173,1.7224,31.9907,0.0514,0.0524,0.7964
5,0.0658,0.5304,0.0658,0.0344,1.6027,30.711,0.066,0.0647,0.7764
6,0.0723,0.5427,0.0723,0.0438,1.4985,29.3744,0.0734,0.071,0.7377
7,0.0758,0.5561,0.0758,0.0509,1.4658,28.1245,0.0799,0.0746,0.7836
8,0.0765,0.5623,0.0765,0.0525,1.4143,26.9184,0.0835,0.0753,0.6472
9,0.0758,0.5675,0.0758,0.0543,1.3623,25.6311,0.0856,0.0747,0.6447
10,0.0908,0.578,0.0908,0.0709,1.2628,24.3745,0.103,0.0902,0.7089
11,0.0918,0.5835,0.0918,0.0734,1.2294,23.16,0.1047,0.0912,0.7399
12,0.0983,0.5978,0.0983,0.0844,1.1919,21.834,0.1153,0.0974,0.6847
13,0.0997,0.6015,0.0997,0.0887,1.1679,21.8134,0.1188,0.099,0.7397
14,0.1117,0.6186,0.1117,0.1004,1.1193,20.4982,0.1349,0.1109,0.7279
15,0.115,0.6221,0.115,0.1038,1.1005,20.4701,0.1391,0.1143,0.6958
16,0.1242,0.6272,0.1242,0.1137,1.0648,19.1684,0.148,0.1231,0.7331
17,0.1262,0.6349,0.1262,0.1175,1.0493,17.846,0.1533,0.125,0.6914
18,0.1378,0.6395,0.1378,0.1223,1.0325,17.8269,0.1626,0.1363,0.7121
19,0.1477,0.6471,0.1477,0.1333,1.0139,17.7927,0.1715,0.1456,0.7609
20,0.1615,0.6517,0.1615,0.1482,0.9966,17.7478,0.1868,0.1597,0.6718
21,0.1617,0.6525,0.1617,0.1499,0.9912,17.7336,0.1888,0.1599,0.6668
22,0.1705,0.6688,0.1705,0.1639,0.9764,16.3922,0.2095,0.1684,0.6859
23,0.1793,0.6825,0.1793,0.1752,0.9568,15.1167,0.22,0.1772,0.6755
24,0.1792,0.6835,0.1792,0.1764,0.954,15.1028,0.2211,0.1771,0.7557
25,0.1843,0.6819,0.1843,0.1767,0.9494,15.1164,0.2223,0.1819,0.7062
26,0.1888,0.6824,0.1888,0.1775,0.9469,15.1152,0.2232,0.1866,0.7618
27,0.1905,0.6824,0.1905,0.1797,0.9427,15.1067,0.2241,0.1882,0.7412
28,0.1907,0.682,0.1907,0.1813,0.9427,15.1096,0.2266,0.1884,0.7749
29,0.1928,0.6807,0.1928,0.185,0.9373,15.0536,0.228,0.1905,0.773
30,0.1993,0.6825,0.1993,0.1904,0.9327,15.0448,0.229,0.1968,0.8372
31,0.2077,0.6924,0.2077,0.2032,0.9221,13.8361,0.236,0.2056,0.7711
32,0.2098,0.6963,0.2098,0.2006,0.9179,13.8202,0.241,0.2082,0.9593
33,0.222,0.7016,0.222,0.2065,0.9157,13.8185,0.248,0.221,0.73
34,0.2283,0.7024,0.2283,0.2018,0.9117,13.8279,0.254,0.2277,0.7776
35,0.23,0.7114,0.23,0.2054,0.9079,12.6113,0.2582,0.2294,0.7234
36,0.232,0.7122,0.232,0.202,0.9071,12.6164,0.2626,0.2316,0.7513
