step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2557,0.8393,0.2557,0.2011,0.9021,3.9955,0.3747,0.2557,9.8457
1,0.2983,0.8715,0.2983,0.2456,0.8871,2.722,0.4244,0.2984,6.1736
2,0.3223,0.8803,0.3223,0.2963,0.8827,2.6476,0.4314,0.3214,6.2661
3,0.3558,0.8822,0.3558,0.3195,0.8877,2.6846,0.4465,0.3545,6.2337
4,0.2915,0.8927,0.2915,0.2599,0.8927,2.6975,0.4662,0.2898,6.3344
5,0.3225,0.8911,0.3225,0.2883,0.8923,2.6768,0.4594,0.3207,6.2144
6,0.3148,0.8996,0.3148,0.2846,0.8939,2.6838,0.467,0.3133,6.1673
7,0.3712,0.8983,0.3712,0.3429,0.8922,2.6725,0.4697,0.3694,6.0873
8,0.4053,0.9017,0.4053,0.3826,0.8913,2.6609,0.4776,0.404,6.3743
9,0.4345,0.9041,0.4345,0.4178,0.8906,2.6485,0.4839,0.4326,6.351
10,0.4725,0.9055,0.4725,0.4398,0.8906,2.6474,0.4871,0.4707,6.3393
11,0.5007,0.9062,0.5007,0.4796,0.8913,2.645,0.4895,0.4994,6.1762
12,0.4668,0.9076,0.4668,0.4618,0.8915,2.6457,0.4926,0.4663,6.1413
13,0.4658,0.9067,0.4658,0.4716,0.8911,2.6448,0.4955,0.4656,5.7586
14,0.476,0.9074,0.476,0.4594,0.8914,2.6445,0.4931,0.4751,5.3839
15,0.4677,0.9104,0.4677,0.4583,0.8921,2.6471,0.4943,0.4675,5.3884
16,0.4617,0.9122,0.4617,0.4613,0.8927,2.6489,0.4968,0.4612,5.4533
17,0.4567,0.9144,0.4567,0.4557,0.8926,2.6493,0.4995,0.456,5.4065
18,0.4063,0.9156,0.4063,0.4046,0.8936,2.654,0.5032,0.4061,5.4368
19,0.4302,0.9169,0.4302,0.425,0.8925,2.6485,0.5068,0.4298,5.325
20,0.438,0.9173,0.438,0.432,0.8924,2.6494,0.5087,0.4373,5.325
21,0.4617,0.9178,0.4617,0.4585,0.8922,2.6473,0.509,0.4607,5.3547
22,0.4665,0.9184,0.4665,0.4644,0.8918,2.6454,0.5111,0.4654,5.3353
23,0.4957,0.917,0.4957,0.4933,0.8922,2.6474,0.5089,0.4936,5.3001
24,0.5003,0.9184,0.5003,0.4983,0.8921,2.6463,0.5152,0.4987,5.4202
25,0.5167,0.9183,0.5167,0.5173,0.8919,2.6437,0.5143,0.5147,5.4483
26,0.4973,0.9195,0.4973,0.492,0.8924,2.6476,0.5165,0.4954,5.3698
27,0.4975,0.9202,0.4975,0.4919,0.8926,2.6479,0.5173,0.4959,5.4394
28,0.5,0.9208,0.5,0.4955,0.8932,2.651,0.5184,0.4983,5.9193
29,0.5008,0.9209,0.5008,0.4916,0.8931,2.6503,0.5189,0.4999,6.0643
30,0.4955,0.9213,0.4955,0.4895,0.8938,2.6526,0.5178,0.4946,6.1734
31,0.4918,0.9212,0.4918,0.4913,0.8941,2.6525,0.5196,0.4905,6.2383
32,0.5005,0.9221,0.5005,0.4994,0.8946,2.6561,0.5218,0.4986,6.2981
33,0.5027,0.9225,0.5027,0.5019,0.8947,2.6564,0.5217,0.5006,6.9481
34,0.5065,0.9237,0.5065,0.5081,0.8952,2.6584,0.5232,0.5041,7.1173
35,0.492,0.9246,0.492,0.4956,0.8954,2.6582,0.524,0.4904,6.9327
36,0.4888,0.9252,0.4888,0.493,0.8956,2.6588,0.5233,0.4874,6.808
37,0.5037,0.9259,0.5037,0.5039,0.8959,2.6596,0.523,0.5022,6.9082
38,0.5057,0.926,0.5057,0.5035,0.8959,2.6599,0.5234,0.5042,7.0288
39,0.5103,0.9264,0.5103,0.5065,0.8961,2.6611,0.5211,0.5093,6.3494
40,0.505,0.9271,0.505,0.501,0.8962,2.6624,0.5218,0.5039,6.008
41,0.5158,0.927,0.5158,0.5128,0.8962,2.663,0.5226,0.5146,7.1313
42,0.5252,0.928,0.5252,0.5183,0.8963,2.6628,0.522,0.5236,7.1317
