step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1402,0.5947,0.1402,0.0919,1.0313,24.2041,0.1295,0.1398,28.182
1,0.1595,0.6269,0.1595,0.1184,0.9956,20.4585,0.1564,0.1592,27.7586
2,0.1858,0.663,0.1858,0.1438,0.9566,16.6524,0.1895,0.1844,25.6931
3,0.1995,0.6717,0.1995,0.1463,0.9558,16.6414,0.2086,0.1968,28.2082
4,0.2157,0.6894,0.2157,0.1705,0.9313,12.8979,0.2303,0.214,26.763
5,0.2362,0.7049,0.2362,0.1887,0.9142,10.3469,0.2554,0.2338,26.7753
6,0.252,0.7232,0.252,0.2019,0.9038,10.3151,0.2726,0.2499,27.911
7,0.2543,0.7344,0.2543,0.2214,0.9003,9.0705,0.2892,0.2519,27.5582
8,0.263,0.7615,0.263,0.2174,0.8915,5.3839,0.3129,0.2604,27.4005
9,0.2623,0.7767,0.2623,0.2118,0.8885,4.213,0.3285,0.2608,26.8058
10,0.2972,0.7943,0.2972,0.246,0.8823,4.182,0.355,0.2942,28.872
11,0.2975,0.7965,0.2975,0.2433,0.8839,4.2081,0.3625,0.295,27.524
12,0.3152,0.8249,0.3152,0.2694,0.878,4.0892,0.3915,0.3131,26.1036
13,0.3298,0.8234,0.3298,0.2833,0.8791,4.1078,0.3956,0.3276,28.9945
14,0.3235,0.8305,0.3235,0.2823,0.877,4.0337,0.4039,0.3217,27.3826
15,0.3402,0.8307,0.3402,0.2944,0.8773,4.0392,0.4067,0.3383,26.7777
16,0.337,0.8385,0.337,0.3216,0.8771,4.0174,0.414,0.3355,29.3951
17,0.3325,0.8416,0.3325,0.3043,0.8768,4.0072,0.4224,0.3306,27.667
18,0.327,0.8547,0.327,0.2967,0.8771,3.9167,0.4442,0.3259,26.5788
19,0.3428,0.8558,0.3428,0.3072,0.8772,3.9253,0.4486,0.3412,28.7021
20,0.3515,0.8575,0.3515,0.319,0.8781,3.931,0.4523,0.3506,26.2813
21,0.3452,0.8565,0.3452,0.3118,0.8798,3.9378,0.4536,0.3445,26.103
22,0.3445,0.8646,0.3445,0.3018,0.8803,2.7563,0.4557,0.3434,27.5488
23,0.3313,0.8656,0.3313,0.2879,0.8806,2.767,0.4571,0.3304,27.1934
24,0.3363,0.8693,0.3363,0.2865,0.8819,2.7651,0.4626,0.3349,27.6543
25,0.3475,0.8705,0.3475,0.3013,0.8817,2.7699,0.4654,0.3462,27.8913
26,0.3535,0.8735,0.3535,0.2958,0.8822,2.7768,0.4632,0.3522,27.9287
27,0.3647,0.8736,0.3647,0.303,0.8819,2.7713,0.4623,0.3634,27.6792
28,0.376,0.8761,0.376,0.3125,0.8819,2.7603,0.4634,0.3746,27.9803
29,0.3593,0.8773,0.3593,0.2995,0.883,2.7472,0.4653,0.3583,28.505
30,0.3668,0.8789,0.3668,0.3065,0.8841,2.7443,0.4664,0.3654,27.8712
31,0.3752,0.8808,0.3752,0.31,0.8842,2.7337,0.465,0.3738,27.5364
32,0.3732,0.8834,0.3732,0.3057,0.8843,2.7335,0.4674,0.3721,27.8557
33,0.3803,0.8848,0.3803,0.3113,0.8852,2.7443,0.4687,0.3792,28.5445
34,0.3768,0.8853,0.3768,0.3004,0.8837,2.744,0.4726,0.3757,28.2737
35,0.3927,0.8873,0.3927,0.3193,0.8842,2.7451,0.4742,0.3915,28.5359
36,0.3925,0.8912,0.3925,0.3236,0.884,2.74,0.479,0.3914,28.1871
37,0.3855,0.8964,0.3855,0.3189,0.884,2.7134,0.4874,0.3849,28.477
38,0.3948,0.8995,0.3948,0.3305,0.8845,2.7116,0.4939,0.3944,28.4357
39,0.3985,0.8996,0.3985,0.3387,0.8843,2.7087,0.494,0.3982,27.9716
40,0.4027,0.9003,0.4027,0.3441,0.8848,2.7051,0.494,0.4018,27.5481
41,0.4113,0.9016,0.4113,0.3476,0.885,2.7061,0.4945,0.41,27.8105
42,0.4048,0.9041,0.4048,0.3422,0.8844,2.7063,0.5037,0.4039,27.0686
43,0.4133,0.9074,0.4133,0.3507,0.8845,2.6969,0.5122,0.4128,27.5951
44,0.4153,0.9072,0.4153,0.3526,0.8842,2.6945,0.5179,0.4144,27.7089
45,0.425,0.9072,0.425,0.3629,0.8848,2.6946,0.5151,0.424,27.8593
46,0.4292,0.9082,0.4292,0.3632,0.8851,2.697,0.5156,0.4281,27.4415
47,0.4362,0.9092,0.4362,0.375,0.886,2.7012,0.5149,0.4351,27.4403
48,0.4327,0.9109,0.4327,0.3668,0.8872,2.7087,0.5204,0.4315,27.5939
49,0.4373,0.9109,0.4373,0.3663,0.8873,2.7082,0.5254,0.436,27.4323
50,0.4373,0.9137,0.4373,0.3712,0.8878,2.7095,0.5266,0.4359,27.4997
51,0.4562,0.9116,0.4562,0.3974,0.8876,2.6992,0.5256,0.455,26.984
52,0.447,0.9102,0.447,0.3903,0.8876,2.7005,0.5263,0.4457,27.2977
53,0.44,0.9107,0.44,0.3803,0.888,2.7017,0.5225,0.4391,27.3397
54,0.4335,0.9115,0.4335,0.3762,0.8882,2.7046,0.526,0.4328,27.8685
55,0.444,0.9119,0.444,0.3877,0.8885,2.707,0.5287,0.4432,28.1647
56,0.4503,0.912,0.4503,0.3942,0.8884,2.707,0.5294,0.4494,27.8562
57,0.4487,0.9117,0.4487,0.4032,0.8886,2.708,0.5278,0.4479,28.8892
58,0.445,0.9127,0.445,0.4022,0.889,2.7027,0.5321,0.4443,28.9035
59,0.4425,0.9131,0.4425,0.3955,0.8893,2.7072,0.53,0.4417,28.6566
