step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.121,0.776,0.121,0.0988,0.932,5.3782,0.2899,0.1222,2.2227
1,0.1515,0.7911,0.1515,0.1089,0.929,4.2335,0.306,0.1524,2.1854
2,0.1315,0.8059,0.1315,0.0859,0.9451,4.3062,0.3109,0.1328,2.2451
3,0.1393,0.8005,0.1393,0.0944,0.9378,4.2591,0.3116,0.1406,1.9615
4,0.1608,0.817,0.1608,0.1147,0.9392,4.266,0.3218,0.1591,1.8423
5,0.1695,0.8198,0.1695,0.1338,0.9337,3.0124,0.31,0.1673,1.7508
6,0.2198,0.829,0.2198,0.1847,0.9263,2.9488,0.3225,0.2182,2.007
7,0.2393,0.8371,0.2393,0.199,0.9219,2.9133,0.3216,0.2362,2.5477
8,0.186,0.8474,0.186,0.1702,0.9265,2.9224,0.317,0.1845,2.6898
9,0.211,0.8546,0.211,0.1845,0.9253,2.8929,0.3285,0.2089,2.691
10,0.2317,0.8622,0.2317,0.2056,0.9222,2.8797,0.3489,0.2304,2.7288
11,0.235,0.8696,0.235,0.2135,0.9238,2.8925,0.357,0.2335,2.3419
12,0.2488,0.8731,0.2488,0.221,0.9248,2.9048,0.3636,0.2473,2.3113
13,0.2648,0.8744,0.2648,0.2422,0.9259,2.9125,0.3569,0.2631,2.1834
14,0.2547,0.8694,0.2547,0.2391,0.9273,2.9051,0.3324,0.2536,2.2399
15,0.305,0.8746,0.305,0.2773,0.9287,2.9165,0.3368,0.3018,2.2244
16,0.2618,0.8794,0.2618,0.2435,0.9304,2.9283,0.3432,0.2594,2.1381
17,0.273,0.8821,0.273,0.2598,0.9314,2.9328,0.3472,0.2726,2.3106
18,0.2258,0.8851,0.2258,0.1848,0.9333,2.947,0.361,0.2224,2.5128
19,0.2407,0.8851,0.2407,0.1854,0.9331,2.9517,0.3603,0.2365,2.554
20,0.2625,0.8865,0.2625,0.2048,0.9332,2.9498,0.3586,0.2584,2.5439
21,0.2538,0.888,0.2538,0.2015,0.9335,2.9513,0.364,0.2498,2.6493
22,0.2822,0.889,0.2822,0.2279,0.9334,2.949,0.3667,0.2785,2.6556
23,0.2865,0.8906,0.2865,0.2313,0.9337,2.9507,0.3663,0.2826,2.6576
24,0.3032,0.8901,0.3032,0.2539,0.9341,2.9561,0.3629,0.2988,2.618
25,0.3128,0.8905,0.3128,0.2674,0.9346,2.9602,0.3632,0.3084,2.6114
26,0.3168,0.8882,0.3168,0.2673,0.9351,2.9659,0.3567,0.3119,2.6391
27,0.3207,0.8883,0.3207,0.265,0.9356,2.9703,0.3561,0.3162,2.5465
28,0.3205,0.8898,0.3205,0.2634,0.936,2.9724,0.3613,0.3159,2.5289
29,0.3197,0.8922,0.3197,0.2639,0.9367,2.977,0.3611,0.3159,2.6264
