step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1693,0.6252,0.1693,0.1057,0.9867,22.8969,0.1516,0.1705,2.4098
1,0.2062,0.7215,0.2062,0.1983,0.9284,12.6987,0.2308,0.2058,2.6833
2,0.2085,0.7479,0.2085,0.1682,0.9262,10.2439,0.2479,0.208,2.6555
3,0.2052,0.7785,0.2052,0.1711,0.9197,6.5294,0.2535,0.2034,2.6067
4,0.2347,0.7819,0.2347,0.1912,0.9161,5.3206,0.2621,0.2343,2.5396
5,0.2538,0.7925,0.2538,0.2175,0.9155,4.0754,0.2753,0.2521,2.5494
6,0.226,0.7967,0.226,0.1996,0.9177,4.0443,0.28,0.226,2.6317
7,0.1765,0.8059,0.1765,0.1439,0.9183,4.0433,0.2877,0.177,2.552
8,0.197,0.8135,0.197,0.1611,0.9182,4.0313,0.2997,0.197,2.5415
9,0.2382,0.8269,0.2382,0.2034,0.9161,2.8668,0.3269,0.2381,2.6009
10,0.2488,0.831,0.2488,0.203,0.9161,2.8793,0.3374,0.2494,2.2342
11,0.2775,0.8393,0.2775,0.2274,0.9155,2.8571,0.3511,0.2767,2.179
12,0.2758,0.8457,0.2758,0.2321,0.917,2.8658,0.3666,0.2754,2.4646
13,0.2563,0.8445,0.2563,0.2139,0.9204,2.8861,0.3661,0.2557,2.5676
14,0.2813,0.8458,0.2813,0.2364,0.9221,2.8927,0.3673,0.2814,2.6934
15,0.2662,0.8561,0.2662,0.2247,0.9225,2.891,0.3705,0.2664,2.6577
16,0.2502,0.8642,0.2502,0.2247,0.9224,2.8898,0.379,0.2509,2.6826
17,0.2728,0.8652,0.2728,0.2385,0.923,2.8965,0.3786,0.2739,2.5904
18,0.2462,0.8691,0.2462,0.2197,0.9236,2.9031,0.3831,0.2464,2.452
19,0.2453,0.872,0.2453,0.2242,0.9227,2.8961,0.3906,0.2452,2.4586
20,0.2728,0.874,0.2728,0.2415,0.9224,2.8995,0.3907,0.2731,2.4623
21,0.301,0.8809,0.301,0.2686,0.9223,2.8961,0.406,0.3019,2.4514
22,0.3152,0.8879,0.3152,0.2857,0.9216,2.8855,0.4154,0.3164,2.4779
23,0.3038,0.8857,0.3038,0.2777,0.9207,2.8765,0.4095,0.3045,2.4934
24,0.3332,0.8886,0.3332,0.3079,0.9195,2.8691,0.4123,0.3334,2.4892
25,0.3508,0.8893,0.3508,0.3255,0.9184,2.866,0.4119,0.3509,2.5541
26,0.3502,0.8894,0.3502,0.3196,0.919,2.8539,0.4137,0.35,2.635
27,0.3557,0.8901,0.3557,0.3415,0.9191,2.8531,0.4077,0.355,2.6498
28,0.3645,0.8944,0.3645,0.355,0.919,2.8349,0.4074,0.3645,2.6494
29,0.355,0.8953,0.355,0.3459,0.9196,2.8411,0.4104,0.3543,2.6605
30,0.3465,0.9009,0.3465,0.3305,0.9198,2.8388,0.4152,0.3461,2.6225
31,0.3515,0.908,0.3515,0.3301,0.9197,2.8305,0.4175,0.3513,2.6437
32,0.353,0.9088,0.353,0.3327,0.9193,2.827,0.423,0.3519,2.6444
33,0.3667,0.9104,0.3667,0.3355,0.9184,2.8136,0.427,0.3657,2.6123
34,0.3575,0.911,0.3575,0.3187,0.9186,2.8164,0.4316,0.357,2.5911
35,0.349,0.9097,0.349,0.3171,0.9184,2.8178,0.4306,0.3488,2.5905
36,0.357,0.9077,0.357,0.3295,0.9188,2.8172,0.4291,0.3563,2.5414
37,0.3345,0.9069,0.3345,0.3122,0.9191,2.8174,0.4304,0.3342,2.555
38,0.3417,0.9058,0.3417,0.3149,0.9193,2.8191,0.4281,0.3419,2.5802
39,0.3305,0.9078,0.3305,0.3071,0.919,2.8157,0.4309,0.3306,2.5872
40,0.3362,0.9077,0.3362,0.3011,0.9193,2.8191,0.4339,0.3366,2.5793
41,0.3227,0.9065,0.3227,0.2875,0.92,2.8237,0.4362,0.3223,2.5342
42,0.176,0.9057,0.176,0.1823,0.922,2.835,0.4337,0.175,2.1141
43,0.1918,0.9067,0.1918,0.1951,0.9215,2.8318,0.4394,0.1906,2.3346
44,0.2093,0.9083,0.2093,0.2027,0.9205,2.8214,0.4456,0.2081,2.6862
45,0.2327,0.9087,0.2327,0.2168,0.9201,2.8196,0.44,0.2316,2.6776
46,0.2372,0.9081,0.2372,0.2107,0.9197,2.8177,0.4429,0.2362,2.504
47,0.2523,0.9095,0.2523,0.2236,0.9191,2.814,0.4475,0.251,2.2644
48,0.2635,0.9111,0.2635,0.2378,0.9181,2.8082,0.4516,0.2619,2.2852
49,0.2892,0.9112,0.2892,0.2592,0.9179,2.8067,0.4497,0.2878,2.6956
50,0.2907,0.9125,0.2907,0.2595,0.9174,2.8048,0.4534,0.2894,2.5073
51,0.3025,0.912,0.3025,0.2787,0.9173,2.8045,0.4559,0.3011,2.4864
52,0.3047,0.913,0.3047,0.2867,0.9179,2.8095,0.4557,0.3034,2.3408
53,0.313,0.912,0.313,0.2927,0.918,2.8076,0.4573,0.3118,2.318
54,0.3252,0.9112,0.3252,0.301,0.9175,2.8057,0.4511,0.3236,2.624
55,0.339,0.9099,0.339,0.3173,0.9173,2.8039,0.4507,0.3376,2.6038
56,0.351,0.9097,0.351,0.329,0.9172,2.8023,0.4539,0.3492,2.597
57,0.3445,0.9095,0.3445,0.3317,0.9174,2.8033,0.4539,0.3422,2.2271
58,0.354,0.9117,0.354,0.3372,0.9172,2.8007,0.4621,0.352,2.5047
59,0.3427,0.9121,0.3427,0.329,0.9175,2.8017,0.4604,0.3405,2.7582
