step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2592,0.7982,0.2592,0.2606,0.8728,6.4661,0.3386,0.2599,0.0187
1,0.3465,0.8349,0.3465,0.3351,0.8036,4.7628,0.4037,0.3461,2.1144
2,0.4628,0.8747,0.4628,0.4512,0.7325,3.7913,0.5143,0.4618,2.2238
3,0.5185,0.9115,0.5185,0.5002,0.6776,3.0333,0.5712,0.5165,2.3038
4,0.5507,0.9212,0.5507,0.5283,0.6454,2.7674,0.5987,0.5477,2.4323
5,0.5813,0.934,0.5813,0.5703,0.6164,2.1902,0.6414,0.5794,2.612
6,0.6292,0.9524,0.6292,0.6214,0.5847,1.8836,0.7002,0.6277,2.7805
7,0.6457,0.9572,0.6457,0.6347,0.5607,1.6728,0.7126,0.6439,3.0014
8,0.6873,0.9632,0.6873,0.6777,0.5364,1.578,0.748,0.6852,3.3516
9,0.7138,0.9689,0.7138,0.7098,0.5253,1.5038,0.7751,0.7125,3.4512
10,0.7423,0.9725,0.7423,0.74,0.5111,1.4333,0.7987,0.7412,3.4852
11,0.7483,0.9762,0.7483,0.744,0.5,1.3758,0.8077,0.7466,3.8482
12,0.7747,0.9782,0.7747,0.774,0.4758,1.3104,0.8337,0.7741,3.9692
13,0.797,0.9814,0.797,0.7979,0.4578,1.216,0.8529,0.7963,4.0016
14,0.8072,0.9842,0.8072,0.8077,0.4496,1.144,0.8605,0.8066,4.0066
15,0.814,0.9852,0.814,0.8139,0.4486,1.1413,0.8646,0.8135,4.4276
16,0.8232,0.9874,0.8232,0.8233,0.4439,1.1153,0.8726,0.8226,4.8567
17,0.8238,0.9873,0.8238,0.8249,0.4364,1.105,0.8783,0.8234,4.8364
18,0.8368,0.9891,0.8368,0.8376,0.4177,1.0426,0.8897,0.8367,5.0094
19,0.8468,0.9907,0.8468,0.8471,0.4074,0.994,0.8996,0.8464,5.3047
20,0.8555,0.991,0.8555,0.8555,0.4008,0.9837,0.9015,0.8549,5.2765
21,0.8618,0.9915,0.8618,0.8617,0.3872,0.9658,0.9092,0.8612,5.6182
22,0.8578,0.9925,0.8578,0.858,0.3856,0.9342,0.9096,0.8573,5.6125
23,0.8638,0.9933,0.8638,0.8642,0.3768,0.9146,0.9173,0.8634,5.7322
