step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1168,0.5826,0.1168,0.0702,1.0218,22.9463,0.1018,0.1161,0.01
1,0.1642,0.6312,0.1642,0.1139,0.9671,15.9225,0.1389,0.163,0.2337
2,0.2183,0.6725,0.2183,0.1523,0.9311,15.2468,0.2105,0.2175,0.2037
3,0.2432,0.7145,0.2432,0.2026,0.8995,10.7732,0.2506,0.2414,0.1862
4,0.2797,0.7454,0.2797,0.2487,0.8731,9.6732,0.2985,0.2777,0.2139
5,0.278,0.7615,0.278,0.2537,0.8717,7.7753,0.2992,0.2762,0.2208
6,0.2955,0.7585,0.2955,0.2553,0.8622,7.8104,0.2901,0.2938,0.2177
7,0.3225,0.785,0.3225,0.2885,0.8365,6.3165,0.3329,0.3204,0.2357
8,0.319,0.7947,0.319,0.2826,0.8263,5.9936,0.3392,0.316,0.2291
9,0.3468,0.7988,0.3468,0.3076,0.8165,6.0777,0.3543,0.3441,0.2299
10,0.3612,0.8197,0.3612,0.331,0.7989,5.7505,0.3891,0.3587,0.2377
11,0.3505,0.8249,0.3505,0.3276,0.799,5.6107,0.3798,0.3478,0.2199
12,0.3845,0.8328,0.3845,0.3528,0.7784,5.0514,0.4022,0.3822,0.2517
13,0.4077,0.8566,0.4077,0.3874,0.7597,4.2537,0.4408,0.4055,0.24
14,0.4118,0.8676,0.4118,0.3874,0.7538,3.81,0.4408,0.4092,0.2487
15,0.406,0.8752,0.406,0.3801,0.7513,3.5268,0.4467,0.4034,0.2586
16,0.4238,0.8754,0.4238,0.3981,0.734,3.9333,0.4624,0.4201,0.2479
17,0.437,0.8893,0.437,0.4126,0.717,3.2018,0.4916,0.4337,0.2586
18,0.4638,0.8999,0.4638,0.4303,0.7073,2.9059,0.514,0.4601,0.2337
19,0.4715,0.8954,0.4715,0.4424,0.7033,2.9317,0.5063,0.4678,0.2621
20,0.4597,0.8979,0.4597,0.4301,0.6984,3.1074,0.5159,0.4566,0.2639
21,0.4602,0.8977,0.4602,0.4351,0.6952,2.9453,0.5136,0.4569,0.2697
22,0.4675,0.8988,0.4675,0.4424,0.6894,3.3157,0.5237,0.464,0.2612
23,0.4808,0.9091,0.4808,0.456,0.6745,2.9281,0.5469,0.4772,0.2544
24,0.4903,0.9127,0.4903,0.4637,0.6742,2.9213,0.5516,0.4867,0.2549
25,0.5027,0.9131,0.5027,0.4742,0.6584,2.7143,0.5578,0.4993,0.2593
26,0.515,0.9206,0.515,0.4884,0.6404,2.6539,0.5885,0.5118,0.2604
27,0.5207,0.922,0.5207,0.4969,0.6407,2.5596,0.5925,0.5173,0.2741
28,0.5538,0.9266,0.5538,0.5355,0.6179,2.533,0.615,0.5511,0.2821
29,0.553,0.9294,0.553,0.5308,0.6206,2.3062,0.6209,0.5501,0.2757
30,0.5652,0.9306,0.5652,0.5459,0.6085,2.3,0.6281,0.5624,0.2817
31,0.5507,0.9284,0.5507,0.5328,0.6156,2.309,0.6241,0.5478,0.293
32,0.5623,0.9293,0.5623,0.5427,0.6068,2.3347,0.6298,0.5596,0.2733
33,0.576,0.9354,0.576,0.5577,0.5994,2.1496,0.6423,0.5733,0.2969
34,0.5692,0.9327,0.5692,0.5517,0.6034,2.2764,0.6372,0.5666,0.2832
35,0.5828,0.9351,0.5828,0.5698,0.5932,2.3057,0.6522,0.5806,0.2903
36,0.5852,0.9355,0.5852,0.5684,0.5887,2.2739,0.6569,0.5827,0.3004
37,0.5845,0.937,0.5845,0.5616,0.5784,2.1199,0.6588,0.5824,0.3144
38,0.5947,0.9362,0.5947,0.5746,0.5749,2.1993,0.6545,0.5922,0.307
39,0.6113,0.9383,0.6113,0.5983,0.5675,2.0997,0.6709,0.6094,0.3197
40,0.6138,0.9408,0.6138,0.603,0.5578,2.0132,0.6773,0.6119,0.3066
41,0.614,0.943,0.614,0.6029,0.5559,2.0425,0.6801,0.6125,0.311
42,0.612,0.9407,0.612,0.5988,0.5547,2.0992,0.6804,0.6101,0.3298
43,0.6242,0.9449,0.6242,0.613,0.5433,2.0234,0.6896,0.6224,0.3128
44,0.6257,0.9455,0.6257,0.6165,0.5434,1.9985,0.6999,0.624,0.3186
45,0.6215,0.9443,0.6215,0.6077,0.5435,1.966,0.6938,0.6197,0.3209
46,0.619,0.9419,0.619,0.6095,0.5476,2.116,0.6899,0.6174,0.3003
47,0.6307,0.9483,0.6307,0.6269,0.5379,1.9585,0.7086,0.6292,0.3284
48,0.6412,0.9492,0.6412,0.6335,0.5327,1.8493,0.7176,0.6397,0.3452
49,0.6302,0.9456,0.6302,0.6225,0.5358,2.0298,0.7096,0.6286,0.3334
50,0.6458,0.9509,0.6458,0.6402,0.5288,1.8906,0.7236,0.6444,0.3228
51,0.6542,0.953,0.6542,0.6494,0.5215,1.7639,0.7278,0.6527,0.3441
52,0.6522,0.947,0.6522,0.645,0.5184,2.0073,0.7262,0.6507,0.3256
53,0.6472,0.9507,0.6472,0.64,0.5199,1.8808,0.7219,0.6456,0.3502
54,0.6632,0.955,0.6632,0.6565,0.5131,1.7287,0.7397,0.662,0.3264
55,0.6565,0.9517,0.6565,0.6515,0.5135,1.8997,0.7355,0.6553,0.3505
56,0.6498,0.9523,0.6498,0.6451,0.5139,1.8717,0.733,0.6484,0.3376
57,0.6573,0.9522,0.6573,0.6517,0.5084,1.8782,0.7374,0.6561,0.3464
58,0.6672,0.9549,0.6672,0.6633,0.5047,1.7963,0.7442,0.6659,0.3526
59,0.6633,0.9555,0.6633,0.6575,0.5034,1.7207,0.7421,0.6623,0.354
