step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0377,0.5,0.0377,0.0028,1.9247,34.686,0.0385,0.0385,3.4559
1,0.0587,0.5217,0.0587,0.0177,1.434,33.337,0.0511,0.0589,0.3941
2,0.0863,0.5359,0.0863,0.0207,1.2606,31.9436,0.059,0.0854,0.3829
3,0.0943,0.5437,0.0943,0.029,1.1941,30.5786,0.0614,0.0924,0.3916
4,0.1073,0.5547,0.1073,0.0388,1.1285,29.2687,0.0776,0.1059,0.3855
5,0.1282,0.573,0.1282,0.0537,1.0914,27.9761,0.0943,0.1267,0.3925
6,0.1215,0.5791,0.1215,0.0535,1.0605,26.7256,0.0948,0.1208,0.3981
7,0.1323,0.583,0.1323,0.0718,1.071,26.724,0.1048,0.1322,0.387
8,0.1415,0.5943,0.1415,0.0727,1.0403,25.3991,0.1156,0.1412,0.3844
9,0.1508,0.5959,0.1508,0.0794,1.0407,25.3935,0.1345,0.1512,0.3821
10,0.158,0.6123,0.158,0.0932,1.0205,24.0415,0.1395,0.1573,0.3856
11,0.1643,0.6173,0.1643,0.0984,1.0044,22.8807,0.1457,0.1637,0.3901
12,0.1922,0.6358,0.1922,0.1165,0.9828,21.6014,0.162,0.1909,0.3821
13,0.1785,0.6319,0.1785,0.1206,0.9956,21.5729,0.1619,0.1766,0.3822
14,0.2037,0.6426,0.2037,0.1352,0.9732,20.3594,0.1677,0.2023,0.3905
15,0.1858,0.6424,0.1858,0.1267,0.9765,20.2706,0.1627,0.1848,0.3727
16,0.1963,0.6611,0.1963,0.1439,0.961,19.1623,0.1748,0.1954,0.3829
17,0.211,0.6657,0.211,0.1503,0.9501,19.0724,0.1884,0.2098,0.386
18,0.2242,0.6807,0.2242,0.1545,0.9349,17.8298,0.1952,0.2235,0.3938
19,0.213,0.6753,0.213,0.152,0.9483,17.86,0.1881,0.2116,0.4039
20,0.2223,0.676,0.2223,0.1618,0.9421,18.0486,0.1952,0.2216,0.4011
21,0.2197,0.6959,0.2197,0.1615,0.9304,16.5257,0.2077,0.2193,0.3843
22,0.2515,0.6926,0.2515,0.1831,0.914,16.5356,0.2175,0.2499,0.3934
23,0.2295,0.682,0.2295,0.1723,0.926,16.8376,0.2106,0.228,0.3969
24,0.2413,0.6999,0.2413,0.1743,0.9169,16.6197,0.232,0.2397,0.4044
25,0.2575,0.7001,0.2575,0.1897,0.917,16.7128,0.2419,0.2561,0.3881
26,0.2477,0.7008,0.2477,0.1827,0.9136,15.8678,0.2305,0.2462,0.3966
27,0.2522,0.7151,0.2522,0.1957,0.909,14.3464,0.2336,0.2507,0.3998
28,0.2485,0.7157,0.2485,0.1966,0.903,13.7351,0.2487,0.2473,0.3915
29,0.239,0.7152,0.239,0.1916,0.9084,13.6186,0.2367,0.2379,0.3947
30,0.2697,0.7201,0.2697,0.215,0.8953,13.6821,0.2517,0.2692,0.3948
31,0.2648,0.7261,0.2648,0.217,0.893,13.2887,0.2543,0.2643,0.4021
32,0.2545,0.7234,0.2545,0.1994,0.8963,13.4735,0.2457,0.2536,0.3875
33,0.2738,0.7182,0.2738,0.2277,0.8865,13.9097,0.2672,0.2728,0.4172
34,0.2563,0.7257,0.2563,0.2105,0.887,13.561,0.2628,0.2554,0.3971
35,0.2825,0.7338,0.2825,0.2245,0.8779,13.4015,0.2723,0.2814,0.3998
36,0.2892,0.7505,0.2892,0.2481,0.8654,11.8436,0.2974,0.2875,0.4082
37,0.2812,0.7562,0.2812,0.2473,0.8631,10.8026,0.3017,0.2799,0.3903
38,0.3013,0.7558,0.3013,0.2579,0.8543,10.9302,0.3033,0.2994,0.4112
39,0.3157,0.7516,0.3157,0.2694,0.8475,11.674,0.3165,0.3138,0.3946
40,0.3293,0.7608,0.3293,0.2812,0.8414,11.0721,0.3223,0.328,0.4128
41,0.3358,0.7826,0.3358,0.2914,0.8273,9.8924,0.3398,0.3349,0.3732
42,0.3238,0.7824,0.3238,0.282,0.8315,9.1438,0.3267,0.3228,0.3992
43,0.3373,0.7785,0.3373,0.2977,0.8358,9.5497,0.3323,0.3364,0.4047
44,0.31,0.7793,0.31,0.2758,0.8402,9.0417,0.333,0.3091,0.3932
45,0.3158,0.7857,0.3158,0.2761,0.8336,8.8793,0.334,0.3149,0.4037
46,0.321,0.7786,0.321,0.284,0.837,9.1076,0.3358,0.3198,0.3966
47,0.322,0.7819,0.322,0.2803,0.8271,9.1166,0.3456,0.3211,0.4065
48,0.3353,0.7944,0.3353,0.2996,0.8202,8.7015,0.3622,0.3343,0.3937
49,0.3295,0.792,0.3295,0.2922,0.8172,8.7173,0.3568,0.3294,0.3921
