step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0402,0.5,0.0402,0.003,1.9197,34.5959,0.0385,0.0385,21.407
1,0.0485,0.5162,0.0485,0.0105,1.504,33.2991,0.0488,0.047,20.2596
2,0.0633,0.5204,0.0633,0.0183,1.281,31.9799,0.0607,0.0625,20.1564
3,0.084,0.5362,0.084,0.0261,1.1937,30.6331,0.0631,0.0826,19.58
4,0.0695,0.5428,0.0695,0.0332,1.1882,29.3178,0.0713,0.0681,20.3597
5,0.0892,0.5437,0.0892,0.0369,1.1173,28.0023,0.0724,0.0878,19.3692
6,0.0912,0.5555,0.0912,0.0348,1.1184,27.9768,0.0818,0.0902,21.6859
7,0.1065,0.5684,0.1065,0.0429,1.0733,26.6292,0.0889,0.1051,19.8517
8,0.1162,0.5752,0.1162,0.0522,1.0524,25.4615,0.0934,0.1145,20.6979
9,0.1073,0.5819,0.1073,0.0467,1.051,24.1084,0.0914,0.1059,20.5831
10,0.1222,0.5901,0.1222,0.0686,1.0198,22.8669,0.1143,0.121,21.9336
11,0.1358,0.5999,0.1358,0.0829,1.0041,21.6258,0.1224,0.135,20.9576
12,0.1338,0.5885,0.1338,0.0743,1.014,21.8065,0.1191,0.1326,19.7845
13,0.1465,0.6058,0.1465,0.0905,1.0038,20.5936,0.1238,0.1453,21.6645
14,0.1467,0.6163,0.1467,0.1031,0.9934,19.1589,0.1334,0.1455,22.0662
15,0.1608,0.6248,0.1608,0.1075,0.9789,19.3034,0.1433,0.1588,20.2814
16,0.165,0.6329,0.165,0.1233,0.969,17.9788,0.1464,0.1632,20.8844
17,0.1662,0.6396,0.1662,0.1195,0.9741,17.9589,0.1482,0.1644,20.7083
18,0.1633,0.6426,0.1633,0.1101,0.9713,18.0006,0.1562,0.1619,22.1632
19,0.1705,0.6488,0.1705,0.1175,0.9656,18.2512,0.1722,0.169,21.2544
20,0.1852,0.6546,0.1852,0.116,0.9557,18.073,0.1797,0.183,19.7457
21,0.1907,0.6416,0.1907,0.1205,0.9581,18.2308,0.1716,0.1884,21.6794
22,0.1908,0.6576,0.1908,0.1279,0.9474,17.0195,0.1919,0.189,22.0076
23,0.1827,0.6582,0.1827,0.1261,0.9488,15.6816,0.1739,0.1804,20.1347
24,0.2258,0.6767,0.2258,0.1604,0.9284,15.397,0.2054,0.223,20.7415
25,0.2062,0.677,0.2062,0.1485,0.9333,15.653,0.2093,0.2039,20.4716
26,0.2257,0.6924,0.2257,0.1637,0.9188,15.364,0.224,0.2232,22.305
27,0.2175,0.6832,0.2175,0.1622,0.9248,15.5908,0.2157,0.215,21.1281
28,0.2357,0.6935,0.2357,0.1828,0.9103,14.4344,0.2411,0.2338,19.8075
29,0.2397,0.6993,0.2397,0.1711,0.9075,14.2388,0.2382,0.2377,21.8396
30,0.2373,0.6944,0.2373,0.1807,0.9051,13.6726,0.2404,0.236,22.0276
31,0.2377,0.6836,0.2377,0.175,0.9066,13.7017,0.2416,0.2358,20.3904
32,0.2482,0.7019,0.2482,0.1977,0.8954,12.5977,0.2603,0.2459,20.825
33,0.242,0.7175,0.242,0.1893,0.8926,12.314,0.2606,0.24,20.7648
34,0.249,0.7003,0.249,0.1921,0.8933,11.9471,0.2552,0.2466,22.2535
35,0.2568,0.7376,0.2568,0.208,0.8777,10.6687,0.2784,0.2547,21.3046
36,0.2772,0.7296,0.2772,0.2251,0.8734,10.8296,0.2841,0.274,20.0728
37,0.2742,0.7291,0.2742,0.219,0.8735,11.0303,0.2868,0.2717,21.9942
38,0.2578,0.7261,0.2578,0.2115,0.8799,11.1384,0.2871,0.2552,22.3399
39,0.3023,0.7486,0.3023,0.2476,0.8548,10.7555,0.3127,0.299,20.6095
40,0.2867,0.7396,0.2867,0.2305,0.8676,11.0031,0.303,0.2838,21.424
41,0.278,0.7412,0.278,0.2264,0.8638,10.652,0.3051,0.2749,21.1302
42,0.2967,0.7454,0.2967,0.2447,0.8599,10.6622,0.3091,0.2936,22.8172
43,0.2822,0.7271,0.2822,0.2315,0.8733,11.1478,0.2853,0.2795,21.6119
44,0.302,0.7535,0.302,0.2546,0.8557,9.8227,0.3099,0.2995,20.3543
45,0.3142,0.7559,0.3142,0.2616,0.8502,9.4098,0.3248,0.3113,22.2673
46,0.2868,0.7411,0.2868,0.2404,0.8623,10.2797,0.311,0.2845,22.631
47,0.282,0.7482,0.282,0.2404,0.8664,10.3316,0.3078,0.2797,20.742
48,0.2858,0.7501,0.2858,0.2457,0.8651,9.8983,0.3106,0.2841,21.3446
49,0.2933,0.7453,0.2933,0.2593,0.8552,8.6764,0.3167,0.2916,21.0298
50,0.3163,0.7705,0.3163,0.2768,0.8431,8.6571,0.3412,0.3151,22.4905
51,0.3358,0.775,0.3358,0.2904,0.8338,8.7326,0.3539,0.3351,21.356
52,0.333,0.7733,0.333,0.2815,0.8376,8.6803,0.3496,0.3325,20.174
53,0.3308,0.7723,0.3308,0.2784,0.8327,8.8871,0.3549,0.3302,22.0663
54,0.329,0.7721,0.329,0.2759,0.8351,8.369,0.3441,0.3286,22.1127
55,0.3353,0.7747,0.3353,0.2893,0.8312,8.6814,0.3565,0.3348,19.9778
56,0.3323,0.7839,0.3323,0.2891,0.8297,8.725,0.3535,0.3316,20.3971
57,0.3403,0.7808,0.3403,0.2932,0.8255,8.894,0.3658,0.3394,20.8644
58,0.3347,0.7803,0.3347,0.2818,0.8246,8.7372,0.363,0.3339,22.3078
59,0.3343,0.7804,0.3343,0.2878,0.8301,8.8813,0.3634,0.3336,21.2668
