step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1065,0.5804,0.1065,0.0704,1.0442,24.1266,0.0938,0.1045,0.0053
1,0.1607,0.6621,0.1607,0.1097,0.9646,18.0161,0.1633,0.1591,0.0045
2,0.2537,0.6969,0.2537,0.1898,0.9038,15.0387,0.2433,0.2499,0.0046
3,0.2972,0.7307,0.2972,0.2401,0.871,12.2881,0.2826,0.2941,0.0045
4,0.3347,0.7878,0.3347,0.3004,0.828,8.1364,0.3505,0.3318,0.0052
5,0.3387,0.7965,0.3387,0.302,0.8231,7.2567,0.3712,0.3363,0.0043
6,0.3332,0.8145,0.3332,0.2999,0.8077,6.5692,0.391,0.3305,0.0045
7,0.3853,0.8366,0.3853,0.3522,0.7775,5.5656,0.4402,0.382,0.0044
8,0.4098,0.8532,0.4098,0.3861,0.756,4.8967,0.4668,0.4062,0.0047
9,0.4722,0.8699,0.4722,0.4466,0.717,4.581,0.516,0.4687,0.0043
10,0.4847,0.8795,0.4847,0.4695,0.7001,4.1983,0.5422,0.4813,0.0043
11,0.5072,0.8862,0.5072,0.494,0.6924,3.9285,0.5532,0.504,0.0041
12,0.5107,0.8837,0.5107,0.4995,0.6822,4.2135,0.5611,0.5082,0.0044
13,0.5378,0.8975,0.5378,0.5279,0.661,3.7306,0.5955,0.5356,0.0047
14,0.5705,0.9159,0.5705,0.564,0.6365,2.7431,0.6235,0.5692,0.0042
15,0.558,0.9143,0.558,0.5485,0.635,2.9754,0.6288,0.5565,0.0047
16,0.5755,0.9174,0.5755,0.5644,0.6174,2.9742,0.6425,0.5747,0.0047
17,0.5832,0.9187,0.5832,0.5743,0.6095,3.0069,0.6427,0.582,0.0043
18,0.5937,0.9256,0.5937,0.5878,0.5971,2.7083,0.6655,0.5924,0.0042
19,0.6088,0.9261,0.6088,0.6058,0.5838,2.5927,0.6676,0.6077,0.0045
20,0.6088,0.9318,0.6088,0.6098,0.5778,2.6421,0.6876,0.608,0.0047
21,0.6342,0.94,0.6342,0.6411,0.5697,2.3306,0.7046,0.6338,0.0046
22,0.6455,0.9418,0.6455,0.6536,0.555,2.3281,0.717,0.645,0.0041
23,0.6458,0.9409,0.6458,0.6498,0.5503,2.3245,0.7193,0.645,0.0041
24,0.6558,0.9386,0.6558,0.6617,0.5456,2.4576,0.7191,0.655,0.0046
25,0.6835,0.9454,0.6835,0.6908,0.5268,2.2609,0.7489,0.6828,0.0041
26,0.6788,0.945,0.6788,0.6853,0.522,2.3599,0.7462,0.6783,0.0042
27,0.679,0.9471,0.679,0.6866,0.51,2.2315,0.7472,0.6785,0.0046
28,0.6865,0.9481,0.6865,0.695,0.5112,2.1015,0.7529,0.6866,0.0044
29,0.6982,0.9526,0.6982,0.705,0.4972,2.0346,0.7647,0.6984,0.0042
30,0.6923,0.9525,0.6923,0.6983,0.5003,1.9081,0.7612,0.6921,0.0046
31,0.7025,0.9576,0.7025,0.7086,0.4871,1.7582,0.7751,0.7026,0.0041
32,0.7103,0.9574,0.7103,0.7165,0.4847,1.7332,0.7743,0.7103,0.0043
33,0.7032,0.9595,0.7032,0.7108,0.4821,1.6045,0.7753,0.703,0.0045
34,0.7133,0.9615,0.7133,0.7188,0.4707,1.6553,0.7857,0.713,0.0043
35,0.7132,0.9606,0.7132,0.7188,0.477,1.6871,0.7819,0.7128,0.0042
36,0.7092,0.9605,0.7092,0.713,0.4687,1.7183,0.7806,0.7085,0.0042
37,0.7202,0.9612,0.7202,0.726,0.4664,1.7193,0.7874,0.7201,0.0042
38,0.7167,0.9617,0.7167,0.7222,0.4672,1.7262,0.7851,0.7163,0.0042
39,0.7267,0.9627,0.7267,0.7311,0.4548,1.7216,0.7982,0.7262,0.0041
40,0.7268,0.9626,0.7268,0.7316,0.4553,1.6692,0.7914,0.7263,0.0043
41,0.7212,0.9639,0.7212,0.7267,0.4548,1.64,0.7946,0.7206,0.0041
42,0.7295,0.9664,0.7295,0.7336,0.4463,1.5706,0.7998,0.7291,0.005
43,0.7313,0.9636,0.7313,0.7366,0.4477,1.6725,0.7991,0.731,0.0043
44,0.7277,0.9669,0.7277,0.7334,0.4427,1.5127,0.7982,0.7272,0.0042
45,0.74,0.9673,0.74,0.7455,0.4384,1.6008,0.8077,0.7395,0.0043
46,0.741,0.9684,0.741,0.7458,0.4345,1.5034,0.8062,0.7405,0.0042
47,0.7437,0.9693,0.7437,0.7483,0.4332,1.4856,0.8112,0.7432,0.0044
48,0.7377,0.9668,0.7377,0.7419,0.4405,1.5707,0.8023,0.7372,0.0041
49,0.739,0.9695,0.739,0.7448,0.4307,1.4458,0.8081,0.7385,0.0041
50,0.744,0.9701,0.744,0.7488,0.4321,1.4404,0.8101,0.7433,0.0044
51,0.7457,0.9696,0.7457,0.7522,0.4265,1.5058,0.8137,0.7451,0.0041
52,0.746,0.9697,0.746,0.7515,0.4275,1.4729,0.8127,0.7452,0.0041
53,0.7573,0.9737,0.7573,0.7636,0.4188,1.2943,0.8235,0.7568,0.0045
54,0.7512,0.9723,0.7512,0.757,0.4175,1.3653,0.8228,0.7507,0.0042
55,0.753,0.9713,0.753,0.7592,0.4163,1.3935,0.8212,0.7523,0.0041
56,0.7527,0.9729,0.7527,0.7578,0.4133,1.3446,0.8254,0.7521,0.0044
57,0.7613,0.9725,0.7613,0.7659,0.4096,1.3699,0.8312,0.7607,0.0042
58,0.7562,0.974,0.7562,0.7615,0.4093,1.3255,0.8257,0.7555,0.0041
59,0.7585,0.9748,0.7585,0.7635,0.4085,1.3018,0.8309,0.7581,0.0052
