step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0063
1,0.1762,0.5487,0.1762,0.0591,1.3019,28.6458,0.1255,0.1694,0.4446
2,0.1777,0.5764,0.1777,0.0644,1.2229,25.406,0.1518,0.171,0.4262
3,0.2253,0.5926,0.2253,0.108,1.1118,21.9321,0.1878,0.2167,0.4174
4,0.3169,0.6622,0.3169,0.1827,0.9575,18.2992,0.3022,0.3048,0.402
5,0.3745,0.6977,0.3745,0.249,0.8545,18.018,0.3732,0.3648,0.3559
6,0.4494,0.7453,0.4494,0.3442,0.7718,14.4153,0.4534,0.4372,0.3957
7,0.4254,0.7403,0.4254,0.3356,0.8155,14.4569,0.4391,0.4135,0.3695
8,0.4627,0.7737,0.4627,0.4025,0.7584,11.1842,0.4852,0.4526,0.387
9,0.4627,0.7781,0.4627,0.3948,0.7543,11.1735,0.488,0.453,0.419
10,0.4488,0.78,0.4488,0.3967,0.7912,11.1704,0.473,0.442,0.3835
11,0.4488,0.7819,0.4488,0.3993,0.7976,11.1823,0.4644,0.4427,0.427
12,0.4679,0.7959,0.4679,0.4017,0.7704,11.1476,0.5022,0.464,0.3752
13,0.4691,0.7941,0.4691,0.4046,0.7863,11.1518,0.4911,0.4639,0.414
14,0.4958,0.7984,0.4958,0.4228,0.7543,11.0953,0.505,0.4896,0.3811
15,0.5097,0.7982,0.5097,0.4394,0.7325,11.0526,0.5067,0.5029,0.3871
16,0.5224,0.799,0.5224,0.4501,0.7103,11.0124,0.5085,0.515,0.4332
17,0.6225,0.8524,0.6225,0.5736,0.6045,7.6207,0.6086,0.6185,0.4958
18,0.6186,0.8537,0.6186,0.5655,0.5975,7.6177,0.6126,0.6148,0.4866
19,0.6225,0.8571,0.6225,0.5699,0.592,7.5777,0.6172,0.6186,0.4928
20,0.6225,0.8578,0.6225,0.5685,0.5882,7.567,0.6154,0.6185,0.4861
21,0.6219,0.8591,0.6219,0.5663,0.5851,7.5605,0.6191,0.6181,0.4542
22,0.6419,0.8666,0.6419,0.5793,0.5623,7.5098,0.6394,0.6372,0.5037
23,0.6346,0.8643,0.6346,0.5725,0.5675,7.5237,0.6353,0.6297,0.5431
24,0.6489,0.8651,0.6489,0.5854,0.5429,7.4798,0.639,0.6431,0.525
25,0.6413,0.8661,0.6413,0.5778,0.5521,7.4941,0.6348,0.6345,0.5602
26,0.6392,0.8659,0.6392,0.5764,0.5541,7.497,0.635,0.6323,0.5018
27,0.6601,0.9162,0.6601,0.6171,0.4952,4.2031,0.7213,0.6543,0.5181
28,0.6753,0.9179,0.6753,0.6335,0.4897,4.1858,0.7254,0.6701,0.4639
