step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4412,0.7726,0.4412,0.3514,0.7533,8.2144,0.4796,0.4354,0.0578
1,0.7592,0.9318,0.7592,0.7447,0.4222,1.0697,0.7963,0.7563,0.1611
2,0.7508,0.9529,0.7508,0.745,0.404,0.9231,0.8126,0.7485,0.1582
3,0.8129,0.9618,0.8129,0.8113,0.342,0.793,0.8582,0.813,0.1567
4,0.8269,0.9747,0.8269,0.8288,0.3206,0.7292,0.8878,0.8276,0.1573
5,0.8563,0.9774,0.8563,0.8541,0.2751,0.6694,0.9017,0.8567,0.1593
6,0.8572,0.9797,0.8572,0.8536,0.2632,0.6391,0.9056,0.8571,0.1676
7,0.8696,0.9799,0.8696,0.8672,0.2471,0.6107,0.907,0.87,0.1592
8,0.8623,0.9792,0.8623,0.8598,0.2526,0.5965,0.9069,0.8625,0.1678
9,0.8648,0.9783,0.8648,0.8626,0.2473,0.5889,0.905,0.8653,0.1592
10,0.8648,0.9791,0.8648,0.8621,0.2368,0.5708,0.9073,0.8653,0.1679
11,0.8751,0.9814,0.8751,0.8736,0.2269,0.5454,0.9092,0.8753,0.1605
12,0.8651,0.9805,0.8651,0.8628,0.2361,0.5684,0.9057,0.8651,0.1624
13,0.8808,0.9809,0.8808,0.8788,0.2199,0.5448,0.9064,0.8812,0.1637
14,0.8854,0.9818,0.8854,0.8834,0.214,0.5336,0.9078,0.8856,0.1595
15,0.8896,0.9818,0.8896,0.8879,0.2073,0.5273,0.9132,0.8902,0.1625
16,0.8954,0.9829,0.8954,0.8941,0.1991,0.5076,0.9168,0.8963,0.1618
17,0.8981,0.9831,0.8981,0.8967,0.196,0.5026,0.9162,0.899,0.1651
18,0.896,0.9847,0.896,0.8947,0.192,0.4738,0.9228,0.8968,0.1807
19,0.896,0.9848,0.896,0.8947,0.1872,0.4654,0.9252,0.8968,0.1648
20,0.8981,0.9853,0.8981,0.8967,0.1864,0.463,0.9296,0.8989,0.17
21,0.9027,0.9857,0.9027,0.9012,0.1821,0.457,0.9313,0.9035,0.1705
22,0.9027,0.9885,0.9027,0.9011,0.1798,0.4204,0.9387,0.9035,0.164
23,0.906,0.9896,0.906,0.9048,0.1711,0.4029,0.9445,0.9068,0.1631
