step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7265,0.8612,0.7265,0.6838,0.4771,4.4145,0.7059,0.7213,0.08
1,0.7635,0.9096,0.7635,0.75,0.3839,1.0828,0.7897,0.7604,0.1516
2,0.7693,0.927,0.7693,0.7541,0.378,1.0056,0.8034,0.7662,0.1466
3,0.8023,0.9407,0.8023,0.7979,0.3344,0.8815,0.8279,0.8007,0.1525
4,0.8008,0.9429,0.8008,0.7963,0.3245,0.8593,0.8356,0.7992,0.1498
5,0.805,0.9461,0.805,0.7981,0.3166,0.8489,0.8407,0.8034,0.1527
6,0.8075,0.9591,0.8075,0.8022,0.2966,0.7507,0.8721,0.8059,0.1513
7,0.8211,0.963,0.8211,0.8171,0.2822,0.715,0.8748,0.8204,0.1519
8,0.8232,0.965,0.8232,0.8202,0.2745,0.6973,0.8753,0.8226,0.1523
9,0.8317,0.9678,0.8317,0.8294,0.2636,0.6639,0.8803,0.8314,0.161
10,0.8369,0.9669,0.8369,0.835,0.2614,0.6709,0.874,0.8369,0.1559
11,0.8354,0.9663,0.8354,0.8337,0.2606,0.6745,0.8743,0.8353,0.1509
12,0.8366,0.9669,0.8366,0.8358,0.2573,0.6661,0.8776,0.8367,0.1586
13,0.8329,0.9655,0.8329,0.8318,0.2591,0.6777,0.8767,0.8329,0.154
14,0.8332,0.9648,0.8332,0.8318,0.259,0.6832,0.8753,0.8332,0.1598
15,0.8335,0.9646,0.8335,0.8318,0.2601,0.6878,0.8741,0.8334,0.1645
16,0.836,0.9655,0.836,0.834,0.2547,0.6786,0.8762,0.8358,0.1646
17,0.8399,0.968,0.8399,0.8391,0.2466,0.6588,0.8839,0.8396,0.1496
18,0.8451,0.9679,0.8451,0.8441,0.241,0.6589,0.8863,0.8447,0.1663
19,0.8451,0.9683,0.8451,0.844,0.2394,0.6553,0.8873,0.8448,0.1566
20,0.8514,0.9688,0.8514,0.8509,0.2344,0.6478,0.8898,0.851,0.1625
21,0.8526,0.9687,0.8526,0.8521,0.2343,0.6525,0.8895,0.8522,0.155
22,0.8596,0.9757,0.8596,0.8585,0.2184,0.5614,0.9027,0.8591,0.1552
23,0.8693,0.9784,0.8693,0.8688,0.2041,0.521,0.9085,0.8693,0.1544
24,0.879,0.9796,0.879,0.8789,0.1944,0.4985,0.9116,0.8792,0.16
25,0.8808,0.9801,0.8808,0.8805,0.19,0.4895,0.9141,0.881,0.161
26,0.882,0.9809,0.882,0.8817,0.1882,0.4797,0.9134,0.8819,0.1566
27,0.8808,0.9812,0.8808,0.8805,0.1902,0.4827,0.9127,0.8806,0.1659
28,0.8851,0.982,0.8851,0.8846,0.1824,0.4682,0.9182,0.885,0.1627
29,0.8866,0.982,0.8866,0.8859,0.181,0.4684,0.9192,0.8866,0.1662
30,0.8878,0.9822,0.8878,0.8871,0.1787,0.465,0.921,0.8877,0.165
31,0.8884,0.9824,0.8884,0.8877,0.1771,0.4627,0.9224,0.8883,0.1638
32,0.8866,0.9823,0.8866,0.8862,0.1777,0.4643,0.9209,0.8865,0.1668
33,0.889,0.9824,0.889,0.8886,0.1749,0.46,0.9218,0.889,0.1624
34,0.8908,0.9827,0.8908,0.8904,0.1736,0.4598,0.9236,0.8908,0.1792
35,0.8899,0.9828,0.8899,0.8895,0.1722,0.4584,0.9249,0.8899,0.1713
36,0.8902,0.9827,0.8902,0.8898,0.1719,0.4588,0.9247,0.8901,0.168
37,0.8914,0.9826,0.8914,0.8911,0.1714,0.4609,0.9247,0.8914,0.1739
38,0.8924,0.9826,0.8924,0.892,0.1714,0.4605,0.9244,0.8923,0.1727
39,0.893,0.9826,0.893,0.8925,0.1714,0.4608,0.9241,0.8929,0.1842
40,0.8908,0.9828,0.8908,0.8904,0.1723,0.4611,0.923,0.8906,0.1694
41,0.8899,0.9828,0.8899,0.8897,0.1713,0.4601,0.9227,0.8898,0.171
42,0.8921,0.9832,0.8921,0.892,0.1707,0.4569,0.9228,0.892,0.1747
43,0.8924,0.9833,0.8924,0.8924,0.1675,0.4519,0.9242,0.8923,0.1699
44,0.8924,0.9834,0.8924,0.8923,0.1669,0.45,0.9244,0.8923,0.17
45,0.8939,0.9836,0.8939,0.8939,0.1658,0.4455,0.9254,0.8939,0.1738
46,0.8924,0.9835,0.8924,0.8925,0.1658,0.4471,0.9254,0.8923,0.173
47,0.8927,0.9832,0.8927,0.8929,0.1665,0.4519,0.925,0.8925,0.1728
48,0.8942,0.9831,0.8942,0.8943,0.1658,0.452,0.9252,0.894,0.1939
49,0.8951,0.9833,0.8951,0.8952,0.1653,0.4509,0.9255,0.895,0.1846
50,0.8945,0.9833,0.8945,0.8946,0.165,0.4508,0.9257,0.8943,0.1774
51,0.8957,0.9834,0.8957,0.8956,0.164,0.4481,0.926,0.8956,0.1769
52,0.8948,0.9834,0.8948,0.8947,0.1644,0.4498,0.9261,0.8946,0.1686
53,0.8948,0.9836,0.8948,0.8946,0.1636,0.4482,0.927,0.8947,0.1876
54,0.896,0.9836,0.896,0.8962,0.1621,0.4455,0.9272,0.8959,0.1701
55,0.8969,0.9836,0.8969,0.8971,0.1612,0.4438,0.9272,0.8969,0.1782
56,0.896,0.9836,0.896,0.8961,0.1618,0.4476,0.9277,0.8959,0.1711
57,0.8978,0.9835,0.8978,0.8976,0.1611,0.4502,0.9279,0.8978,0.1731
58,0.8948,0.9836,0.8948,0.8946,0.1623,0.4518,0.9277,0.8947,0.1678
59,0.8969,0.9836,0.8969,0.8967,0.1618,0.451,0.928,0.8969,0.1763
