step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7047,0.8932,0.7047,0.6739,0.4807,4.7078,0.7377,0.7059,6.6831
1,0.7699,0.9733,0.7699,0.7487,0.3516,0.7811,0.882,0.7672,5.7663
2,0.805,0.9844,0.805,0.7881,0.3028,0.6558,0.9195,0.802,5.8802
3,0.8235,0.9872,0.8235,0.816,0.282,0.5939,0.9258,0.8213,6.1746
4,0.8529,0.9905,0.8529,0.8486,0.2449,0.5235,0.9413,0.8512,6.2352
5,0.8817,0.9918,0.8817,0.8797,0.2134,0.4644,0.9504,0.8809,6.4339
6,0.8924,0.9929,0.8924,0.889,0.1896,0.419,0.9569,0.8919,6.4319
7,0.8987,0.9923,0.8987,0.895,0.1789,0.4017,0.9558,0.8981,5.6644
8,0.9024,0.9931,0.9024,0.8989,0.1698,0.3828,0.9597,0.9019,5.9675
9,0.913,0.9935,0.913,0.9099,0.1565,0.3597,0.9625,0.9125,5.7089
10,0.913,0.9942,0.913,0.9096,0.149,0.3417,0.9652,0.9124,6.2284
11,0.919,0.9944,0.919,0.916,0.1444,0.3317,0.9669,0.9184,6.2043
12,0.9224,0.9949,0.9224,0.92,0.1407,0.3197,0.9688,0.922,6.5214
13,0.923,0.995,0.923,0.9207,0.1394,0.3142,0.9691,0.9226,6.5908
14,0.9212,0.9954,0.9212,0.9187,0.1352,0.3044,0.9709,0.9208,6.6326
15,0.9227,0.9955,0.9227,0.9205,0.1327,0.2984,0.9716,0.9225,6.7863
16,0.9218,0.9958,0.9218,0.9194,0.13,0.2912,0.9729,0.9215,7.007
17,0.9236,0.9957,0.9236,0.9215,0.128,0.288,0.9724,0.9233,6.9726
18,0.9215,0.9961,0.9215,0.9191,0.127,0.2831,0.9741,0.9211,6.8864
19,0.9224,0.9961,0.9224,0.9201,0.1242,0.2766,0.974,0.9221,7.0475
20,0.926,0.9962,0.926,0.924,0.121,0.2691,0.9745,0.9258,7.0127
21,0.9254,0.9962,0.9254,0.9233,0.12,0.2657,0.9747,0.9251,7.0852
22,0.9263,0.9962,0.9263,0.9241,0.1194,0.2645,0.9744,0.926,7.0938
23,0.9297,0.9962,0.9297,0.9276,0.1171,0.2602,0.9748,0.9293,7.018
24,0.9294,0.9962,0.9294,0.9273,0.1155,0.257,0.9747,0.929,7.4923
25,0.929,0.9962,0.929,0.927,0.1149,0.2545,0.9748,0.9288,7.5177
26,0.9297,0.9963,0.9297,0.9278,0.1127,0.2502,0.9754,0.9293,7.4424
27,0.9315,0.9962,0.9315,0.9297,0.1116,0.2485,0.9751,0.9311,7.4152
28,0.9312,0.9962,0.9312,0.9293,0.1109,0.2478,0.9752,0.9309,7.4729
29,0.9297,0.9962,0.9297,0.9278,0.1102,0.2454,0.9756,0.9293,7.5381
30,0.9309,0.9963,0.9309,0.9291,0.1094,0.2432,0.9759,0.9306,7.585
