step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.517,0.766,0.517,0.3863,0.7045,14.4993,0.5024,0.5121,1.201
1,0.6531,0.839,0.6531,0.5827,0.5415,7.6318,0.669,0.6475,0.4089
2,0.6822,0.8644,0.6822,0.6069,0.4828,7.4303,0.6781,0.6761,0.4028
3,0.6883,0.875,0.6883,0.6159,0.4676,7.3466,0.7176,0.6811,0.4102
4,0.7201,0.9097,0.7201,0.6687,0.4189,4.1578,0.7743,0.7143,0.411
5,0.7508,0.915,0.7508,0.7014,0.3799,4.0818,0.7831,0.7458,0.4084
6,0.755,0.9183,0.755,0.7041,0.3713,4.0546,0.7893,0.7495,0.403
7,0.7629,0.9199,0.7629,0.7104,0.3669,4.0378,0.7898,0.7569,0.4098
8,0.7647,0.9184,0.7647,0.7131,0.3659,4.04,0.7882,0.7588,0.4127
9,0.7605,0.9176,0.7605,0.7079,0.368,4.047,0.7827,0.7545,0.4021
10,0.7729,0.9212,0.7729,0.7274,0.3505,3.9998,0.7939,0.7678,0.4122
11,0.7774,0.9214,0.7774,0.7308,0.3433,3.9874,0.7939,0.7722,0.4076
12,0.7802,0.9213,0.7802,0.7334,0.3431,3.9931,0.7927,0.7749,0.4134
13,0.7926,0.9359,0.7926,0.7628,0.3174,1.0064,0.8398,0.788,0.417
14,0.8117,0.9391,0.8117,0.7906,0.2949,0.9707,0.8486,0.8076,0.4174
15,0.812,0.9405,0.812,0.79,0.2954,0.976,0.8503,0.8078,0.4154
16,0.8141,0.9426,0.8141,0.7931,0.2865,0.9657,0.8597,0.8099,0.4088
17,0.8399,0.959,0.8399,0.8233,0.249,0.7522,0.8937,0.8367,0.404
18,0.8432,0.957,0.8432,0.8299,0.2414,0.7429,0.8904,0.8402,0.4142
19,0.8454,0.9583,0.8454,0.832,0.2357,0.7293,0.8932,0.8425,0.4175
20,0.8493,0.9571,0.8493,0.8362,0.2346,0.7404,0.8925,0.8466,0.4101
21,0.8633,0.985,0.8633,0.8559,0.2058,0.471,0.9247,0.8612,0.4171
22,0.8736,0.9852,0.8736,0.8693,0.1957,0.4525,0.9272,0.8718,0.419
23,0.8739,0.9849,0.8739,0.8691,0.1938,0.4574,0.9294,0.872,0.4084
24,0.8733,0.9848,0.8733,0.8682,0.1913,0.4565,0.929,0.8714,0.4074
25,0.8799,0.9856,0.8799,0.8762,0.1844,0.44,0.9344,0.8784,0.4097
26,0.8896,0.9882,0.8896,0.8878,0.1679,0.3929,0.9459,0.8886,0.4161
27,0.8924,0.9882,0.8924,0.8913,0.1638,0.387,0.9465,0.8914,0.4181
28,0.8927,0.988,0.8927,0.8916,0.1638,0.3883,0.9453,0.8917,0.4226
29,0.8902,0.9877,0.8902,0.8887,0.1678,0.3961,0.942,0.8892,0.4197
30,0.8924,0.9878,0.8924,0.8908,0.1656,0.3918,0.9442,0.8914,0.4114
31,0.896,0.9878,0.896,0.8949,0.1629,0.3883,0.9448,0.8951,0.4193
32,0.8975,0.9878,0.8975,0.8963,0.1604,0.3836,0.9455,0.8967,0.4228
33,0.9002,0.989,0.9002,0.8995,0.1544,0.3625,0.9491,0.8996,0.4208
34,0.8993,0.9889,0.8993,0.8985,0.155,0.3654,0.948,0.8987,0.4297
35,0.9048,0.9918,0.9048,0.9041,0.1497,0.337,0.9537,0.9044,0.4222
36,0.9081,0.9922,0.9081,0.9076,0.1454,0.3273,0.9552,0.9077,0.4146
37,0.9087,0.9922,0.9087,0.9083,0.1445,0.3264,0.9553,0.9085,0.4163
38,0.9069,0.9922,0.9069,0.9065,0.1445,0.3252,0.9552,0.9067,0.4182
39,0.906,0.9924,0.906,0.9054,0.1429,0.3219,0.9559,0.9057,0.42
40,0.9081,0.9925,0.9081,0.9076,0.1408,0.3176,0.9557,0.9079,0.4265
41,0.9078,0.9925,0.9078,0.9072,0.1406,0.3166,0.9558,0.9076,0.4237
42,0.9133,0.9928,0.9133,0.9128,0.137,0.3106,0.9576,0.9131,0.4254
43,0.9127,0.9928,0.9127,0.9121,0.137,0.3108,0.9577,0.9124,0.4206
44,0.9127,0.9928,0.9127,0.9121,0.1365,0.3101,0.9577,0.9124,0.4277
45,0.9133,0.9928,0.9133,0.9128,0.1358,0.3078,0.9578,0.9131,0.4221
46,0.9157,0.9928,0.9157,0.9153,0.1349,0.3065,0.958,0.9156,0.4283
47,0.9169,0.9928,0.9169,0.9165,0.1344,0.3058,0.9573,0.9168,0.427
48,0.9151,0.9927,0.9151,0.9146,0.1342,0.3051,0.9569,0.915,0.4336
49,0.9145,0.9927,0.9145,0.9139,0.1344,0.3056,0.9567,0.9143,0.4243
50,0.9139,0.9927,0.9139,0.9134,0.134,0.3047,0.9569,0.9137,0.4191
51,0.9151,0.9926,0.9151,0.9145,0.1331,0.3035,0.957,0.9149,0.4255
52,0.9206,0.9934,0.9206,0.9201,0.1289,0.2931,0.9599,0.9205,0.4118
53,0.9209,0.9935,0.9209,0.9204,0.1276,0.2908,0.9607,0.9208,0.4139
54,0.9215,0.9936,0.9215,0.9211,0.127,0.2887,0.9613,0.9214,0.4125
55,0.9242,0.9936,0.9242,0.9237,0.1267,0.2895,0.962,0.9241,0.418
56,0.9233,0.9936,0.9233,0.9228,0.1269,0.2901,0.9624,0.9232,0.4134
57,0.9221,0.9941,0.9221,0.9215,0.1248,0.2839,0.9657,0.922,0.4176
58,0.9242,0.9942,0.9242,0.9237,0.1241,0.2819,0.9653,0.9241,0.4126
59,0.9248,0.9944,0.9248,0.9242,0.1236,0.2787,0.966,0.9247,0.4119
