step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,3.7346
1,0.1734,0.5481,0.1734,0.0766,1.351,28.6345,0.1551,0.1668,3.3218
2,0.2268,0.5806,0.2268,0.1216,1.166,25.3285,0.2127,0.2227,3.754
3,0.2404,0.5832,0.2404,0.1155,1.1829,25.3355,0.219,0.2358,3.3666
4,0.2599,0.6119,0.2599,0.1525,1.1155,22.1077,0.2541,0.256,3.6988
5,0.3065,0.6473,0.3065,0.2214,1.0444,18.567,0.2971,0.3011,3.4441
6,0.322,0.6517,0.322,0.2329,1.0318,18.5236,0.3139,0.316,3.6482
7,0.3557,0.6676,0.3557,0.2623,0.9723,18.4318,0.3472,0.3511,3.2545
8,0.3666,0.6853,0.3666,0.2768,0.9035,15.2142,0.3631,0.3626,3.7456
9,0.3857,0.7161,0.3857,0.3081,0.8297,11.6912,0.3814,0.3805,3.5406
10,0.3757,0.7182,0.3757,0.2891,0.8318,11.7094,0.3899,0.371,3.415
11,0.3563,0.7271,0.3563,0.2721,0.8693,11.7521,0.406,0.352,3.1743
12,0.3502,0.7265,0.3502,0.2654,0.8755,11.748,0.4004,0.3461,3.5151
13,0.3557,0.7205,0.3557,0.2776,0.8664,11.7339,0.3945,0.3521,3.4406
14,0.3669,0.7243,0.3669,0.285,0.8496,11.692,0.4031,0.3628,3.7438
15,0.4093,0.7373,0.4093,0.3143,0.8064,11.6437,0.4441,0.4034,3.3524
16,0.4187,0.7559,0.4187,0.3253,0.7856,11.5724,0.4585,0.4132,3.3281
17,0.4187,0.7586,0.4187,0.3173,0.7854,11.564,0.4585,0.4124,3.328
18,0.4794,0.8061,0.4794,0.3961,0.6979,7.9688,0.5315,0.4707,3.7152
19,0.5118,0.809,0.5118,0.4378,0.6657,7.9287,0.5509,0.5046,3.3701
20,0.5118,0.8088,0.5118,0.4377,0.6684,7.9325,0.5503,0.5046,3.8156
21,0.5027,0.8072,0.5027,0.4311,0.6782,7.9524,0.5481,0.4958,3.5709
22,0.5049,0.8087,0.5049,0.43,0.6791,7.9435,0.5421,0.4982,3.5571
23,0.5073,0.8062,0.5073,0.429,0.6825,7.9716,0.5377,0.5009,3.4672
24,0.4948,0.8196,0.4948,0.4159,0.6752,7.8793,0.5448,0.4883,3.4854
25,0.4918,0.8178,0.4918,0.4141,0.6791,7.8905,0.5433,0.4854,3.556
26,0.4642,0.8114,0.4642,0.3933,0.7174,7.9481,0.5198,0.4578,3.4918
27,0.4815,0.8168,0.4815,0.4147,0.702,7.9137,0.541,0.4761,3.4717
28,0.5546,0.8431,0.5546,0.4925,0.6247,7.7081,0.6111,0.5461,3.4169
29,0.5321,0.8395,0.5321,0.4748,0.652,7.7544,0.5984,0.5232,3.3203
30,0.5337,0.8386,0.5337,0.4772,0.6534,7.7693,0.6001,0.5247,3.6026
31,0.5412,0.84,0.5412,0.4857,0.6428,7.7464,0.6066,0.5327,3.1753
32,0.5388,0.8391,0.5388,0.4846,0.6556,7.7556,0.5946,0.5303,3.6634
33,0.5531,0.8393,0.5531,0.4952,0.6441,7.7463,0.5879,0.5444,3.3075
34,0.5588,0.8404,0.5588,0.4989,0.6315,7.7331,0.5951,0.5499,3.624
35,0.5564,0.8394,0.5564,0.5013,0.6361,7.7396,0.5985,0.5476,3.6207
36,0.5525,0.8392,0.5525,0.498,0.6394,7.7421,0.598,0.5436,3.2079
37,0.5512,0.839,0.5512,0.4973,0.6384,7.7346,0.5956,0.5426,3.6987
38,0.5503,0.839,0.5503,0.4959,0.6381,7.7287,0.594,0.5413,3.516
39,0.5609,0.8445,0.5609,0.504,0.629,7.7005,0.6025,0.5524,3.1266
40,0.5603,0.8442,0.5603,0.5032,0.6347,7.7045,0.6033,0.5519,3.6901
41,0.5676,0.8464,0.5676,0.5067,0.6356,7.7039,0.6044,0.559,3.3671
42,0.5655,0.8466,0.5655,0.5044,0.6354,7.7035,0.6051,0.5568,3.6382
43,0.5321,0.8424,0.5321,0.4636,0.6561,7.7332,0.5803,0.5245,3.2694
44,0.5337,0.8431,0.5337,0.4626,0.6526,7.7445,0.5831,0.5259,3.5563
45,0.5249,0.8387,0.5249,0.4527,0.6617,7.7713,0.579,0.5173,3.1858
46,0.5446,0.8425,0.5446,0.4714,0.6479,7.7262,0.589,0.5384,3.5205
47,0.5588,0.8821,0.5588,0.5028,0.6254,4.5337,0.6442,0.5534,3.2517
48,0.5616,0.8879,0.5616,0.4982,0.6178,4.5504,0.6732,0.5559,3.6098
49,0.5731,0.889,0.5731,0.519,0.6247,4.5622,0.6762,0.5666,3.2915
50,0.5816,0.8897,0.5816,0.5247,0.622,4.5596,0.6815,0.5764,3.4222
51,0.5922,0.8943,0.5922,0.5353,0.617,4.5496,0.6917,0.5874,3.7118
52,0.5867,0.8937,0.5867,0.5301,0.6208,4.5589,0.6896,0.5819,3.2983
53,0.5891,0.9187,0.5891,0.5316,0.6104,1.4964,0.7019,0.5843,3.6023
54,0.5885,0.9185,0.5885,0.5304,0.6114,1.4997,0.7019,0.5837,3.3559
55,0.5916,0.931,0.5916,0.5304,0.6023,1.4752,0.7205,0.5868,3.6143
56,0.5828,0.9306,0.5828,0.5205,0.6088,1.4853,0.7181,0.5778,3.2759
57,0.5834,0.9312,0.5834,0.5214,0.6091,1.4827,0.7197,0.5784,3.6309
58,0.5849,0.9314,0.5849,0.5153,0.604,1.4789,0.7202,0.5803,3.2618
59,0.6283,0.9392,0.6283,0.5759,0.5509,1.3176,0.7396,0.6219,3.6438
