step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4994,0.789,0.4994,0.4133,0.7088,11.3266,0.5167,0.4971,0.0035
1,0.5943,0.8512,0.5943,0.5275,0.5981,7.6458,0.6454,0.5861,0.0033
2,0.6079,0.8851,0.6079,0.5603,0.5561,4.4658,0.6999,0.6026,0.0031
3,0.7101,0.9359,0.7101,0.6862,0.4376,1.0738,0.8012,0.7084,0.0028
4,0.7693,0.9622,0.7693,0.7595,0.3496,0.7921,0.8472,0.7676,0.0028
5,0.7856,0.9729,0.7856,0.7809,0.3236,0.7056,0.8696,0.7853,0.0028
6,0.7902,0.9726,0.7902,0.7836,0.3137,0.6898,0.875,0.79,0.0028
7,0.7859,0.9725,0.7859,0.7785,0.3149,0.6878,0.8731,0.7857,0.003
8,0.8138,0.9738,0.8138,0.8122,0.2858,0.634,0.8829,0.8129,0.0028
9,0.8217,0.9745,0.8217,0.8207,0.2737,0.6139,0.8889,0.8208,0.003
10,0.8381,0.9743,0.8381,0.836,0.2536,0.5908,0.8924,0.8365,0.0028
11,0.842,0.975,0.842,0.8402,0.2515,0.586,0.8947,0.8407,0.0028
12,0.8354,0.9776,0.8354,0.8341,0.2529,0.565,0.8961,0.8338,0.0028
13,0.8423,0.9778,0.8423,0.8408,0.2413,0.5505,0.901,0.8406,0.0028
14,0.8472,0.9785,0.8472,0.8456,0.2379,0.5425,0.9039,0.8455,0.0028
15,0.8493,0.9786,0.8493,0.8475,0.235,0.5432,0.9087,0.8474,0.0028
16,0.8487,0.9789,0.8487,0.8466,0.2306,0.5355,0.91,0.8467,0.0027
17,0.8587,0.9813,0.8587,0.8566,0.2176,0.5032,0.9155,0.8568,0.0028
18,0.8608,0.9822,0.8608,0.8589,0.2146,0.49,0.9182,0.8591,0.0028
19,0.8666,0.9834,0.8666,0.865,0.2045,0.4706,0.9232,0.8651,0.0028
20,0.8714,0.9837,0.8714,0.8696,0.1987,0.4593,0.9278,0.8699,0.0028
21,0.8714,0.9837,0.8714,0.8696,0.1977,0.4582,0.9279,0.8698,0.0028
22,0.8696,0.9822,0.8696,0.8679,0.2026,0.4742,0.9243,0.8682,0.0028
23,0.8751,0.9841,0.8751,0.8729,0.1982,0.4605,0.9246,0.8735,0.0028
24,0.8751,0.9845,0.8751,0.8727,0.1957,0.4551,0.9265,0.8734,0.0028
25,0.8778,0.9859,0.8778,0.8759,0.1906,0.4418,0.9309,0.8764,0.0028
26,0.8799,0.9859,0.8799,0.8781,0.1894,0.4398,0.9308,0.8785,0.0028
27,0.8845,0.9873,0.8845,0.8835,0.1817,0.4189,0.9346,0.8834,0.0028
28,0.886,0.9876,0.886,0.8852,0.1793,0.4129,0.9356,0.885,0.003
29,0.8902,0.9876,0.8902,0.8894,0.1779,0.4105,0.9358,0.8894,0.0028
30,0.8887,0.9873,0.8887,0.8877,0.1783,0.414,0.9358,0.8878,0.0028
31,0.8914,0.9882,0.8914,0.8899,0.1745,0.4035,0.9397,0.8902,0.0028
32,0.8924,0.988,0.8924,0.8909,0.1748,0.4044,0.9391,0.8911,0.0028
33,0.8936,0.9882,0.8936,0.8924,0.1718,0.3986,0.9397,0.8925,0.0028
34,0.9012,0.9885,0.9012,0.9005,0.165,0.3884,0.9417,0.9002,0.0028
35,0.903,0.9889,0.903,0.9022,0.1624,0.383,0.9425,0.9021,0.0028
36,0.9033,0.9888,0.9033,0.9026,0.1616,0.3829,0.9423,0.9025,0.0028
37,0.9039,0.9891,0.9039,0.9032,0.159,0.3774,0.9433,0.9032,0.0028
38,0.9054,0.9892,0.9054,0.9048,0.1583,0.3756,0.9437,0.9047,0.0028
39,0.903,0.9892,0.903,0.9024,0.1579,0.3743,0.9438,0.9023,0.0028
40,0.9027,0.9889,0.9027,0.9019,0.1583,0.3762,0.9435,0.9019,0.0028
41,0.9042,0.989,0.9042,0.9034,0.1573,0.374,0.9439,0.9034,0.0029
