step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0106
1,0.1971,0.581,0.1971,0.0702,1.3157,28.8777,0.1607,0.1971,0.0109
2,0.2353,0.6223,0.2353,0.1236,1.1741,25.5312,0.2034,0.2372,0.0123
3,0.2665,0.611,0.2665,0.136,1.1562,25.506,0.1921,0.2706,0.0152
4,0.315,0.6479,0.315,0.1987,1.0397,21.9139,0.2395,0.3168,0.0153
5,0.3263,0.6745,0.3263,0.2222,1.004,18.4245,0.2553,0.3275,0.0153
6,0.3293,0.6789,0.3293,0.2148,1.0108,18.4225,0.2534,0.3315,0.0167
7,0.3344,0.6799,0.3344,0.2179,1.0507,18.4306,0.262,0.3364,0.0164
8,0.433,0.7316,0.433,0.3115,0.9208,14.8385,0.3436,0.4311,0.0159
9,0.4266,0.7331,0.4266,0.2966,0.9181,14.8089,0.3346,0.4245,0.0156
10,0.3754,0.7216,0.3754,0.2647,0.9571,14.9018,0.3198,0.3727,0.0157
11,0.3742,0.7226,0.3742,0.2664,0.9735,14.9136,0.3148,0.3718,0.016
12,0.3793,0.7256,0.3793,0.2705,0.9811,14.91,0.3367,0.3768,0.0164
13,0.3942,0.7244,0.3942,0.2818,0.9776,14.9274,0.3235,0.3922,0.0153
14,0.4118,0.7223,0.4118,0.2974,0.9633,14.9385,0.3295,0.4089,0.0162
15,0.4075,0.724,0.4075,0.2953,0.9609,14.9465,0.3408,0.4045,0.0162
16,0.4084,0.7336,0.4084,0.2991,0.9564,14.8538,0.3488,0.4053,0.0167
17,0.4109,0.7333,0.4109,0.3009,0.9559,14.8527,0.3425,0.4079,0.0163
18,0.426,0.7391,0.426,0.3073,0.9315,14.8087,0.3597,0.4232,0.0165
19,0.4303,0.7342,0.4303,0.3154,0.9297,14.8222,0.3524,0.4272,0.0172
20,0.4597,0.7782,0.4597,0.3706,0.8588,11.5141,0.4174,0.4582,0.0168
21,0.4876,0.8097,0.4876,0.4215,0.8056,8.3139,0.4752,0.4874,0.0197
22,0.5261,0.8323,0.5261,0.4747,0.7444,8.0626,0.5348,0.5242,0.0235
23,0.564,0.8373,0.564,0.505,0.7076,8.0115,0.5469,0.5605,0.0229
24,0.5749,0.8404,0.5749,0.5092,0.6918,7.9857,0.5588,0.5707,0.0215
25,0.5834,0.8412,0.5834,0.5251,0.6646,4.7602,0.5694,0.5789,0.0219
26,0.6113,0.8575,0.6113,0.5607,0.6102,4.643,0.6017,0.6079,0.0235
27,0.6504,0.8632,0.6504,0.6022,0.5762,4.5603,0.6175,0.6487,0.023
28,0.6313,0.8694,0.6313,0.5831,0.5861,4.5572,0.6208,0.6286,0.0216
29,0.6225,0.8707,0.6225,0.57,0.5864,4.5626,0.6237,0.6195,0.0219
30,0.6458,0.8715,0.6458,0.5942,0.56,4.5463,0.6366,0.6439,0.0228
31,0.6692,0.8775,0.6692,0.6132,0.5331,4.4869,0.6623,0.6682,0.0235
32,0.6804,0.8827,0.6804,0.6232,0.5222,4.4434,0.6627,0.6799,0.0239
33,0.685,0.8853,0.685,0.6245,0.5127,4.4374,0.676,0.6848,0.0218
34,0.6928,0.8814,0.6928,0.6397,0.5009,1.5727,0.6992,0.693,0.0227
35,0.701,0.8813,0.701,0.6605,0.4989,1.55,0.6941,0.7017,0.023
36,0.7004,0.8833,0.7004,0.6527,0.4864,1.5394,0.7023,0.7012,0.0219
37,0.7065,0.8852,0.7065,0.6573,0.4759,1.5531,0.7113,0.707,0.0219
38,0.7047,0.888,0.7047,0.656,0.4746,1.5556,0.7188,0.7049,0.0217
39,0.7119,0.8892,0.7119,0.6624,0.4619,1.5498,0.7293,0.7126,0.0222
40,0.7116,0.887,0.7116,0.6605,0.4652,1.5919,0.7251,0.7126,0.0228
41,0.7135,0.8865,0.7135,0.6598,0.4638,1.612,0.7264,0.7144,0.0227
42,0.7192,0.8877,0.7192,0.6744,0.4579,1.6056,0.7343,0.7204,0.0225
43,0.7204,0.8863,0.7204,0.677,0.4635,1.6414,0.728,0.7211,0.0225
44,0.7207,0.8864,0.7207,0.6771,0.4625,1.6488,0.7284,0.7213,0.0229
45,0.7229,0.8886,0.7229,0.6791,0.46,1.6413,0.7362,0.7231,0.0232
46,0.7256,0.8912,0.7256,0.6811,0.451,1.6238,0.7424,0.7259,0.0235
47,0.7335,0.8911,0.7335,0.695,0.4451,1.6377,0.7456,0.734,0.0235
48,0.742,0.8903,0.742,0.7013,0.4306,1.6336,0.7497,0.743,0.0228
49,0.7368,0.8851,0.7368,0.6975,0.4432,1.6878,0.7402,0.7376,0.0232
50,0.735,0.8842,0.735,0.6989,0.4413,1.7944,0.742,0.7357,0.0241
51,0.7411,0.8854,0.7411,0.7127,0.4396,1.7653,0.7484,0.7421,0.0257
52,0.7432,0.8852,0.7432,0.7158,0.4396,1.7908,0.7519,0.7443,0.0248
53,0.7429,0.8851,0.7429,0.7152,0.444,1.7488,0.7497,0.7441,0.023
54,0.7495,0.8853,0.7495,0.7226,0.4425,1.7643,0.7483,0.7511,0.0237
55,0.7502,0.8862,0.7502,0.7224,0.4348,1.7577,0.7548,0.7515,0.0245
56,0.745,0.8858,0.745,0.7202,0.4424,1.8017,0.759,0.7459,0.024
57,0.7498,0.886,0.7498,0.7252,0.439,1.8098,0.7621,0.751,0.028
58,0.7505,0.885,0.7505,0.7257,0.4376,1.8246,0.7619,0.7517,0.025
59,0.752,0.8847,0.752,0.7272,0.4382,1.8355,0.7615,0.7533,0.0276
