step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0961,0.5,0.0961,0.0175,1.8078,32.5792,0.1,0.1,0.0096
1,0.1219,0.5339,0.1219,0.0378,1.3625,29.2563,0.1611,0.1269,0.0091
2,0.2104,0.5901,0.2104,0.0955,1.1903,25.891,0.2096,0.219,0.0115
3,0.3029,0.6409,0.3029,0.1725,1.024,22.2299,0.2917,0.3077,0.0224
4,0.3608,0.6766,0.3608,0.2406,1.0019,22.0904,0.3311,0.3694,0.0133
5,0.4569,0.7312,0.4569,0.3308,0.8377,18.4102,0.4355,0.4617,0.013
6,0.4494,0.7575,0.4494,0.348,0.8099,14.9244,0.439,0.4543,0.0143
7,0.4497,0.7454,0.4497,0.3513,0.8199,14.9337,0.4256,0.4543,0.0138
8,0.5042,0.792,0.5042,0.43,0.7287,11.3234,0.4972,0.5053,0.0133
9,0.537,0.8338,0.537,0.4799,0.6679,7.7851,0.5506,0.5367,0.016
10,0.5873,0.8459,0.5873,0.5275,0.6277,7.7068,0.5881,0.5853,0.0166
11,0.5831,0.8474,0.5831,0.5195,0.6141,7.6844,0.5955,0.5817,0.0282
12,0.624,0.8646,0.624,0.5938,0.5568,4.5111,0.6636,0.6241,0.0176
13,0.6446,0.8655,0.6446,0.6106,0.5331,4.466,0.6736,0.644,0.0198
14,0.661,0.9088,0.661,0.6449,0.4899,1.2197,0.7421,0.6612,0.0182
15,0.728,0.916,0.728,0.7176,0.4486,1.1428,0.7825,0.7311,0.0186
16,0.7365,0.9209,0.7365,0.7256,0.4374,1.1269,0.8096,0.7405,0.0177
17,0.7213,0.9197,0.7213,0.7109,0.4546,1.1495,0.7931,0.7248,0.0276
18,0.7025,0.9101,0.7025,0.6921,0.4733,1.2111,0.7613,0.7064,0.0186
19,0.7174,0.9137,0.7174,0.7057,0.4496,1.1656,0.7751,0.7204,0.0207
20,0.7156,0.9142,0.7156,0.7043,0.4479,1.1625,0.7761,0.7188,0.0184
21,0.7662,0.9416,0.7662,0.7607,0.3981,1.0081,0.8445,0.7664,0.0187
22,0.7726,0.9403,0.7726,0.7674,0.3985,1.0068,0.8409,0.7727,0.0184
23,0.7659,0.9393,0.7659,0.7609,0.3994,1.0077,0.835,0.7661,0.0289
24,0.762,0.9392,0.762,0.7578,0.4008,1.0091,0.8332,0.7622,0.0187
25,0.7653,0.9401,0.7653,0.7599,0.3963,1.0004,0.8413,0.7655,0.0192
26,0.7668,0.9417,0.7668,0.7585,0.3828,0.9796,0.8436,0.7675,0.0188
27,0.8023,0.9494,0.8023,0.7926,0.3435,0.8936,0.8673,0.8012,0.0203
28,0.7929,0.9739,0.7929,0.784,0.3564,0.7753,0.8546,0.7917,0.0195
29,0.7838,0.9725,0.7838,0.7768,0.3636,0.7826,0.8433,0.783,0.0264
30,0.7984,0.9714,0.7984,0.7971,0.3494,0.7674,0.8576,0.7981,0.0184
31,0.809,0.9721,0.809,0.8066,0.3367,0.7437,0.862,0.8082,0.0198
32,0.8002,0.9711,0.8002,0.796,0.3443,0.7534,0.8524,0.7991,0.0191
33,0.7929,0.9696,0.7929,0.7895,0.3514,0.7631,0.844,0.792,0.0189
34,0.7808,0.9702,0.7808,0.7768,0.3506,0.7588,0.847,0.78,0.0185
35,0.7959,0.9729,0.7959,0.7907,0.3269,0.7203,0.8569,0.7947,0.0292
36,0.7968,0.9704,0.7968,0.7941,0.3276,0.7265,0.8555,0.7955,0.019
37,0.7987,0.9707,0.7987,0.7952,0.3266,0.7236,0.855,0.7972,0.0188
38,0.8053,0.971,0.8053,0.803,0.3188,0.7151,0.8673,0.8042,0.0187
39,0.8129,0.9722,0.8129,0.8104,0.3128,0.7045,0.8728,0.812,0.0187
40,0.8153,0.9724,0.8153,0.813,0.3091,0.6985,0.8737,0.8139,0.0184
41,0.8069,0.971,0.8069,0.8044,0.3128,0.704,0.8701,0.8051,0.0269
42,0.805,0.9711,0.805,0.8024,0.3127,0.7023,0.8692,0.8033,0.0191
43,0.8072,0.9721,0.8072,0.8041,0.3082,0.6927,0.8711,0.8053,0.0189
44,0.8156,0.9741,0.8156,0.8127,0.3031,0.6836,0.8738,0.8142,0.0188
45,0.825,0.9758,0.825,0.8221,0.2961,0.6715,0.8802,0.824,0.0186
46,0.836,0.9774,0.836,0.8341,0.2843,0.6423,0.8862,0.8355,0.019
47,0.8411,0.9758,0.8411,0.8401,0.2813,0.6411,0.8874,0.8411,0.0254
48,0.8426,0.9762,0.8426,0.8418,0.2819,0.6425,0.8892,0.8426,0.0185
49,0.8463,0.9781,0.8463,0.845,0.2756,0.6307,0.9041,0.846,0.0192
50,0.8532,0.9769,0.8532,0.8536,0.2782,0.6298,0.9004,0.8532,0.0191
