step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0071
1,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.4407
2,0.1283,0.5214,0.1283,0.0399,1.4195,28.744,0.1314,0.1233,0.437
3,0.1659,0.5473,0.1659,0.0643,1.1881,25.1571,0.1543,0.1595,0.4542
4,0.2068,0.5673,0.2068,0.1079,1.0808,21.9176,0.2318,0.2023,0.4456
5,0.2101,0.5674,0.2101,0.1042,1.044,21.8995,0.2337,0.2061,0.4153
6,0.302,0.621,0.302,0.1945,0.933,18.3006,0.3174,0.2944,0.4589
7,0.3845,0.6716,0.3845,0.2845,0.8642,15.0122,0.3878,0.3807,0.462
8,0.3799,0.68,0.3799,0.2981,0.8747,15.017,0.3922,0.3763,0.4775
9,0.4093,0.737,0.4093,0.3416,0.8413,14.8586,0.4586,0.4013,0.486
10,0.4306,0.7389,0.4306,0.3792,0.8165,11.7001,0.4838,0.4235,0.5022
11,0.4005,0.731,0.4005,0.3331,0.8171,11.7189,0.4421,0.3937,0.4901
12,0.4315,0.7468,0.4315,0.3609,0.8164,11.7183,0.4656,0.4266,0.5271
13,0.4506,0.7886,0.4506,0.394,0.7867,8.4848,0.52,0.4466,0.4812
14,0.4767,0.8326,0.4767,0.4354,0.7617,5.2464,0.5646,0.4738,0.4691
15,0.4958,0.8356,0.4958,0.4379,0.7666,5.2628,0.5756,0.4915,0.4618
16,0.5364,0.8366,0.5364,0.4693,0.7616,5.2515,0.5779,0.5343,0.4787
17,0.5631,0.8395,0.5631,0.4934,0.7607,5.2488,0.5825,0.5621,0.5172
18,0.5658,0.8367,0.5658,0.512,0.7654,5.2232,0.5754,0.565,0.4833
19,0.5794,0.8377,0.5794,0.5162,0.7678,5.2305,0.5824,0.5805,0.5185
20,0.6386,0.838,0.6386,0.5768,0.7656,5.2272,0.5776,0.642,0.5129
21,0.6771,0.8595,0.6771,0.6185,0.7374,5.1555,0.6622,0.6772,0.4936
22,0.7235,0.9118,0.7235,0.692,0.7196,5.0683,0.7631,0.7255,0.4761
23,0.7162,0.9143,0.7162,0.6818,0.7107,5.0553,0.7831,0.7173,0.5321
24,0.6531,0.9137,0.6531,0.6292,0.7155,5.0645,0.7786,0.6542,0.5066
25,0.6677,0.915,0.6677,0.6375,0.7165,5.0727,0.7848,0.6677,0.5174
26,0.675,0.9173,0.675,0.6475,0.7198,5.0805,0.7885,0.6745,0.5452
27,0.6546,0.9177,0.6546,0.6229,0.7215,5.0866,0.7912,0.6535,0.522
28,0.6574,0.9174,0.6574,0.621,0.7226,5.0899,0.7911,0.6551,0.5129
29,0.6592,0.9662,0.6592,0.6249,0.7059,1.6109,0.8667,0.6568,0.502
30,0.6822,0.9674,0.6822,0.6417,0.709,1.6197,0.8777,0.6814,0.5233
