step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0958,0.5,0.0958,0.0175,1.8084,32.5901,0.1,0.1,0.9671
1,0.1013,0.5469,0.1013,0.0249,1.6078,29.283,0.1147,0.1054,0.9438
2,0.0982,0.5409,0.0982,0.023,1.4365,25.8208,0.1268,0.1022,0.9497
3,0.1628,0.5763,0.1628,0.0587,1.2843,25.7315,0.148,0.1631,0.9111
4,0.1549,0.5732,0.1549,0.0554,1.2867,25.7448,0.1497,0.1547,0.9057
5,0.1549,0.5736,0.1549,0.0556,1.2592,25.6995,0.144,0.1547,0.842
6,0.148,0.5713,0.148,0.0529,1.265,25.7086,0.1441,0.1474,0.8347
7,0.148,0.5748,0.148,0.0533,1.2362,25.6728,0.1481,0.1474,0.8258
8,0.1477,0.5728,0.1477,0.0526,1.2427,25.6814,0.149,0.1469,0.8154
9,0.1477,0.5761,0.1477,0.0533,1.2171,25.6552,0.1523,0.1469,0.8092
10,0.1455,0.5722,0.1455,0.0517,1.2301,25.6679,0.1471,0.1446,0.8387
11,0.1452,0.5775,0.1452,0.052,1.2068,25.6456,0.1565,0.1443,0.8995
12,0.1398,0.5738,0.1398,0.0509,1.2212,25.6577,0.1535,0.14,0.9248
13,0.1425,0.5736,0.1425,0.0512,1.2163,25.6717,0.1599,0.1417,0.9398
14,0.1455,0.5654,0.1455,0.0575,1.1414,22.5997,0.1957,0.1449,0.9564
15,0.1998,0.5925,0.1998,0.0998,1.049,19.047,0.2258,0.197,0.8956
16,0.2377,0.5967,0.2377,0.1169,1.0351,19.0289,0.2346,0.2334,0.9033
17,0.2444,0.5981,0.2444,0.1207,1.0391,19.0329,0.2401,0.2398,0.8819
18,0.2441,0.5984,0.2441,0.1194,1.0434,19.0386,0.2432,0.2393,0.8638
19,0.2444,0.5996,0.2444,0.1204,1.0457,19.0418,0.246,0.2396,0.8603
20,0.2453,0.6008,0.2453,0.1217,1.0484,19.0468,0.2495,0.2405,0.8431
21,0.2453,0.602,0.2453,0.1231,1.0508,19.0513,0.2527,0.2405,0.8792
22,0.2453,0.6005,0.2453,0.1231,1.0458,19.0358,0.249,0.2405,0.9083
23,0.2486,0.5984,0.2486,0.1222,1.0448,19.0444,0.2462,0.2437,0.9773
24,0.2486,0.5982,0.2486,0.1222,1.041,19.0334,0.2444,0.2437,0.9736
