step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6689,0.9802,0.6689,0.6099,0.6659,1.4641,0.8978,0.6652,1.1282
1,0.7259,0.9838,0.7259,0.6796,0.6577,1.4433,0.9093,0.7217,1.1102
2,0.7726,0.983,0.7726,0.7575,0.6553,1.4351,0.9108,0.7709,1.1452
3,0.7874,0.983,0.7874,0.7633,0.6551,1.4358,0.9098,0.785,1.0204
4,0.8296,0.9826,0.8296,0.8127,0.6521,1.4304,0.9102,0.828,1.0691
5,0.8308,0.9838,0.8308,0.8102,0.6517,1.4296,0.914,0.829,1.0974
6,0.8499,0.9835,0.8499,0.8425,0.649,1.4247,0.9146,0.8489,1.0968
7,0.8505,0.9833,0.8505,0.8418,0.6488,1.4245,0.9137,0.8493,1.0872
8,0.856,0.9831,0.856,0.8494,0.6471,1.4215,0.9135,0.8548,1.0404
9,0.8581,0.9828,0.8581,0.8511,0.6468,1.4207,0.9133,0.8573,1.0748
10,0.8663,0.9828,0.8663,0.8624,0.6464,1.42,0.9135,0.8657,1.0644
11,0.8614,0.9826,0.8614,0.8579,0.646,1.4195,0.9131,0.861,1.331
12,0.8654,0.9826,0.8654,0.8617,0.6455,1.4187,0.9124,0.8649,1.043
13,0.8663,0.9826,0.8663,0.8625,0.6456,1.4183,0.9132,0.8658,1.0785
14,0.8614,0.9822,0.8614,0.8583,0.6454,1.4183,0.9123,0.861,1.029
15,0.8675,0.9819,0.8675,0.8647,0.6446,1.417,0.9115,0.8671,1.0702
16,0.8678,0.9818,0.8678,0.8647,0.6447,1.4171,0.9112,0.8674,1.0727
17,0.8657,0.9817,0.8657,0.863,0.6443,1.4164,0.9115,0.8652,1.0241
18,0.8642,0.982,0.8642,0.8616,0.6442,1.4165,0.912,0.8636,0.9822
19,0.8611,0.9818,0.8611,0.8593,0.6437,1.4156,0.9117,0.8606,1.0399
20,0.8672,0.982,0.8672,0.8655,0.6438,1.4158,0.9114,0.8668,1.1226
21,0.8666,0.982,0.8666,0.8641,0.644,1.4159,0.9112,0.8662,1.0406
22,0.8648,0.9817,0.8648,0.8622,0.6438,1.4155,0.9107,0.8644,1.0623
23,0.8663,0.9818,0.8663,0.8635,0.6438,1.4156,0.9105,0.8659,1.0044
24,0.8657,0.9818,0.8657,0.8631,0.6435,1.4149,0.9102,0.8653,1.1586
