step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7077,0.9583,0.7077,0.7042,0.6585,1.473,0.8383,0.708,0.0115
1,0.6841,0.9536,0.6841,0.6714,0.6533,1.4728,0.8049,0.6839,0.9481
2,0.617,0.9467,0.617,0.592,0.6853,1.559,0.7682,0.6119,0.9213
3,0.3693,0.9465,0.3693,0.2682,0.7206,1.6464,0.8057,0.3628,1.0028
4,0.4327,0.9663,0.4327,0.3067,0.7298,1.6944,0.8435,0.4262,0.8411
5,0.4363,0.9812,0.4363,0.3201,0.7358,1.7064,0.8944,0.4322,1.028
6,0.5243,0.9768,0.5243,0.4251,0.7288,1.6954,0.8986,0.5231,1.0271
7,0.4102,0.9773,0.4102,0.3387,0.7366,1.6921,0.8904,0.4088,0.8719
8,0.4312,0.9816,0.4312,0.3625,0.7274,1.6607,0.9005,0.4307,0.8833
9,0.4372,0.9823,0.4372,0.3415,0.722,1.655,0.9048,0.435,0.9775
10,0.4551,0.9849,0.4551,0.3709,0.7211,1.6439,0.9143,0.4544,0.9238
11,0.4906,0.987,0.4906,0.408,0.7196,1.6424,0.9241,0.4904,0.8924
12,0.497,0.9873,0.497,0.4117,0.7165,1.63,0.9241,0.4972,0.9283
13,0.4685,0.988,0.4685,0.3837,0.7168,1.6311,0.9295,0.4679,1.0066
14,0.4503,0.9876,0.4503,0.3603,0.7145,1.6208,0.9258,0.4495,0.9188
15,0.4779,0.986,0.4779,0.3936,0.7105,1.6142,0.9213,0.4764,1.034
16,0.4985,0.986,0.4985,0.413,0.7088,1.6109,0.9205,0.4971,1.0462
17,0.5367,0.9872,0.5367,0.4733,0.7064,1.5985,0.9274,0.535,1.0037
18,0.5143,0.9874,0.5143,0.4433,0.709,1.6079,0.9295,0.5135,1.0477
19,0.5585,0.9868,0.5585,0.49,0.7055,1.5955,0.9236,0.558,0.9321
20,0.5561,0.9858,0.5561,0.4952,0.7036,1.5923,0.9193,0.5542,1.0223
21,0.5576,0.9849,0.5576,0.5006,0.702,1.5874,0.9163,0.5552,0.9512
22,0.5785,0.985,0.5785,0.5169,0.7015,1.5859,0.9171,0.5772,1.0599
23,0.5973,0.9851,0.5973,0.5399,0.6995,1.5751,0.9182,0.5963,1.036
24,0.6313,0.9848,0.6313,0.5807,0.697,1.564,0.9169,0.629,1.0144
25,0.6331,0.9848,0.6331,0.5834,0.6957,1.5586,0.9173,0.6301,0.9452
26,0.6225,0.985,0.6225,0.5743,0.6954,1.5575,0.9193,0.6199,1.1131
27,0.5855,0.9853,0.5855,0.5411,0.697,1.5615,0.9213,0.5835,1.0058
28,0.5679,0.9853,0.5679,0.5222,0.6971,1.5616,0.9215,0.5663,1.1022
29,0.6046,0.9849,0.6046,0.5594,0.6943,1.5529,0.9183,0.6018,0.9857
30,0.6101,0.9845,0.6101,0.5665,0.693,1.551,0.9174,0.6071,1.0267
31,0.6298,0.984,0.6298,0.5847,0.6913,1.5474,0.9143,0.6268,1.035
32,0.627,0.9844,0.627,0.5797,0.6915,1.5481,0.9162,0.624,1.0403
33,0.6107,0.9842,0.6107,0.5618,0.6917,1.5495,0.9156,0.6078,1.0693
34,0.5961,0.9842,0.5961,0.5511,0.6921,1.5498,0.9168,0.5933,1.0169
35,0.627,0.984,0.627,0.5834,0.6905,1.5461,0.9164,0.624,1.0569
36,0.6273,0.984,0.6273,0.5844,0.6891,1.5393,0.9161,0.6244,0.9426
37,0.6361,0.984,0.6361,0.5918,0.6874,1.5335,0.9165,0.6334,1.0466
38,0.6374,0.9842,0.6374,0.592,0.6878,1.5346,0.9172,0.6343,0.9794
39,0.628,0.9843,0.628,0.5819,0.6885,1.5363,0.9174,0.6251,1.0112
40,0.6364,0.9842,0.6364,0.5899,0.6875,1.5323,0.9174,0.6334,0.9549
41,0.6458,0.9842,0.6458,0.5983,0.6861,1.5288,0.9169,0.6426,1.0027
42,0.6546,0.9841,0.6546,0.6101,0.6851,1.5269,0.9162,0.6516,0.9979
43,0.6483,0.9838,0.6483,0.6065,0.6851,1.527,0.9141,0.6456,1.0011
44,0.6528,0.9836,0.6528,0.614,0.6849,1.5262,0.9131,0.6505,1.0352
45,0.6534,0.9835,0.6534,0.6131,0.684,1.5232,0.9126,0.6507,1.0535
46,0.6565,0.9836,0.6565,0.616,0.6833,1.521,0.9136,0.6538,1.0439
47,0.6668,0.9835,0.6668,0.6314,0.6827,1.5197,0.9134,0.6643,1.0117
48,0.6747,0.9834,0.6747,0.6424,0.6818,1.5168,0.9129,0.6722,1.0627
49,0.6807,0.9833,0.6807,0.6491,0.6813,1.5161,0.9124,0.6783,1.0107
50,0.6834,0.9835,0.6834,0.6507,0.6802,1.5134,0.9141,0.6809,1.0398
51,0.6898,0.9834,0.6898,0.6591,0.6797,1.5121,0.9136,0.6872,0.9667
52,0.695,0.9833,0.695,0.6652,0.6792,1.5101,0.913,0.6923,1.0358
53,0.6931,0.9831,0.6931,0.6615,0.6784,1.5077,0.912,0.6906,0.9968
54,0.6931,0.9831,0.6931,0.6618,0.6775,1.5062,0.9121,0.6905,1.0308
55,0.6974,0.9832,0.6974,0.6673,0.6772,1.5053,0.9128,0.6947,0.994
56,0.6959,0.9834,0.6959,0.6639,0.677,1.5039,0.9136,0.693,0.9985
57,0.6989,0.9834,0.6989,0.6664,0.6765,1.5024,0.9142,0.6959,0.9398
58,0.7038,0.9835,0.7038,0.6728,0.6756,1.4993,0.9145,0.7008,1.0134
59,0.7129,0.9832,0.7129,0.6828,0.6749,1.4979,0.9136,0.7101,0.9853
