step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0958,0.5,0.0958,0.0175,1.8084,32.5901,0.1,0.1,1.0782
1,0.198,0.5832,0.198,0.0675,1.2781,28.8988,0.1687,0.1982,0.1108
2,0.2935,0.638,0.2935,0.137,1.058,25.5102,0.268,0.2976,0.1113
3,0.2756,0.6374,0.2756,0.1457,1.1082,25.529,0.2643,0.2802,0.1079
4,0.3672,0.6892,0.3672,0.2385,0.953,21.8504,0.3867,0.3682,0.1267
5,0.4263,0.7288,0.4263,0.319,0.866,18.2919,0.4191,0.4251,0.1089
6,0.4284,0.7324,0.4284,0.3177,0.8638,18.2858,0.4442,0.4267,0.12
7,0.4315,0.7322,0.4315,0.3078,0.8498,18.2866,0.4445,0.4303,0.1544
8,0.4721,0.7695,0.4721,0.3657,0.7794,14.7299,0.5169,0.4693,0.1153
9,0.4281,0.7671,0.4281,0.2901,0.7747,14.74,0.4988,0.427,0.1138
10,0.4812,0.7833,0.4812,0.3698,0.7326,11.5395,0.5712,0.4822,0.1305
11,0.4791,0.7839,0.4791,0.3672,0.7326,11.5361,0.573,0.4798,0.1145
12,0.4751,0.7826,0.4751,0.3633,0.7473,11.5656,0.5653,0.4759,0.1199
13,0.4618,0.7814,0.4618,0.3525,0.7606,11.5913,0.5589,0.4631,0.1352
14,0.4903,0.8312,0.4903,0.4016,0.7193,8.051,0.6446,0.4905,0.1205
15,0.4851,0.8309,0.4851,0.3888,0.7173,8.063,0.6478,0.4857,0.1217
16,0.4785,0.8305,0.4785,0.3815,0.7283,8.0886,0.6481,0.479,0.1177
17,0.5358,0.8303,0.5358,0.443,0.7129,8.0646,0.6468,0.534,0.1588
18,0.5358,0.8321,0.5358,0.4442,0.7023,8.0408,0.6457,0.534,0.1303
19,0.5246,0.8315,0.5246,0.4317,0.705,8.0507,0.6448,0.5233,0.1242
20,0.5473,0.8311,0.5473,0.4577,0.6931,8.0175,0.6499,0.5451,0.1389
21,0.5816,0.8294,0.5816,0.5028,0.6954,8.0239,0.6423,0.5764,0.1235
22,0.5722,0.8284,0.5722,0.4979,0.701,8.0363,0.6374,0.5674,0.1252
23,0.5543,0.8283,0.5543,0.4869,0.7125,8.0563,0.6365,0.5503,0.1457
