step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,4.7569
1,0.1574,0.5494,0.1574,0.0523,1.4163,28.9516,0.1705,0.1555,4.3983
2,0.1592,0.5456,0.1592,0.0578,1.3807,25.8627,0.1556,0.1575,4.7888
3,0.1586,0.5225,0.1586,0.0687,1.2525,22.518,0.1626,0.1569,4.488
4,0.1646,0.5187,0.1646,0.0726,1.283,22.5643,0.1623,0.1628,4.833
5,0.1774,0.5364,0.1774,0.0966,1.2032,19.3884,0.1782,0.1761,4.6392
6,0.2307,0.5503,0.2307,0.1429,1.1225,19.3301,0.2027,0.232,4.6178
7,0.2386,0.6055,0.2386,0.1551,1.0636,19.0796,0.2175,0.2396,4.409
8,0.2444,0.6141,0.2444,0.1533,1.0404,19.0947,0.2394,0.2459,4.1498
9,0.2389,0.626,0.2389,0.1539,1.0584,19.1023,0.2553,0.24,4.6076
10,0.3166,0.6781,0.3166,0.2438,0.9482,15.5232,0.3632,0.3147,4.2988
11,0.3608,0.6935,0.3608,0.2945,0.9196,15.4881,0.3982,0.3572,4.7297
12,0.3739,0.7262,0.3739,0.3206,0.871,15.2052,0.4468,0.371,4.4591
13,0.3778,0.7263,0.3778,0.322,0.8727,15.216,0.4478,0.3752,4.5775
14,0.4139,0.7718,0.4139,0.3754,0.8054,11.6554,0.5198,0.4099,4.4177
15,0.4563,0.7724,0.4563,0.4039,0.7987,11.6639,0.5304,0.4507,4.6931
16,0.4506,0.7645,0.4506,0.3973,0.8008,11.6573,0.5236,0.4447,4.5777
17,0.4594,0.7749,0.4594,0.4025,0.8007,11.6569,0.5383,0.4545,4.3075
18,0.4609,0.7756,0.4609,0.4027,0.8012,11.6604,0.5398,0.4558,4.6684
19,0.493,0.8248,0.493,0.4589,0.7675,8.406,0.6208,0.4893,4.4854
20,0.4918,0.8231,0.4918,0.4566,0.7674,8.408,0.6193,0.4881,4.5459
21,0.477,0.8229,0.477,0.4351,0.7767,8.428,0.6137,0.4734,4.3524
22,0.4785,0.8228,0.4785,0.4321,0.772,8.4182,0.6186,0.4733,4.4938
23,0.5103,0.8253,0.5103,0.4713,0.7606,8.4038,0.6297,0.5065,4.3746
24,0.4318,0.8217,0.4318,0.4119,0.7742,8.4243,0.6272,0.43,4.4563
25,0.4491,0.8711,0.4491,0.4413,0.7426,4.9083,0.7044,0.4466,4.4159
26,0.4072,0.878,0.4072,0.3943,0.7462,4.9125,0.7216,0.4065,4.4021
27,0.4375,0.8799,0.4375,0.4151,0.7413,4.9097,0.7379,0.4387,4.4153
28,0.336,0.8792,0.336,0.3294,0.7601,4.9431,0.74,0.338,4.3952
29,0.3193,0.8796,0.3193,0.3134,0.7653,4.9499,0.7415,0.3215,4.0815
30,0.3208,0.8782,0.3208,0.2944,0.7666,4.9617,0.7358,0.3247,4.6828
31,0.2705,0.878,0.2705,0.233,0.7802,4.9826,0.7346,0.2746,4.3855
32,0.2714,0.9159,0.2714,0.2343,0.7717,4.9119,0.7574,0.2755,4.6894
33,0.2717,0.9157,0.2717,0.2332,0.772,4.914,0.7563,0.2758,4.4906
34,0.2923,0.9178,0.2923,0.235,0.7701,4.9193,0.7639,0.2955,4.1303
35,0.3156,0.9154,0.3156,0.2602,0.7741,4.9388,0.7506,0.318,4.4185
36,0.3663,0.9191,0.3663,0.3289,0.7572,4.889,0.763,0.3706,4.6648
37,0.3593,0.919,0.3593,0.3089,0.7609,4.903,0.7605,0.3636,4.2652
38,0.3075,0.9195,0.3075,0.2485,0.7691,4.9154,0.7597,0.3108,4.9292
39,0.265,0.9195,0.265,0.1999,0.7776,4.9293,0.7594,0.2679,4.3387
40,0.2774,0.919,0.2774,0.1961,0.7749,4.9297,0.7613,0.2813,4.7207
41,0.3314,0.9231,0.3314,0.2637,0.7688,4.9205,0.793,0.3332,4.0053
42,0.3366,0.9242,0.3366,0.274,0.7606,4.8914,0.799,0.3381,4.3443
43,0.349,0.924,0.349,0.2735,0.7626,4.8996,0.7971,0.3501,4.0777
44,0.3669,0.9237,0.3669,0.2672,0.7653,4.9091,0.7989,0.3672,4.3076
45,0.3742,0.9238,0.3742,0.2597,0.7639,4.9105,0.801,0.3752,4.0987
46,0.3751,0.9243,0.3751,0.2563,0.7611,4.9065,0.8068,0.3758,4.5346
47,0.3902,0.9254,0.3902,0.2649,0.7634,4.9194,0.8121,0.3918,4.0216
48,0.3887,0.9246,0.3887,0.2612,0.7698,4.9368,0.8079,0.3898,4.3145
49,0.3927,0.9279,0.3927,0.2689,0.7599,4.9094,0.8227,0.3936,4.0277
50,0.3766,0.9279,0.3766,0.2465,0.7648,4.9197,0.8228,0.3773,4.3872
51,0.3605,0.9276,0.3605,0.2301,0.7716,4.9345,0.8209,0.3605,3.904
52,0.3733,0.9284,0.3733,0.235,0.7725,4.942,0.8224,0.3726,4.2199
53,0.3793,0.9277,0.3793,0.2375,0.773,4.9467,0.8199,0.3789,4.091
54,0.3781,0.9281,0.3781,0.2355,0.7699,4.9428,0.82,0.3776,4.2982
55,0.3781,0.9289,0.3781,0.2355,0.7596,4.8983,0.8209,0.3776,4.0436
56,0.3736,0.9286,0.3736,0.2303,0.7644,4.9088,0.8185,0.3733,4.331
57,0.3769,0.9249,0.3769,0.2373,0.7604,4.902,0.8153,0.3768,4.0819
58,0.3745,0.9252,0.3745,0.2325,0.7612,4.9033,0.8157,0.3744,4.3366
59,0.3626,0.9251,0.3626,0.2249,0.7643,4.909,0.8122,0.3629,4.0145
