step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.2185
1,0.1971,0.576,0.1971,0.0652,1.3447,28.5873,0.2034,0.1895,0.136
2,0.1959,0.5845,0.1959,0.0705,1.3541,28.5868,0.2204,0.1883,0.1274
3,0.1941,0.5891,0.1941,0.0799,1.397,28.5908,0.2272,0.1866,0.121
4,0.2765,0.6398,0.2765,0.1704,1.1446,25.2182,0.3229,0.2726,0.1189
5,0.3317,0.6863,0.3317,0.2469,1.0076,21.633,0.3938,0.3256,0.1083
6,0.3869,0.702,0.3869,0.3291,0.9406,18.3956,0.453,0.3832,0.1058
7,0.4124,0.7226,0.4124,0.3749,0.8858,15.1763,0.4917,0.4098,0.1053
8,0.4557,0.7737,0.4557,0.4351,0.7938,11.8892,0.5585,0.455,0.1194
9,0.4342,0.7728,0.4342,0.3983,0.7807,11.8754,0.5595,0.4335,0.1049
10,0.4436,0.8034,0.4436,0.3934,0.7741,11.826,0.5707,0.4433,0.1198
11,0.4991,0.8107,0.4991,0.437,0.7558,11.7963,0.592,0.4956,0.1134
12,0.5379,0.8525,0.5379,0.494,0.72,8.2759,0.6573,0.5329,0.11
13,0.5716,0.8944,0.5716,0.5537,0.6966,5.0422,0.7178,0.5679,0.1127
14,0.4612,0.8929,0.4612,0.4189,0.7102,5.0664,0.7188,0.4553,0.1059
15,0.5482,0.8933,0.5482,0.5,0.7092,5.0774,0.729,0.5462,0.108
16,0.5512,0.8958,0.5512,0.4843,0.7159,5.0987,0.7429,0.5496,0.1075
17,0.5876,0.8966,0.5876,0.5174,0.7032,5.0819,0.746,0.5879,0.1087
18,0.5876,0.9435,0.5876,0.5174,0.6814,1.5863,0.804,0.5879,0.1118
19,0.648,0.9441,0.648,0.5763,0.6743,1.5695,0.8068,0.6459,0.1081
20,0.6186,0.9443,0.6186,0.5435,0.6743,1.5799,0.8049,0.6167,0.1735
21,0.5964,0.9429,0.5964,0.5339,0.6771,1.5883,0.8029,0.594,0.168
22,0.6674,0.9489,0.6674,0.6265,0.6702,1.5595,0.8155,0.6621,0.1703
23,0.6346,0.9473,0.6346,0.583,0.6794,1.5834,0.8116,0.6285,0.1713
24,0.5891,0.9474,0.5891,0.5258,0.6797,1.5898,0.8125,0.5847,0.1643
25,0.5452,0.9474,0.5452,0.4593,0.6838,1.6027,0.8118,0.5414,0.1728
26,0.5655,0.948,0.5655,0.4741,0.6799,1.5976,0.8111,0.5609,0.1695
27,0.5658,0.9479,0.5658,0.4739,0.6706,1.5855,0.8122,0.5609,0.1774
28,0.5664,0.9537,0.5664,0.4766,0.674,1.5931,0.8233,0.5614,0.1724
29,0.5685,0.9566,0.5685,0.4757,0.6674,1.5839,0.8468,0.5636,0.1653
30,0.5391,0.9565,0.5391,0.4293,0.6742,1.5998,0.8435,0.5336,0.166
31,0.5303,0.9565,0.5303,0.4249,0.6807,1.6147,0.8454,0.5248,0.1637
32,0.5324,0.9568,0.5324,0.4234,0.6803,1.6188,0.8427,0.5267,0.1776
33,0.5212,0.9558,0.5212,0.411,0.6801,1.6257,0.8368,0.5158,0.1773
34,0.524,0.9556,0.524,0.4129,0.675,1.6202,0.8393,0.5184,0.1778
35,0.5258,0.9555,0.5258,0.4166,0.673,1.616,0.8353,0.5202,0.1789
36,0.5373,0.9584,0.5373,0.4414,0.6668,1.5745,0.8464,0.5322,0.1905
37,0.5506,0.9691,0.5506,0.4696,0.6594,1.4967,0.8621,0.5461,0.1783
38,0.584,0.9691,0.584,0.5232,0.6573,1.4862,0.8606,0.5808,0.1758
39,0.5794,0.9697,0.5794,0.5125,0.6558,1.4853,0.862,0.5758,0.1876
40,0.604,0.969,0.604,0.5492,0.6555,1.4852,0.8591,0.5994,0.1838
41,0.6786,0.9695,0.6786,0.649,0.6521,1.4726,0.8675,0.6772,0.1711
42,0.6389,0.9695,0.6389,0.6061,0.6574,1.4849,0.8689,0.6376,0.173
43,0.6267,0.9692,0.6267,0.5914,0.6575,1.4891,0.8663,0.6256,0.1959
44,0.6255,0.9694,0.6255,0.5857,0.6576,1.4904,0.8657,0.6239,0.1802
45,0.6286,0.9679,0.6286,0.5857,0.6559,1.4887,0.8627,0.6266,0.1887
46,0.6458,0.9706,0.6458,0.6179,0.6529,1.4672,0.8729,0.6447,0.1886
47,0.6668,0.9718,0.6668,0.6505,0.6489,1.45,0.8765,0.6665,0.1796
48,0.6616,0.9703,0.6616,0.6426,0.6488,1.4513,0.8748,0.6609,0.1851
49,0.6713,0.9703,0.6713,0.6385,0.647,1.4459,0.8744,0.6712,0.1773
50,0.6656,0.9705,0.6656,0.6307,0.6445,1.4427,0.8764,0.6651,0.1847
51,0.6404,0.9703,0.6404,0.5918,0.6442,1.4429,0.8731,0.639,0.1865
52,0.6449,0.9719,0.6449,0.5961,0.6457,1.4452,0.879,0.6433,0.193
53,0.6364,0.9721,0.6364,0.5837,0.6444,1.444,0.8804,0.6343,0.1835
54,0.6674,0.9716,0.6674,0.6344,0.6419,1.4327,0.8792,0.6665,0.1967
55,0.6519,0.9716,0.6519,0.6152,0.6436,1.4368,0.8766,0.6511,0.1921
56,0.6692,0.9708,0.6692,0.6459,0.6427,1.434,0.8744,0.6673,0.1891
57,0.6689,0.9706,0.6689,0.6425,0.642,1.4332,0.8729,0.6667,0.1934
58,0.6786,0.9708,0.6786,0.6531,0.6382,1.4261,0.8739,0.6768,0.1872
59,0.6619,0.9704,0.6619,0.6294,0.6394,1.4292,0.8712,0.6598,0.1911
