step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4166,0.7724,0.4166,0.3594,0.7887,8.2267,0.4905,0.4111,0.8991
1,0.3523,0.8195,0.3523,0.2928,0.845,5.1268,0.5407,0.3536,0.9168
2,0.2013,0.8251,0.2013,0.1789,0.8877,5.175,0.5886,0.2034,0.8988
3,0.2286,0.826,0.2286,0.1476,0.8732,5.2205,0.5907,0.2285,0.9102
4,0.3099,0.8453,0.3099,0.1982,0.8215,5.1228,0.635,0.3055,0.9408
5,0.3096,0.84,0.3096,0.1916,0.8302,5.1761,0.6385,0.3064,0.9474
6,0.2959,0.8434,0.2959,0.1807,0.8426,5.1917,0.6285,0.292,0.9319
7,0.3317,0.8454,0.3317,0.1985,0.8387,5.2168,0.6228,0.3301,0.9435
8,0.3745,0.8963,0.3745,0.2637,0.7819,1.8948,0.716,0.3712,0.9315
9,0.4533,0.8955,0.4533,0.3534,0.7659,1.8921,0.7132,0.4544,0.9579
10,0.5297,0.8975,0.5297,0.4529,0.7515,1.8194,0.7217,0.5342,0.9424
11,0.5979,0.9046,0.5979,0.5382,0.7366,1.7641,0.7207,0.6022,0.9599
12,0.6076,0.8944,0.6076,0.5426,0.738,1.7624,0.6872,0.6112,0.9615
13,0.617,0.8842,0.617,0.5616,0.7437,1.7747,0.6896,0.6208,0.944
14,0.5782,0.8858,0.5782,0.5266,0.7528,1.8008,0.687,0.5807,0.9477
15,0.5743,0.8879,0.5743,0.5073,0.7531,1.8085,0.6962,0.577,0.9353
16,0.607,0.8861,0.607,0.5421,0.7532,1.8103,0.6972,0.6089,0.9582
17,0.6443,0.888,0.6443,0.6002,0.757,1.7991,0.7007,0.648,0.8521
18,0.6477,0.8937,0.6477,0.6082,0.7573,1.8019,0.7234,0.6511,0.838
19,0.6164,0.8959,0.6164,0.5555,0.7569,1.8101,0.7244,0.6196,0.8405
20,0.6371,0.8988,0.6371,0.5803,0.7568,1.809,0.7354,0.6404,0.8461
21,0.6355,0.8978,0.6355,0.5762,0.7578,1.8131,0.7356,0.6377,0.8483
22,0.6568,0.898,0.6568,0.5921,0.7599,1.8226,0.7414,0.6605,0.7927
23,0.6176,0.8993,0.6176,0.5575,0.7625,1.8346,0.7436,0.6231,0.7846
24,0.6316,0.898,0.6316,0.5572,0.7595,1.8295,0.7414,0.6362,0.7995
25,0.6189,0.8984,0.6189,0.5429,0.7633,1.8406,0.7401,0.6234,0.8029
