step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0961,0.5,0.0961,0.0175,1.8078,32.5792,0.1,0.1,0.0202
1,0.0955,0.544,0.0955,0.0213,1.3098,29.2432,0.1277,0.0997,0.1338
2,0.0937,0.523,0.0937,0.044,1.1483,25.6971,0.1218,0.0962,0.1376
3,0.1243,0.5253,0.1243,0.0685,1.0694,22.1854,0.1289,0.1258,0.1507
4,0.0988,0.5099,0.0988,0.0568,1.078,22.1943,0.1391,0.1023,0.1435
5,0.1649,0.5236,0.1649,0.0631,1.0722,22.2015,0.1508,0.1638,0.1459
6,0.2107,0.5868,0.2107,0.112,1.0284,22.1072,0.2007,0.2078,0.1444
7,0.2171,0.5979,0.2171,0.127,0.9908,18.9138,0.2279,0.2131,0.1446
8,0.1935,0.6071,0.1935,0.0946,0.9992,18.9249,0.2231,0.1936,0.1485
9,0.2262,0.6215,0.2262,0.1256,0.9751,18.8718,0.2793,0.2252,0.1544
10,0.2268,0.6265,0.2268,0.1185,0.9765,18.8686,0.2874,0.2247,0.1501
11,0.2113,0.6062,0.2113,0.1074,0.9956,18.9819,0.2595,0.2106,0.1521
12,0.2101,0.611,0.2101,0.1112,0.9893,18.9059,0.254,0.2089,0.151
13,0.1486,0.5781,0.1486,0.0735,1.0705,19.0445,0.221,0.1494,0.1498
14,0.1607,0.6011,0.1607,0.0979,1.0669,19.042,0.2506,0.1592,0.1522
15,0.1583,0.583,0.1583,0.0901,1.0458,19.4214,0.2623,0.157,0.1542
16,0.1555,0.5637,0.1555,0.094,1.0757,19.204,0.2296,0.1546,0.1523
17,0.1931,0.5776,0.1931,0.1418,1.0392,19.0321,0.2384,0.1943,0.1546
18,0.2268,0.5889,0.2268,0.1683,1.0222,19.4603,0.2671,0.2269,0.1569
19,0.2283,0.5987,0.2283,0.1498,1.0098,19.3142,0.28,0.2281,0.1572
20,0.2374,0.5937,0.2374,0.1743,1.0189,19.076,0.2668,0.2387,0.1563
21,0.2553,0.5838,0.2553,0.1756,1.0004,19.9922,0.2682,0.2559,0.1596
22,0.2726,0.5862,0.2726,0.162,0.9882,21.3786,0.3055,0.2712,0.1581
