step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0564
1,0.1747,0.5499,0.1747,0.0616,1.2889,28.9494,0.1352,0.1752,0.0978
2,0.0995,0.5758,0.0995,0.0243,1.3718,28.9527,0.1697,0.1035,0.1066
3,0.1798,0.571,0.1798,0.0601,1.292,28.9097,0.1621,0.1808,0.1169
4,0.2177,0.6278,0.2177,0.1119,1.1162,25.2772,0.2684,0.2172,0.1152
5,0.2847,0.6319,0.2847,0.1313,1.0467,25.2402,0.3106,0.2815,0.1172
6,0.2802,0.6287,0.2802,0.131,1.0638,25.2446,0.2721,0.2772,0.1106
7,0.2823,0.6278,0.2823,0.1397,1.0672,25.2362,0.2939,0.2793,0.1104
8,0.2829,0.6324,0.2829,0.1306,1.0523,25.2187,0.2999,0.2799,0.1094
9,0.2823,0.63,0.2823,0.1331,1.073,25.2181,0.2939,0.2793,0.1112
10,0.2859,0.6312,0.2859,0.1321,1.0627,25.2052,0.3033,0.2827,0.1167
11,0.282,0.6312,0.282,0.1299,1.058,25.2063,0.2997,0.2789,0.1125
12,0.2874,0.6347,0.2874,0.1341,1.0588,25.196,0.3091,0.2842,0.1196
13,0.2835,0.6312,0.2835,0.1308,1.0645,25.2052,0.2939,0.2804,0.1197
14,0.2814,0.6294,0.2814,0.1325,1.0742,25.2026,0.2988,0.2783,0.1167
15,0.285,0.6307,0.285,0.132,1.0669,25.2094,0.2961,0.2819,0.1101
16,0.2853,0.6318,0.2853,0.1319,1.0732,25.1918,0.3036,0.2821,0.1115
17,0.2838,0.6306,0.2838,0.1323,1.0624,25.2091,0.2865,0.2807,0.1195
18,0.2881,0.6348,0.2881,0.1326,1.0526,25.1915,0.3075,0.2848,0.1139
19,0.2887,0.6336,0.2887,0.1332,1.0616,25.1892,0.2999,0.2853,0.1265
20,0.2884,0.6355,0.2884,0.1332,1.0522,25.1853,0.3143,0.285,0.1229
21,0.2871,0.6335,0.2871,0.1332,1.0528,25.1993,0.2993,0.2839,0.1259
22,0.2874,0.6327,0.2874,0.1323,1.0691,25.1852,0.3015,0.2842,0.1248
23,0.2908,0.6363,0.2908,0.1343,1.0575,25.1811,0.3095,0.2874,0.124
24,0.2874,0.6359,0.2874,0.1324,1.0594,25.1772,0.3181,0.2842,0.1098
25,0.2868,0.6336,0.2868,0.133,1.0686,25.1846,0.3063,0.2836,0.1161
26,0.2917,0.6378,0.2917,0.1345,1.0509,25.1744,0.3128,0.2883,0.1246
27,0.2859,0.6338,0.2859,0.1317,1.0575,25.1905,0.3052,0.2827,0.1291
28,0.2868,0.633,0.2868,0.1327,1.0714,25.1819,0.3092,0.2836,0.1219
29,0.2884,0.6354,0.2884,0.1333,1.0616,25.1784,0.309,0.2851,0.1235
30,0.289,0.6358,0.289,0.1334,1.0616,25.1718,0.3104,0.2856,0.1266
31,0.2887,0.6356,0.2887,0.133,1.0657,25.17,0.3124,0.2853,0.1157
32,0.2868,0.6347,0.2868,0.132,1.0603,25.1794,0.3083,0.2836,0.1128
33,0.2862,0.6336,0.2862,0.1317,1.066,25.1796,0.3067,0.2831,0.1124
34,0.2878,0.634,0.2878,0.1328,1.0654,25.18,0.3113,0.2845,0.1236
35,0.2868,0.6333,0.2868,0.1322,1.0694,25.1804,0.3107,0.2836,0.1329
36,0.2862,0.6338,0.2862,0.1318,1.0744,25.1716,0.3107,0.283,0.1316
37,0.2859,0.6319,0.2859,0.1319,1.082,25.1815,0.3106,0.2828,0.128
38,0.2859,0.6319,0.2859,0.1316,1.0912,25.1777,0.3053,0.2828,0.1161
39,0.2859,0.632,0.2859,0.1314,1.0784,25.1807,0.3084,0.2828,0.1131
40,0.2832,0.6299,0.2832,0.1307,1.0864,25.1945,0.3042,0.2801,0.124
41,0.2871,0.6325,0.2871,0.1324,1.0743,25.1817,0.3047,0.284,0.1259
42,0.2847,0.6305,0.2847,0.1317,1.0806,25.1926,0.3063,0.2816,0.1316
43,0.2859,0.633,0.2859,0.1316,1.081,25.1746,0.3105,0.2827,0.1279
44,0.2862,0.632,0.2862,0.1321,1.0875,25.1794,0.3093,0.283,0.1203
45,0.2841,0.6316,0.2841,0.1309,1.079,25.1856,0.3101,0.281,0.1218
46,0.2796,0.6293,0.2796,0.1295,1.1016,25.1804,0.2986,0.2766,0.1225
47,0.2856,0.6301,0.2856,0.1321,1.0911,25.1836,0.3032,0.2825,0.1205
48,0.285,0.6314,0.285,0.1314,1.0873,25.182,0.3075,0.2819,0.1226
49,0.2868,0.6324,0.2868,0.1321,1.0807,25.1773,0.3091,0.2837,0.1279
50,0.2838,0.6317,0.2838,0.1307,1.0788,25.1958,0.3119,0.2807,0.1286
51,0.2862,0.6337,0.2862,0.1316,1.079,25.1778,0.3176,0.2831,0.132
52,0.2853,0.6309,0.2853,0.1312,1.0875,25.1861,0.3083,0.2822,0.1233
53,0.2871,0.6322,0.2871,0.1322,1.0931,25.1777,0.3139,0.284,0.1157
54,0.285,0.632,0.285,0.1311,1.0841,25.1832,0.3127,0.2819,0.1232
55,0.2865,0.6334,0.2865,0.1318,1.0787,25.1742,0.3131,0.2834,0.1249
56,0.2853,0.6323,0.2853,0.1312,1.0868,25.1766,0.3109,0.2822,0.1248
57,0.2844,0.6321,0.2844,0.1309,1.0883,25.1809,0.3109,0.2813,0.1258
58,0.2868,0.6324,0.2868,0.1321,1.0889,25.1812,0.3103,0.2836,0.1306
