step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3423,0.7167,0.3423,0.2647,0.8633,15.4933,0.4361,0.3406,0.0067
1,0.3727,0.7891,0.3727,0.3051,0.8352,9.0614,0.4986,0.3743,0.1736
2,0.3269,0.7772,0.3269,0.2592,0.8459,9.4797,0.4568,0.3279,0.1328
3,0.4081,0.7854,0.4081,0.3075,0.7787,9.5463,0.4746,0.4067,0.1328
4,0.4439,0.81,0.4439,0.351,0.729,4.8842,0.526,0.4429,0.1352
5,0.5882,0.926,0.5882,0.5611,0.5993,1.6621,0.7254,0.587,0.1415
6,0.5822,0.9434,0.5822,0.5526,0.5604,1.4788,0.7672,0.5819,0.1444
7,0.711,0.9644,0.711,0.6934,0.4729,1.2269,0.8389,0.7138,0.1475
8,0.698,0.9568,0.698,0.685,0.4775,1.5314,0.8243,0.7025,0.1478
9,0.695,0.9541,0.695,0.6715,0.4657,1.4232,0.8164,0.6971,0.1535
10,0.731,0.9638,0.731,0.7086,0.4349,1.3797,0.8474,0.7349,0.1533
11,0.721,0.9696,0.721,0.6984,0.4353,1.1311,0.8553,0.7245,0.1565
12,0.772,0.9797,0.772,0.7596,0.401,0.9332,0.8929,0.775,0.1597
13,0.7529,0.9792,0.7529,0.7334,0.401,0.8949,0.8883,0.7545,0.1605
14,0.7362,0.9795,0.7362,0.7241,0.4007,0.8956,0.883,0.7395,0.162
15,0.7495,0.9718,0.7495,0.7361,0.3952,1.2054,0.8747,0.7532,0.1718
16,0.7711,0.9695,0.7711,0.7617,0.3799,1.1748,0.8777,0.7744,0.1658
17,0.7359,0.9736,0.7359,0.718,0.4001,0.9299,0.8686,0.7397,0.1687
18,0.7392,0.9806,0.7392,0.7285,0.3798,0.8093,0.8848,0.7424,0.1702
19,0.7993,0.9877,0.7993,0.7907,0.3255,0.7051,0.9198,0.8005,0.1751
20,0.8111,0.9865,0.8111,0.8042,0.3274,0.7176,0.9171,0.8126,0.1751
21,0.8405,0.9886,0.8405,0.8363,0.3052,0.6757,0.9294,0.8414,0.1792
22,0.8633,0.9911,0.8633,0.8603,0.2753,0.6136,0.9391,0.8637,0.1798
23,0.8769,0.9907,0.8769,0.8749,0.2662,0.5939,0.9416,0.8771,0.1839
24,0.899,0.9928,0.899,0.8965,0.2366,0.5399,0.9539,0.8984,0.186
25,0.9002,0.9909,0.9002,0.8982,0.2403,0.5581,0.9459,0.8996,0.1836
26,0.9054,0.993,0.9054,0.9047,0.2247,0.5177,0.9555,0.9054,0.1918
27,0.9069,0.994,0.9069,0.907,0.221,0.5255,0.9613,0.9069,0.1872
28,0.919,0.9948,0.919,0.9181,0.2077,0.4906,0.9676,0.9188,0.1906
29,0.9209,0.9945,0.9209,0.9201,0.2015,0.4697,0.9689,0.9208,0.1903
30,0.9187,0.9949,0.9187,0.9184,0.2019,0.4725,0.9672,0.9184,0.1935
31,0.9181,0.9952,0.9181,0.9175,0.2027,0.4764,0.9703,0.9178,0.1997
32,0.9248,0.9965,0.9248,0.9243,0.1909,0.4521,0.9758,0.9247,0.2062
33,0.9318,0.9969,0.9318,0.9313,0.1881,0.438,0.9761,0.9316,0.2041
34,0.9315,0.9969,0.9315,0.9314,0.1846,0.4387,0.9772,0.9316,0.2016
35,0.9378,0.997,0.9378,0.9374,0.1794,0.4311,0.9785,0.9378,0.2029
36,0.9436,0.9981,0.9436,0.9438,0.1741,0.4092,0.9847,0.9436,0.2157
37,0.9469,0.998,0.9469,0.9472,0.1704,0.4036,0.9838,0.9473,0.2097
38,0.9478,0.9979,0.9478,0.9482,0.1779,0.4166,0.9827,0.9484,0.2161
39,0.9475,0.9979,0.9475,0.9478,0.1677,0.4085,0.9841,0.9479,0.2183
40,0.9436,0.9979,0.9436,0.9435,0.172,0.4137,0.9837,0.9436,0.2198
41,0.9488,0.9984,0.9488,0.9488,0.1686,0.3983,0.9858,0.949,0.224
42,0.9488,0.9982,0.9488,0.9487,0.1706,0.4025,0.9851,0.9488,0.2198
43,0.9463,0.9984,0.9463,0.946,0.1646,0.3912,0.9869,0.9463,0.2273
44,0.956,0.9983,0.956,0.9563,0.1643,0.4016,0.9877,0.9563,0.2288
45,0.9591,0.9987,0.9591,0.9593,0.1501,0.3627,0.9891,0.9594,0.2293
46,0.9612,0.9986,0.9612,0.9614,0.1537,0.3724,0.9897,0.9615,0.2307
47,0.9594,0.9984,0.9594,0.9595,0.1541,0.3816,0.9888,0.9598,0.2311
48,0.9591,0.9985,0.9591,0.9592,0.1427,0.3446,0.9885,0.9594,0.2351
49,0.9679,0.9989,0.9679,0.9681,0.1394,0.3577,0.9928,0.9681,0.2307
50,0.9654,0.9987,0.9654,0.9658,0.1467,0.367,0.9907,0.9658,0.2396
51,0.9688,0.999,0.9688,0.9691,0.1371,0.3406,0.9925,0.9692,0.2343
52,0.9654,0.9989,0.9654,0.9657,0.1407,0.3539,0.992,0.9659,0.238
53,0.966,0.9988,0.966,0.9663,0.1402,0.3426,0.9915,0.9665,0.2417
54,0.9669,0.9991,0.9669,0.9672,0.135,0.3353,0.9925,0.9674,0.2462
55,0.9688,0.9989,0.9688,0.9691,0.1394,0.3424,0.9917,0.9691,0.2443
56,0.97,0.9989,0.97,0.9703,0.1301,0.3341,0.992,0.9704,0.2493
57,0.9682,0.9988,0.9682,0.9686,0.1328,0.3282,0.9903,0.9687,0.2534
58,0.9679,0.9988,0.9679,0.9682,0.1294,0.3228,0.9913,0.9683,0.2552
59,0.9663,0.9985,0.9663,0.9666,0.1382,0.3459,0.9901,0.9668,0.2625
