step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0052
1,0.1158,0.5335,0.1158,0.0367,1.2915,28.9589,0.1647,0.1126,0.0694
2,0.1434,0.5427,0.1434,0.0579,1.1261,25.3871,0.1663,0.1386,0.0065
3,0.2007,0.568,0.2007,0.0926,1.1305,25.3766,0.1714,0.2003,0.0064
4,0.1568,0.5548,0.1568,0.0677,1.1619,25.4057,0.1567,0.153,0.0063
5,0.1568,0.5423,0.1568,0.0796,1.0679,22.1759,0.161,0.1543,0.0065
6,0.1513,0.5619,0.1513,0.0687,1.0882,22.155,0.1447,0.1469,0.0071
7,0.2029,0.5873,0.2029,0.0889,1.0867,22.1742,0.1772,0.2031,0.007
8,0.2262,0.5809,0.2262,0.1363,1.0135,19.1083,0.2051,0.2271,0.0071
9,0.225,0.601,0.225,0.1246,1.0294,19.1903,0.2282,0.2253,0.0074
10,0.1747,0.5763,0.1747,0.1019,1.0354,19.1881,0.2249,0.1724,0.008
11,0.2317,0.6134,0.2317,0.1545,1.0069,19.48,0.2288,0.2326,0.0062
12,0.211,0.642,0.211,0.1366,0.98,15.7967,0.2405,0.2106,0.0068
13,0.2729,0.6588,0.2729,0.1931,0.9343,16.2966,0.3032,0.2689,0.0075
14,0.2862,0.6554,0.2862,0.1945,0.926,16.3528,0.3188,0.282,0.007
15,0.3511,0.7215,0.3511,0.272,0.8666,12.2533,0.3965,0.3439,0.0071
16,0.2902,0.7179,0.2902,0.2396,0.8776,13.1078,0.374,0.2878,0.0068
17,0.3238,0.7139,0.3238,0.259,0.8578,12.3545,0.3756,0.3191,0.0074
18,0.4002,0.7806,0.4002,0.3467,0.8047,8.7355,0.4504,0.3952,0.0063
19,0.3423,0.757,0.3423,0.2907,0.8273,9.4272,0.4232,0.3363,0.0071
20,0.356,0.7696,0.356,0.3022,0.7971,9.5572,0.4722,0.3507,0.0078
21,0.376,0.7685,0.376,0.3239,0.7981,8.6939,0.4693,0.3698,0.0077
22,0.4124,0.7711,0.4124,0.361,0.7796,8.4344,0.4991,0.4097,0.0072
23,0.4563,0.7781,0.4563,0.4087,0.7476,8.7933,0.4939,0.4522,0.007
24,0.389,0.7704,0.389,0.3569,0.7675,8.7254,0.4718,0.3865,0.0072
25,0.3645,0.7879,0.3645,0.3259,0.7661,5.8648,0.4887,0.3629,0.0073
26,0.3802,0.7974,0.3802,0.3376,0.7528,6.0833,0.5105,0.3767,0.0071
27,0.4294,0.8085,0.4294,0.3936,0.7268,5.9399,0.5122,0.4244,0.0073
28,0.5136,0.8317,0.5136,0.4568,0.6888,5.9408,0.559,0.511,0.0078
29,0.4958,0.8278,0.4958,0.4579,0.698,5.7642,0.5731,0.4933,0.0075
30,0.4967,0.8389,0.4967,0.4582,0.6952,5.6835,0.5725,0.4934,0.0093
31,0.5152,0.8027,0.5152,0.4568,0.6913,6.2166,0.5606,0.5125,0.0071
32,0.503,0.8034,0.503,0.4506,0.6899,6.6795,0.5449,0.4999,0.008
33,0.4854,0.8236,0.4854,0.4339,0.7028,6.6237,0.5815,0.4831,0.0073
34,0.51,0.8384,0.51,0.4471,0.686,6.1013,0.5903,0.508,0.008
35,0.4836,0.8235,0.4836,0.4239,0.7134,6.1823,0.5495,0.4815,0.007
36,0.4812,0.8297,0.4812,0.4071,0.7107,5.7005,0.5547,0.4804,0.0079
37,0.4909,0.8206,0.4909,0.4253,0.7071,5.8258,0.5649,0.4892,0.0077
38,0.5,0.8635,0.5,0.4303,0.6822,4.7695,0.5886,0.4966,0.008
39,0.5094,0.8443,0.5094,0.4535,0.6885,5.8044,0.5949,0.5061,0.0082
40,0.524,0.8596,0.524,0.4506,0.6731,5.3566,0.6078,0.5216,0.0079
41,0.5255,0.8681,0.5255,0.4575,0.666,5.2987,0.6438,0.5234,0.0075
42,0.5121,0.8597,0.5121,0.4505,0.6592,5.612,0.6463,0.5098,0.0076
43,0.564,0.9179,0.564,0.5233,0.6311,2.0986,0.7325,0.5619,0.0078
44,0.5258,0.9262,0.5258,0.4634,0.6375,1.6584,0.7204,0.5244,0.0082
45,0.5576,0.9195,0.5576,0.5038,0.6313,1.8545,0.713,0.556,0.0081
46,0.564,0.9271,0.564,0.516,0.6362,1.9315,0.7384,0.5629,0.0084
47,0.5667,0.9252,0.5667,0.5173,0.6216,2.4419,0.7699,0.5667,0.008
48,0.56,0.92,0.56,0.5121,0.6296,2.2954,0.7272,0.5585,0.0084
49,0.5876,0.9462,0.5876,0.5532,0.6154,1.447,0.7655,0.5874,0.0081
50,0.6155,0.9112,0.6155,0.5767,0.5934,3.1124,0.7559,0.6145,0.008
51,0.6237,0.9215,0.6237,0.584,0.5919,2.3695,0.7617,0.623,0.0081
52,0.6492,0.9357,0.6492,0.6092,0.5714,1.7485,0.7762,0.6475,0.0084
53,0.6477,0.9264,0.6477,0.6044,0.5742,2.5128,0.7731,0.6461,0.0091
54,0.7174,0.9506,0.7174,0.6825,0.5237,1.4616,0.818,0.7128,0.0082
55,0.6783,0.9361,0.6783,0.6457,0.548,2.6425,0.8201,0.6746,0.0083
56,0.7122,0.9404,0.7122,0.6758,0.5472,2.408,0.8132,0.7085,0.008
57,0.7365,0.932,0.7365,0.7008,0.5383,2.5351,0.8246,0.7325,0.0089
58,0.7259,0.9314,0.7259,0.687,0.5208,2.9777,0.8301,0.7213,0.0079
59,0.715,0.9498,0.715,0.6725,0.5402,1.4992,0.8211,0.71,0.0081
