step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.799,0.9686,0.799,0.7942,0.3838,0.9311,0.8615,0.7971,0.0137
1,0.8211,0.981,0.8211,0.8118,0.3378,0.7963,0.9011,0.8183,0.1406
2,0.876,0.987,0.876,0.8757,0.3005,0.7067,0.9357,0.8763,0.1459
3,0.9145,0.993,0.9145,0.9145,0.2616,0.6469,0.9573,0.9153,0.1498
4,0.9069,0.9949,0.9069,0.9056,0.2382,0.5574,0.9696,0.9082,0.1614
5,0.9287,0.997,0.9287,0.9265,0.2356,0.5327,0.978,0.9292,0.1752
6,0.926,0.9969,0.926,0.9236,0.2153,0.492,0.9783,0.9263,0.1922
7,0.9436,0.9975,0.9436,0.9435,0.1942,0.448,0.9803,0.9442,0.1995
8,0.9603,0.9983,0.9603,0.9605,0.1575,0.3956,0.9882,0.9608,0.2078
9,0.9669,0.999,0.9669,0.9672,0.1388,0.3505,0.9918,0.9674,0.2197
10,0.9788,0.9994,0.9788,0.979,0.1289,0.3362,0.9946,0.9791,0.2268
11,0.9773,0.9995,0.9773,0.9775,0.1105,0.3014,0.996,0.9776,0.243
12,0.9836,0.9996,0.9836,0.9839,0.1038,0.289,0.9967,0.9839,0.2513
13,0.9827,0.9997,0.9827,0.983,0.0982,0.2749,0.9973,0.983,0.259
14,0.98,0.9995,0.98,0.9803,0.0954,0.266,0.9961,0.9804,0.2651
15,0.9794,0.9997,0.9794,0.9796,0.0863,0.2461,0.9973,0.9798,0.2731
16,0.9845,0.9998,0.9845,0.9847,0.0852,0.2455,0.9981,0.9848,0.2836
17,0.9839,0.9998,0.9839,0.9841,0.0755,0.2245,0.9984,0.9842,0.2925
18,0.9879,0.9998,0.9879,0.9879,0.0761,0.2233,0.9983,0.988,0.298
19,0.9864,0.9998,0.9864,0.9866,0.074,0.2206,0.9986,0.9866,0.283
20,0.9894,0.9999,0.9894,0.9895,0.0705,0.2132,0.9987,0.9895,0.2884
21,0.9797,0.9998,0.9797,0.9801,0.0645,0.1919,0.9982,0.9802,0.3021
22,0.9867,0.9999,0.9867,0.9869,0.0597,0.1869,0.9991,0.987,0.3332
23,0.9891,0.9999,0.9891,0.9893,0.0605,0.189,0.9994,0.9893,0.3464
24,0.9873,0.9999,0.9873,0.9875,0.0564,0.1768,0.9993,0.9875,0.3684
25,0.9912,0.9999,0.9912,0.9913,0.0544,0.1735,0.9993,0.9913,0.3893
26,0.9936,0.9999,0.9936,0.9937,0.0538,0.1714,0.9993,0.9937,0.3614
27,0.9945,0.9999,0.9945,0.9946,0.0484,0.1603,0.9994,0.9946,0.3863
28,0.9939,0.9999,0.9939,0.9939,0.0473,0.1573,0.9995,0.994,0.394
29,0.9948,1.0,0.9948,0.9949,0.0447,0.1494,0.9996,0.9949,0.3807
30,0.9948,0.9999,0.9948,0.9948,0.0425,0.1442,0.9995,0.9949,0.3898
31,0.9951,0.9999,0.9951,0.9952,0.0422,0.1448,0.9995,0.9952,0.4231
32,0.9942,0.9999,0.9942,0.9943,0.0412,0.1404,0.9996,0.9943,0.4466
33,0.9948,1.0,0.9948,0.9948,0.0386,0.1326,0.9996,0.9948,0.4492
