step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.104,0.5,0.104,0.0188,1.792,32.295,0.1,0.1,0.0093
1,0.195,0.5594,0.195,0.0773,1.2668,28.6562,0.1835,0.1875,0.1106
2,0.1771,0.5487,0.1771,0.0853,1.3565,28.6454,0.1677,0.1703,0.1146
3,0.1953,0.5391,0.1953,0.0856,1.319,28.6273,0.1659,0.1878,0.1133
4,0.2032,0.5813,0.2032,0.1132,1.1429,25.0406,0.2133,0.1953,0.1126
5,0.2126,0.5976,0.2126,0.1179,1.1612,25.0318,0.222,0.2044,0.1176
6,0.2477,0.6312,0.2477,0.1455,1.0856,24.971,0.2856,0.2382,0.1146
7,0.2656,0.6447,0.2656,0.1594,0.9931,21.4288,0.2688,0.2554,0.1142
8,0.3266,0.6639,0.3266,0.2301,0.9173,18.1832,0.3066,0.3165,0.1132
9,0.336,0.6579,0.336,0.2146,0.9087,18.826,0.3026,0.3245,0.1172
10,0.3881,0.6747,0.3881,0.2852,0.8517,16.0355,0.3746,0.3783,0.1146
11,0.4087,0.7184,0.4087,0.3236,0.8006,11.7963,0.4182,0.4014,0.1164
12,0.4348,0.7273,0.4348,0.3335,0.787,12.4627,0.4503,0.4276,0.1177
13,0.4609,0.7853,0.4609,0.3801,0.7175,9.1083,0.5227,0.4546,0.1172
14,0.4724,0.7814,0.4724,0.3856,0.7149,10.0737,0.5415,0.4649,0.1283
15,0.5103,0.8344,0.5103,0.4434,0.6785,5.6088,0.6108,0.5016,0.1193
16,0.5373,0.8505,0.5373,0.483,0.665,2.3991,0.6263,0.5287,0.1204
17,0.5421,0.8643,0.5421,0.5033,0.6652,3.2996,0.6188,0.5346,0.1201
18,0.537,0.8808,0.537,0.4904,0.6346,3.1471,0.6783,0.5283,0.1222
19,0.5491,0.8786,0.5491,0.4959,0.6191,2.5553,0.6806,0.5419,0.1228
20,0.5537,0.8782,0.5537,0.4959,0.6098,2.6209,0.6927,0.5451,0.1213
21,0.5788,0.8771,0.5788,0.5383,0.6072,3.3676,0.6948,0.5715,0.124
22,0.5992,0.8811,0.5992,0.5554,0.5878,2.9732,0.6992,0.5911,0.1223
23,0.6449,0.8991,0.6449,0.6108,0.5579,1.7554,0.7332,0.6389,0.1237
24,0.6343,0.8947,0.6343,0.5948,0.5714,2.3487,0.7197,0.6276,0.1239
25,0.6489,0.8959,0.6489,0.6188,0.5463,2.9755,0.7271,0.6424,0.1256
26,0.6865,0.9019,0.6865,0.6508,0.532,2.822,0.7259,0.6798,0.1233
27,0.6922,0.9035,0.6922,0.6558,0.5249,2.9668,0.7485,0.6857,0.1254
28,0.675,0.9064,0.675,0.6343,0.5294,2.3614,0.7372,0.6684,0.1276
29,0.6938,0.9117,0.6938,0.6568,0.5277,2.3962,0.752,0.6888,0.1329
30,0.6928,0.9109,0.6928,0.6538,0.5185,3.1033,0.7557,0.6873,0.136
31,0.6868,0.9059,0.6868,0.6459,0.5196,3.1218,0.7407,0.6796,0.1437
32,0.6731,0.9026,0.6731,0.6371,0.5292,3.2465,0.7351,0.6677,0.1505
33,0.6865,0.9087,0.6865,0.6467,0.523,3.1767,0.7465,0.6809,0.1504
34,0.6925,0.9181,0.6925,0.6566,0.5093,2.4645,0.7635,0.6883,0.1467
35,0.7126,0.9189,0.7126,0.6769,0.4964,2.6889,0.7701,0.7075,0.1471
36,0.7253,0.9167,0.7253,0.6845,0.4869,3.0511,0.794,0.7213,0.1568
37,0.7283,0.9211,0.7283,0.6885,0.4873,2.9261,0.7816,0.7237,0.149
38,0.7486,0.9696,0.7486,0.7265,0.4659,1.093,0.8637,0.7447,0.1522
