step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5761,0.8855,0.5761,0.5229,0.5647,1.1454,0.6559,0.5221,0.0374
1,0.6047,0.8899,0.6047,0.5424,0.5399,1.099,0.6758,0.5388,0.2616
2,0.6495,0.9102,0.6495,0.5882,0.4825,0.9658,0.717,0.5767,0.2265
3,0.6663,0.9172,0.6663,0.5795,0.4534,0.8932,0.733,0.5747,0.3043
4,0.6876,0.921,0.6876,0.6354,0.4356,0.8572,0.745,0.6157,0.301
5,0.7055,0.9267,0.7055,0.6417,0.4127,0.8144,0.7628,0.6264,0.353
6,0.7122,0.93,0.7122,0.6653,0.4026,0.793,0.7733,0.643,0.3117
7,0.7184,0.9356,0.7184,0.678,0.389,0.7606,0.7847,0.6534,0.3701
8,0.7223,0.9386,0.7223,0.6585,0.3814,0.7435,0.7942,0.6432,0.4416
9,0.7279,0.9427,0.7279,0.6811,0.3714,0.7171,0.777,0.6632,0.3637
10,0.7335,0.9446,0.7335,0.6805,0.3668,0.7056,0.7809,0.6631,0.4578
11,0.7346,0.9475,0.7346,0.6593,0.3579,0.686,0.7869,0.6472,0.4204
12,0.7402,0.9486,0.7402,0.665,0.3539,0.6753,0.7891,0.6527,0.4964
13,0.7486,0.9499,0.7486,0.6797,0.3501,0.6658,0.7941,0.6647,0.4711
14,0.7536,0.9533,0.7536,0.6689,0.3379,0.6399,0.7968,0.6594,0.541
15,0.7576,0.9546,0.7576,0.6723,0.3311,0.631,0.8027,0.6625,0.5536
16,0.7632,0.9561,0.7632,0.6764,0.3251,0.623,0.8076,0.6664,0.4488
17,0.7693,0.9572,0.7693,0.6822,0.3205,0.6143,0.8126,0.6713,0.4977
18,0.7783,0.9581,0.7783,0.6907,0.3138,0.6015,0.8138,0.6792,0.3861
19,0.7777,0.9593,0.7777,0.6902,0.3083,0.5923,0.82,0.6788,0.4929
20,0.7872,0.9601,0.7872,0.7067,0.3019,0.5817,0.8291,0.6923,0.5241
21,0.7906,0.962,0.7906,0.7397,0.2945,0.5668,0.8397,0.716,0.7417
22,0.7872,0.9627,0.7872,0.7383,0.2942,0.562,0.8405,0.7145,0.5168
23,0.7923,0.9635,0.7923,0.7273,0.2892,0.5537,0.842,0.7071,0.5561
24,0.7968,0.9644,0.7968,0.7308,0.2833,0.546,0.8412,0.7106,0.6098
25,0.8029,0.9652,0.8029,0.763,0.2788,0.5384,0.849,0.737,0.6122
26,0.7968,0.9654,0.7968,0.7617,0.2776,0.5361,0.8477,0.7374,0.6392
27,0.8024,0.9664,0.8024,0.7601,0.2755,0.5324,0.8507,0.7372,0.8954
28,0.8074,0.9671,0.8074,0.7643,0.2755,0.5278,0.8544,0.7409,1.1533
29,0.8091,0.9685,0.8091,0.7773,0.2727,0.5198,0.8626,0.7542,1.5537
30,0.8119,0.9693,0.8119,0.7801,0.268,0.5116,0.864,0.7563,1.6454
31,0.8163,0.9696,0.8163,0.7838,0.2657,0.509,0.8659,0.7606,1.0625
32,0.8169,0.9692,0.8169,0.7845,0.2658,0.5095,0.8656,0.7616,1.3033
33,0.8163,0.9695,0.8163,0.7938,0.2654,0.5088,0.8688,0.7711,1.4891
34,0.8208,0.9705,0.8208,0.7974,0.2595,0.4996,0.8722,0.7745,1.0739
35,0.8247,0.9711,0.8247,0.8007,0.2579,0.4945,0.8752,0.7775,1.3292
36,0.8298,0.9714,0.8298,0.8051,0.2532,0.4884,0.8739,0.7813,1.4832
37,0.8287,0.9715,0.8287,0.8043,0.2538,0.487,0.8778,0.7807,1.5575
38,0.8303,0.9714,0.8303,0.8057,0.2524,0.4859,0.8767,0.7827,1.6041
39,0.8354,0.9725,0.8354,0.81,0.2461,0.4756,0.8789,0.7863,1.4457
40,0.832,0.9717,0.832,0.8073,0.2505,0.4841,0.8757,0.7837,1.5793
41,0.8315,0.9716,0.8315,0.812,0.2505,0.4841,0.8756,0.7896,1.7809
42,0.8348,0.9726,0.8348,0.8095,0.2451,0.4757,0.8779,0.7869,1.9948
43,0.8387,0.973,0.8387,0.8222,0.2429,0.4739,0.885,0.8011,1.9538
44,0.8359,0.9733,0.8359,0.8194,0.2416,0.4701,0.8855,0.7986,2.1098
45,0.8393,0.9737,0.8393,0.8175,0.24,0.467,0.8849,0.7962,2.0212
46,0.8365,0.9738,0.8365,0.8154,0.2392,0.4663,0.886,0.7939,1.3259
47,0.8348,0.974,0.8348,0.8143,0.2386,0.4659,0.888,0.7924,1.3208
48,0.8337,0.9746,0.8337,0.813,0.2341,0.4592,0.8901,0.7907,1.5036
49,0.8343,0.9747,0.8343,0.8136,0.2345,0.4597,0.8919,0.7913,1.769
50,0.8382,0.9748,0.8382,0.8218,0.2331,0.4575,0.8925,0.8003,3.0893
51,0.8382,0.9752,0.8382,0.8214,0.2292,0.4511,0.8927,0.8002,2.5809
52,0.8427,0.9757,0.8427,0.8159,0.2263,0.4458,0.8941,0.7931,2.6375
53,0.8387,0.9755,0.8387,0.8147,0.2257,0.4461,0.8931,0.7897,2.2101
54,0.8438,0.9754,0.8438,0.8237,0.2264,0.4475,0.8921,0.7997,2.1687
55,0.8432,0.9757,0.8432,0.8207,0.2252,0.4463,0.8936,0.799,2.7777
56,0.8477,0.9765,0.8477,0.8293,0.2238,0.4405,0.8986,0.8082,1.7832
57,0.846,0.9763,0.846,0.8281,0.2251,0.4423,0.8972,0.8069,1.5451
58,0.8443,0.9761,0.8443,0.8265,0.2268,0.4457,0.8964,0.8057,1.7441
59,0.8432,0.9766,0.8432,0.8256,0.2242,0.4415,0.8998,0.8048,3.1677
