step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3175,0.6836,0.3175,0.1958,0.8458,1.7895,0.3447,0.2598,0.2416
1,0.3359,0.7162,0.3359,0.2022,0.8507,1.7455,0.3834,0.2632,0.1835
2,0.3628,0.7299,0.3628,0.2545,0.8024,1.5689,0.4071,0.286,0.2179
3,0.425,0.7755,0.425,0.3417,0.6986,1.3524,0.4585,0.3441,0.2204
4,0.4378,0.7732,0.4378,0.3492,0.6858,1.3296,0.4585,0.3528,0.2108
5,0.4742,0.7649,0.4742,0.3543,0.6838,1.3583,0.4776,0.3773,0.2225
6,0.4938,0.7938,0.4938,0.3866,0.6341,1.2435,0.5083,0.3948,0.2135
7,0.5218,0.8051,0.5218,0.4212,0.6135,1.1973,0.5275,0.4225,0.2172
8,0.5515,0.8204,0.5515,0.4532,0.5808,1.1402,0.5543,0.4492,0.2205
9,0.547,0.8282,0.547,0.4473,0.5882,1.1384,0.5665,0.4415,0.2097
10,0.5308,0.8218,0.5308,0.4254,0.6029,1.1701,0.5743,0.4256,0.212
11,0.5162,0.8111,0.5162,0.4187,0.6175,1.1882,0.5792,0.4185,0.2177
12,0.5062,0.8096,0.5062,0.4108,0.6394,1.2199,0.5841,0.4095,0.2196
13,0.5403,0.8168,0.5403,0.4388,0.6113,1.1869,0.598,0.4442,0.2176
14,0.5717,0.8273,0.5717,0.4632,0.5743,1.1255,0.6111,0.4707,0.2345
15,0.5963,0.8325,0.5963,0.4979,0.5538,1.0835,0.6263,0.4956,0.2473
16,0.6232,0.8343,0.6232,0.5207,0.5381,1.0723,0.6308,0.5227,0.2466
17,0.6221,0.8378,0.6221,0.5145,0.5156,1.0308,0.6363,0.519,0.2457
18,0.6271,0.829,0.6271,0.5272,0.5254,1.046,0.637,0.5257,0.2299
19,0.6361,0.834,0.6361,0.5361,0.5111,1.0172,0.6423,0.5331,0.2541
20,0.6209,0.8355,0.6209,0.5158,0.5232,1.0423,0.6434,0.5169,0.2532
21,0.6165,0.8378,0.6165,0.5087,0.5244,1.0512,0.6454,0.5121,0.2603
22,0.6349,0.8405,0.6349,0.5303,0.5073,1.0217,0.6542,0.53,0.2578
23,0.6293,0.8391,0.6293,0.5271,0.5174,1.04,0.6502,0.5243,0.2603
24,0.6551,0.8959,0.6551,0.552,0.477,0.9244,0.6709,0.5461,0.2202
25,0.668,0.9162,0.668,0.5597,0.4547,0.8751,0.7219,0.5574,0.2708
26,0.6769,0.9199,0.6769,0.5848,0.4453,0.8483,0.7325,0.5735,0.2697
27,0.687,0.9255,0.687,0.6028,0.4352,0.8305,0.7406,0.5875,0.2671
28,0.6909,0.9283,0.6909,0.6057,0.4251,0.8116,0.7474,0.5912,0.2643
29,0.6971,0.9302,0.6971,0.6109,0.4172,0.7973,0.7536,0.5963,0.2684
30,0.7055,0.9317,0.7055,0.606,0.412,0.7921,0.7576,0.5971,0.2708
31,0.7262,0.9335,0.7262,0.6292,0.3926,0.7574,0.7622,0.6197,0.2757
32,0.7206,0.9369,0.7206,0.6453,0.3886,0.7478,0.774,0.6253,0.2738
33,0.7217,0.9373,0.7217,0.6453,0.3842,0.7395,0.7739,0.6259,0.2739
34,0.7206,0.9377,0.7206,0.6441,0.3856,0.7397,0.7724,0.6248,0.278
35,0.7178,0.9383,0.7178,0.6422,0.3872,0.7414,0.7732,0.6217,0.2811
36,0.7318,0.9418,0.7318,0.6545,0.3741,0.7182,0.78,0.6346,0.2852
37,0.7312,0.9417,0.7312,0.6533,0.3721,0.715,0.778,0.6351,0.2855
38,0.7352,0.9413,0.7352,0.6572,0.3711,0.7157,0.7738,0.639,0.2785
39,0.738,0.9417,0.738,0.6592,0.3668,0.7093,0.7762,0.6417,0.2762
40,0.7413,0.9406,0.7413,0.6616,0.3688,0.7137,0.7721,0.6445,0.2893
41,0.7374,0.9397,0.7374,0.6586,0.3731,0.7215,0.7702,0.6407,0.2851
42,0.7357,0.9394,0.7357,0.6582,0.3749,0.7257,0.7699,0.6392,0.2736
43,0.7357,0.9398,0.7357,0.6572,0.3713,0.7202,0.7716,0.6394,0.2895
44,0.738,0.9409,0.738,0.6494,0.3678,0.7159,0.7724,0.6358,0.2913
45,0.7419,0.9419,0.7419,0.6524,0.3658,0.7119,0.7758,0.6394,0.2995
46,0.7497,0.9448,0.7497,0.6598,0.3546,0.6901,0.7824,0.6469,0.3002
47,0.752,0.9448,0.752,0.6708,0.3545,0.6888,0.783,0.6539,0.3001
48,0.7486,0.9453,0.7486,0.6682,0.3506,0.6831,0.7861,0.6516,0.314
49,0.7531,0.946,0.7531,0.662,0.3479,0.6782,0.7895,0.6507,0.246
50,0.7548,0.9467,0.7548,0.682,0.3451,0.6687,0.7922,0.663,0.3084
51,0.7548,0.9484,0.7548,0.6744,0.34,0.6579,0.7963,0.6597,0.3102
52,0.7542,0.9482,0.7542,0.674,0.3414,0.6602,0.7965,0.6593,0.3134
53,0.7536,0.9477,0.7536,0.6733,0.3419,0.6619,0.7951,0.6589,0.3013
54,0.7531,0.9483,0.7531,0.6733,0.3407,0.6583,0.7964,0.6583,0.312
55,0.7632,0.9503,0.7632,0.6966,0.3347,0.6476,0.8023,0.677,0.3111
56,0.7648,0.951,0.7648,0.6982,0.3327,0.6429,0.8037,0.6784,0.315
57,0.7654,0.9523,0.7654,0.6992,0.3283,0.635,0.8113,0.6791,0.3081
58,0.7671,0.9523,0.7671,0.7081,0.327,0.6335,0.812,0.6861,0.3191
59,0.7654,0.9527,0.7654,0.699,0.3265,0.6315,0.8141,0.6794,0.3144
