step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2676,0.5893,0.2676,0.1355,0.9675,7.9523,0.248,0.1998,1.6428
1,0.2716,0.7072,0.2716,0.135,0.9224,1.7621,0.332,0.2036,0.683
2,0.2934,0.7056,0.2934,0.17,0.9223,1.9069,0.3511,0.2202,0.6848
3,0.3068,0.728,0.3068,0.1904,0.8709,1.669,0.3853,0.2322,0.6909
4,0.2872,0.6987,0.2872,0.162,0.9997,1.9484,0.3602,0.2163,0.6999
5,0.2878,0.6997,0.2878,0.1675,1.0051,1.9723,0.3669,0.2185,0.7194
6,0.3343,0.7151,0.3343,0.2306,0.8963,1.7685,0.3932,0.2578,0.7319
7,0.374,0.7477,0.374,0.2766,0.8456,1.6349,0.4389,0.2933,0.7236
8,0.4267,0.7809,0.4267,0.3344,0.7346,1.4313,0.4826,0.3378,0.7303
9,0.4726,0.7981,0.4726,0.3701,0.6737,1.3479,0.5128,0.3766,0.7408
10,0.5202,0.8257,0.5202,0.4163,0.615,1.2389,0.5509,0.4193,0.7434
11,0.5582,0.8354,0.5582,0.4473,0.5674,1.1639,0.5765,0.452,0.7845
12,0.5577,0.8439,0.5577,0.4417,0.5758,1.1809,0.5885,0.4513,0.7983
13,0.5711,0.8515,0.5711,0.4532,0.5554,1.1283,0.5993,0.4611,0.7934
14,0.5929,0.8517,0.5929,0.4795,0.5355,1.0861,0.607,0.481,0.796
15,0.6081,0.8542,0.6081,0.4898,0.5252,1.0712,0.6138,0.4939,0.8017
16,0.6092,0.8589,0.6092,0.4971,0.517,1.0577,0.6195,0.4971,0.8121
17,0.631,0.8694,0.631,0.526,0.4921,0.9769,0.6399,0.5206,0.8298
18,0.6265,0.8546,0.6265,0.5214,0.5064,0.9999,0.6329,0.5139,0.8268
19,0.6545,0.8646,0.6545,0.5555,0.4733,0.9344,0.6481,0.5463,0.8377
20,0.6842,0.9043,0.6842,0.592,0.4385,0.8597,0.6726,0.5852,0.8545
21,0.6859,0.9012,0.6859,0.5949,0.4361,0.8563,0.6708,0.5851,0.8431
22,0.6887,0.8996,0.6887,0.5961,0.4377,0.8609,0.6689,0.5873,0.8432
23,0.6892,0.9012,0.6892,0.5832,0.4357,0.8587,0.6729,0.5792,0.886
24,0.6719,0.8999,0.6719,0.5782,0.4519,0.884,0.6832,0.5709,0.8534
25,0.6753,0.9153,0.6753,0.5921,0.4513,0.8677,0.7075,0.5787,0.8687
26,0.6982,0.9201,0.6982,0.6037,0.4294,0.8292,0.7178,0.596,0.8638
27,0.6982,0.9209,0.6982,0.603,0.4254,0.824,0.7196,0.5924,0.8701
28,0.7072,0.9226,0.7072,0.6113,0.4177,0.8098,0.725,0.6019,0.8741
29,0.706,0.9204,0.706,0.6109,0.4191,0.8158,0.7214,0.6009,0.8726
30,0.7083,0.921,0.7083,0.6128,0.4179,0.816,0.7254,0.6014,0.9016
31,0.71,0.9221,0.71,0.6129,0.4147,0.8107,0.7273,0.6023,0.8983
