step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2133,0.6264,0.2133,0.1071,1.0243,7.5715,0.2979,0.1993,0.7177
1,0.3796,0.6922,0.3796,0.2699,0.8067,2.257,0.3906,0.3246,0.141
2,0.4356,0.7451,0.4356,0.3432,0.6983,1.9439,0.4652,0.3736,0.1387
3,0.5095,0.8238,0.5095,0.4245,0.6209,1.2804,0.5449,0.4492,0.1396
4,0.4972,0.8621,0.4972,0.4598,0.6238,1.3002,0.6197,0.4954,0.1394
5,0.5817,0.8777,0.5817,0.5641,0.5495,1.1264,0.6399,0.5745,0.14
6,0.5918,0.8864,0.5918,0.5836,0.5356,1.0735,0.6578,0.5779,0.1394
7,0.6103,0.8942,0.6103,0.5925,0.5147,1.0307,0.6696,0.5885,0.1391
8,0.6036,0.8916,0.6036,0.5894,0.5244,1.0485,0.6732,0.5765,0.138
9,0.6529,0.9003,0.6529,0.627,0.4825,0.9699,0.6908,0.6086,0.1381
10,0.6601,0.9105,0.6601,0.6357,0.4606,0.9157,0.7159,0.6148,0.1389
11,0.6797,0.9179,0.6797,0.6505,0.4444,0.8808,0.7363,0.6279,0.1384
12,0.6915,0.9228,0.6915,0.6592,0.4258,0.8455,0.7463,0.6392,0.1405
13,0.7038,0.9282,0.7038,0.7051,0.4223,0.8304,0.7763,0.6841,0.1377
14,0.6881,0.9283,0.6881,0.6875,0.4268,0.8355,0.7782,0.6627,0.138
15,0.7077,0.9346,0.7077,0.7056,0.4055,0.7888,0.7939,0.6785,0.1384
16,0.7167,0.9371,0.7167,0.7221,0.3936,0.7709,0.8048,0.7039,0.1372
17,0.7144,0.9377,0.7144,0.7267,0.3922,0.7649,0.8075,0.7068,0.1392
18,0.734,0.9409,0.734,0.7377,0.3809,0.7447,0.8141,0.7148,0.1373
19,0.7385,0.944,0.7385,0.7367,0.3692,0.7207,0.819,0.7175,0.1378
20,0.7514,0.9463,0.7514,0.745,0.3579,0.7016,0.8263,0.73,0.1369
21,0.7424,0.9471,0.7424,0.7186,0.3578,0.7005,0.8171,0.703,0.1373
22,0.7497,0.9485,0.7497,0.7399,0.3522,0.6894,0.8235,0.7296,0.1367
23,0.7508,0.9487,0.7508,0.7412,0.3526,0.6885,0.8222,0.7301,0.1407
24,0.7548,0.9487,0.7548,0.7437,0.3545,0.6898,0.8236,0.7276,0.1367
25,0.7598,0.9516,0.7598,0.7478,0.3434,0.6678,0.8303,0.7327,0.1368
26,0.7626,0.953,0.7626,0.7457,0.3395,0.6582,0.8335,0.7291,0.137
27,0.7609,0.9531,0.7609,0.7467,0.3414,0.6582,0.8338,0.7324,0.1374
28,0.7632,0.9546,0.7632,0.7485,0.3345,0.6463,0.8385,0.7342,0.138
29,0.7592,0.9552,0.7592,0.7513,0.3335,0.6425,0.8394,0.7354,0.1376
30,0.771,0.9565,0.771,0.7525,0.3267,0.6324,0.8431,0.7368,0.1373
31,0.771,0.9573,0.771,0.7493,0.3235,0.6269,0.8445,0.7311,0.1391
32,0.7699,0.9573,0.7699,0.7484,0.3249,0.6246,0.8462,0.73,0.1379
33,0.7704,0.958,0.7704,0.7488,0.3224,0.6191,0.8476,0.7306,0.1381
34,0.7744,0.9584,0.7744,0.756,0.3197,0.6154,0.85,0.7387,0.1375
35,0.78,0.9592,0.78,0.7635,0.3168,0.6087,0.8505,0.7445,0.1365
36,0.7811,0.9599,0.7811,0.7643,0.3148,0.6034,0.8528,0.745,0.137
37,0.7884,0.9604,0.7884,0.7702,0.3115,0.5975,0.8546,0.7515,0.1372
38,0.7867,0.9613,0.7867,0.7684,0.307,0.5901,0.8553,0.7498,0.1368
39,0.7906,0.9621,0.7906,0.7699,0.3025,0.5822,0.8584,0.7527,0.1371
40,0.7923,0.9628,0.7923,0.7707,0.2994,0.5765,0.8597,0.7549,0.1365
