step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3516,0.6526,0.3516,0.1663,0.854,7.3874,0.3321,0.2695,1.4396
1,0.3135,0.7077,0.3135,0.1476,0.843,7.3335,0.4002,0.2362,1.3411
2,0.2256,0.7473,0.2256,0.0614,0.8207,1.7306,0.4354,0.1667,1.3453
3,0.2486,0.7564,0.2486,0.0945,0.8254,1.7296,0.4374,0.1844,1.3449
4,0.248,0.7615,0.248,0.0937,0.8076,1.6723,0.4436,0.1839,1.3506
5,0.3348,0.7785,0.3348,0.1754,0.806,1.6684,0.4706,0.2509,1.3282
6,0.2256,0.7823,0.2256,0.0614,0.8038,1.6603,0.475,0.1667,1.3223
7,0.3505,0.808,0.3505,0.1645,0.8021,1.6563,0.5183,0.2648,1.3276
8,0.2256,0.8127,0.2256,0.0614,0.8042,1.6627,0.5417,0.1667,1.3401
9,0.2161,0.8056,0.2161,0.0592,0.8055,1.6659,0.5327,0.1667,1.3189
10,0.2161,0.794,0.2161,0.0592,0.8054,1.6651,0.5062,0.1667,1.3219
11,0.2161,0.7937,0.2161,0.0592,0.8079,1.6702,0.4923,0.1667,1.2726
12,0.2161,0.8072,0.2161,0.0592,0.8054,1.6657,0.5098,0.1667,1.2658
13,0.2161,0.798,0.2161,0.0592,0.8039,1.6634,0.5044,0.1667,1.2309
14,0.2161,0.8043,0.2161,0.0592,0.8042,1.6647,0.5177,0.1667,1.2354
15,0.2161,0.7974,0.2161,0.0592,0.8041,1.6654,0.5114,0.1667,1.2664
16,0.2161,0.8027,0.2161,0.0592,0.8047,1.6678,0.5202,0.1667,1.2475
17,0.2161,0.8108,0.2161,0.0592,0.805,1.6692,0.533,0.1667,1.256
18,0.2161,0.8075,0.2161,0.0592,0.8053,1.6706,0.5186,0.1667,1.2373
19,0.2161,0.8132,0.2161,0.0592,0.8038,1.6676,0.5256,0.1667,1.2386
20,0.2161,0.8186,0.2161,0.0592,0.8046,1.6701,0.5328,0.1667,1.2104
21,0.2161,0.8445,0.2161,0.0592,0.8041,1.663,0.5636,0.1667,1.1235
22,0.2161,0.8509,0.2161,0.0592,0.804,1.6635,0.576,0.1667,1.127
23,0.2161,0.8433,0.2161,0.0592,0.8028,1.6604,0.5615,0.1667,1.1281
24,0.2161,0.8589,0.2161,0.0592,0.8026,1.6574,0.6283,0.1667,1.1351
25,0.2161,0.8688,0.2161,0.0592,0.8025,1.6571,0.6506,0.1667,1.1409
26,0.2161,0.8713,0.2161,0.0592,0.8024,1.6572,0.6604,0.1667,1.3581
27,0.2161,0.8745,0.2161,0.0592,0.8017,1.6555,0.6679,0.1667,1.3485
28,0.2161,0.8737,0.2161,0.0592,0.8016,1.6554,0.6644,0.1667,1.3795
29,0.2161,0.8675,0.2161,0.0592,0.8016,1.6557,0.6547,0.1667,1.3835
30,0.2161,0.8689,0.2161,0.0592,0.8018,1.6566,0.6592,0.1667,1.3601
31,0.2161,0.8722,0.2161,0.0592,0.8016,1.6563,0.6678,0.1667,1.3073
32,0.2161,0.8741,0.2161,0.0592,0.8013,1.6556,0.6643,0.1667,1.304
33,0.2184,0.8765,0.2184,0.0597,0.8013,1.6558,0.6692,0.1667,1.2632
34,0.2424,0.8786,0.2424,0.0948,0.8013,1.6563,0.6666,0.1852,1.274
35,0.2307,0.881,0.2307,0.0691,0.8013,1.6566,0.6692,0.1705,1.218
36,0.3718,0.8866,0.3718,0.1763,0.8014,1.6572,0.6818,0.2852,1.2281
37,0.2794,0.8862,0.2794,0.1255,0.8017,1.6583,0.6844,0.2109,1.2104
38,0.2161,0.8886,0.2161,0.0592,0.8016,1.6581,0.6844,0.1667,1.2445
