step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2161,0.83,0.2161,0.0592,0.8141,1.6988,0.5347,0.1667,1.3954
1,0.154,0.8719,0.154,0.0445,0.8099,1.6827,0.6183,0.1667,1.1605
2,0.154,0.8744,0.154,0.0445,0.8089,1.6781,0.6413,0.1667,1.0794
3,0.2161,0.8694,0.2161,0.0592,0.8058,1.6685,0.6285,0.1667,1.1037
4,0.2161,0.8816,0.2161,0.0592,0.8039,1.6629,0.6585,0.1667,1.1594
5,0.2161,0.8823,0.2161,0.0592,0.8047,1.6657,0.658,0.1667,1.1656
6,0.2161,0.8836,0.2161,0.0592,0.8045,1.6646,0.6606,0.1667,1.1743
7,0.2161,0.8854,0.2161,0.0592,0.8041,1.6624,0.6659,0.1667,1.268
8,0.2161,0.8838,0.2161,0.0592,0.8039,1.6619,0.6615,0.1667,1.0854
9,0.2161,0.8839,0.2161,0.0592,0.8047,1.6635,0.6587,0.1667,1.1282
10,0.2161,0.8898,0.2161,0.0592,0.8048,1.6638,0.6756,0.1667,1.0857
11,0.2161,0.8924,0.2161,0.0592,0.8045,1.6634,0.6873,0.1667,1.0968
12,0.2161,0.8911,0.2161,0.0592,0.8044,1.6631,0.6862,0.1667,0.9576
13,0.2161,0.8931,0.2161,0.0592,0.8039,1.6616,0.6932,0.1667,0.9709
14,0.2161,0.8935,0.2161,0.0592,0.8031,1.6592,0.6931,0.1667,1.0102
15,0.2161,0.8937,0.2161,0.0592,0.803,1.659,0.6894,0.1667,0.9573
16,0.2161,0.894,0.2161,0.0592,0.8034,1.6602,0.6931,0.1667,0.9719
17,0.2161,0.8926,0.2161,0.0592,0.8034,1.66,0.6936,0.1667,0.9459
18,0.2161,0.8907,0.2161,0.0592,0.8031,1.6592,0.6917,0.1667,0.992
19,0.2161,0.8904,0.2161,0.0592,0.8031,1.659,0.6904,0.1667,0.9452
20,0.2161,0.8906,0.2161,0.0592,0.8034,1.6597,0.6909,0.1667,0.9516
21,0.2161,0.8897,0.2161,0.0592,0.803,1.6593,0.6872,0.1667,0.8931
22,0.2161,0.8882,0.2161,0.0592,0.8031,1.6597,0.6832,0.1667,0.9292
23,0.2161,0.8889,0.2161,0.0592,0.8029,1.6588,0.6845,0.1667,0.8851
24,0.2161,0.8878,0.2161,0.0592,0.8025,1.6575,0.6836,0.1667,0.8746
25,0.2161,0.8879,0.2161,0.0592,0.8022,1.6566,0.6838,0.1667,0.858
26,0.3382,0.8874,0.3382,0.1548,0.8021,1.6563,0.6844,0.2566,0.8368
27,0.3158,0.8886,0.3158,0.1632,0.8022,1.6567,0.6877,0.2362,0.865
28,0.2604,0.8887,0.2604,0.1093,0.8019,1.6558,0.6869,0.1934,0.8452
29,0.3768,0.8919,0.3768,0.188,0.8018,1.6556,0.6923,0.2842,0.817
30,0.2279,0.8901,0.2279,0.0762,0.8017,1.6551,0.6898,0.1754,0.7937
31,0.2654,0.8896,0.2654,0.1151,0.8017,1.6549,0.6888,0.1973,0.8087
32,0.2256,0.891,0.2256,0.0614,0.8014,1.6544,0.6897,0.1667,0.8055
33,0.2256,0.8905,0.2256,0.0614,0.8015,1.6545,0.689,0.1667,0.7576
34,0.2256,0.8909,0.2256,0.0614,0.8014,1.6543,0.6902,0.1667,0.7511
35,0.2256,0.892,0.2256,0.0614,0.8012,1.6539,0.691,0.1667,0.8123
36,0.2256,0.8919,0.2256,0.0614,0.8012,1.6537,0.6915,0.1667,0.7859
37,0.2256,0.8927,0.2256,0.0614,0.8012,1.6537,0.693,0.1667,0.7656
38,0.2732,0.8933,0.2732,0.1176,0.8011,1.6534,0.6931,0.2088,0.7659
39,0.2329,0.8932,0.2329,0.0824,0.8012,1.6535,0.6924,0.1791,0.7261
40,0.3214,0.8936,0.3214,0.145,0.8011,1.6533,0.6929,0.2442,0.7097
41,0.22,0.8937,0.22,0.0651,0.8012,1.6535,0.6924,0.1696,0.6527
42,0.2284,0.894,0.2284,0.0658,0.8012,1.6535,0.6935,0.1688,0.692
43,0.3275,0.8941,0.3275,0.1489,0.8011,1.6532,0.6926,0.2487,0.6423
44,0.3723,0.8943,0.3723,0.1896,0.801,1.6528,0.6923,0.2806,0.6399
45,0.2256,0.8932,0.2256,0.0614,0.8009,1.6527,0.6914,0.1667,0.6645
46,0.2256,0.8932,0.2256,0.0614,0.8009,1.6526,0.6915,0.1667,0.6265
47,0.2256,0.8933,0.2256,0.0614,0.8009,1.6524,0.6916,0.1667,0.585
48,0.3348,0.8928,0.3348,0.1535,0.801,1.6528,0.6907,0.2541,0.6204
49,0.2654,0.8934,0.2654,0.1152,0.801,1.6527,0.691,0.1973,0.5915
50,0.2665,0.8938,0.2665,0.1164,0.801,1.6529,0.6924,0.1982,0.5622
51,0.3035,0.8945,0.3035,0.1539,0.801,1.6529,0.6932,0.2268,0.5297
52,0.3712,0.8949,0.3712,0.1887,0.801,1.6529,0.6934,0.2798,0.5488
53,0.3488,0.8946,0.3488,0.1839,0.801,1.6527,0.6927,0.262,0.4995
54,0.2867,0.8954,0.2867,0.1254,0.8009,1.6525,0.6915,0.2187,0.5237
55,0.3701,0.8955,0.3701,0.1886,0.8008,1.6523,0.6927,0.2789,0.5092
56,0.3466,0.896,0.3466,0.1612,0.8008,1.6523,0.6931,0.2627,0.5017
57,0.3639,0.8963,0.3639,0.1764,0.8008,1.6523,0.6935,0.2751,0.4687
58,0.3141,0.8955,0.3141,0.1621,0.8008,1.6522,0.6927,0.235,0.4652
59,0.3544,0.8954,0.3544,0.1863,0.8008,1.6522,0.6924,0.2663,0.4462
