step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2184,0.695,0.2184,0.0597,0.8124,2.1942,0.364,0.1667,0.0191
1,0.2161,0.7332,0.2161,0.0592,0.8145,2.1834,0.4335,0.1667,0.8261
2,0.2161,0.7733,0.2161,0.0592,0.82,2.1937,0.5,0.1667,0.8394
3,0.2161,0.8191,0.2161,0.0592,0.8293,1.7192,0.5316,0.1667,0.8016
4,0.2161,0.8556,0.2161,0.0592,0.8122,1.681,0.5529,0.1667,0.8487
5,0.2161,0.8591,0.2161,0.0592,0.8085,1.6823,0.5855,0.1667,0.8659
6,0.2161,0.8657,0.2161,0.0592,0.8095,1.681,0.595,0.1667,0.8311
7,0.2161,0.8723,0.2161,0.0592,0.8113,1.6834,0.612,0.1667,0.8184
8,0.2161,0.8804,0.2161,0.0592,0.8105,1.6828,0.6277,0.1667,0.8542
9,0.2161,0.8858,0.2161,0.0592,0.8109,1.6832,0.6407,0.1667,0.857
10,0.2161,0.8891,0.2161,0.0592,0.8087,1.6767,0.6457,0.1667,0.8352
11,0.2161,0.8895,0.2161,0.0592,0.8087,1.6761,0.6432,0.1667,0.8972
12,0.2161,0.8838,0.2161,0.0592,0.8061,1.6696,0.6318,0.1667,0.8355
13,0.2161,0.8863,0.2161,0.0592,0.8056,1.6673,0.6372,0.1667,0.8749
14,0.2161,0.8911,0.2161,0.0592,0.8062,1.6692,0.6488,0.1667,0.8743
15,0.2161,0.8949,0.2161,0.0592,0.8064,1.6693,0.6595,0.1667,0.8228
16,0.2161,0.8963,0.2161,0.0592,0.8068,1.6695,0.6656,0.1667,0.8709
17,0.2161,0.8936,0.2161,0.0592,0.806,1.6668,0.6588,0.1667,0.8636
18,0.2161,0.8939,0.2161,0.0592,0.8061,1.6664,0.6593,0.1667,0.8856
19,0.2161,0.8929,0.2161,0.0592,0.8065,1.6674,0.658,0.1667,0.9051
20,0.2161,0.8967,0.2161,0.0592,0.8068,1.6679,0.6698,0.1667,0.9353
21,0.2161,0.8983,0.2161,0.0592,0.8069,1.6684,0.6701,0.1667,0.9859
22,0.2161,0.898,0.2161,0.0592,0.8076,1.6695,0.6692,0.1667,0.8879
23,0.2161,0.8964,0.2161,0.0592,0.8064,1.6668,0.6693,0.1667,0.8962
24,0.2161,0.899,0.2161,0.0592,0.8066,1.6674,0.6756,0.1667,0.9249
25,0.2161,0.9007,0.2161,0.0592,0.8059,1.6655,0.6834,0.1667,0.8976
26,0.2161,0.9008,0.2161,0.0592,0.8056,1.6648,0.6823,0.1667,0.9057
27,0.2161,0.9023,0.2161,0.0592,0.8051,1.6632,0.6867,0.1667,0.9344
28,0.2161,0.9041,0.2161,0.0592,0.8051,1.6631,0.6913,0.1667,0.9839
29,0.2161,0.9075,0.2161,0.0592,0.8047,1.662,0.6986,0.1667,0.9873
30,0.2161,0.9085,0.2161,0.0592,0.8048,1.6623,0.7021,0.1667,0.9574
31,0.2161,0.9093,0.2161,0.0592,0.8045,1.6614,0.7029,0.1667,0.933
32,0.2161,0.9093,0.2161,0.0592,0.8042,1.6609,0.7031,0.1667,1.011
33,0.2161,0.9104,0.2161,0.0592,0.8044,1.6613,0.7115,0.1667,0.9806
34,0.2161,0.9119,0.2161,0.0592,0.8043,1.6611,0.7146,0.1667,0.9631
35,0.2161,0.9108,0.2161,0.0592,0.8041,1.6608,0.7126,0.1667,0.9646
36,0.2161,0.909,0.2161,0.0592,0.8042,1.661,0.7107,0.1667,0.9057
37,0.2161,0.9106,0.2161,0.0592,0.8046,1.6619,0.712,0.1667,1.0187
38,0.2161,0.9104,0.2161,0.0592,0.8042,1.6609,0.7104,0.1667,0.977
39,0.2161,0.9101,0.2161,0.0592,0.8038,1.6598,0.7122,0.1667,1.0071
40,0.2161,0.9088,0.2161,0.0592,0.8036,1.6593,0.7119,0.1667,0.9573
41,0.2161,0.908,0.2161,0.0592,0.8039,1.6601,0.7109,0.1667,0.9698
42,0.2161,0.907,0.2161,0.0592,0.8037,1.6597,0.7075,0.1667,1.102
43,0.2161,0.9072,0.2161,0.0592,0.8036,1.6593,0.7051,0.1667,0.9665
44,0.2161,0.9078,0.2161,0.0592,0.8037,1.6597,0.7065,0.1667,0.9606
45,0.2161,0.9076,0.2161,0.0592,0.8036,1.6593,0.7037,0.1667,1.003
46,0.2161,0.9066,0.2161,0.0592,0.8037,1.6596,0.7025,0.1667,0.969
47,0.2161,0.906,0.2161,0.0592,0.8035,1.6593,0.7014,0.1667,1.017
48,0.3667,0.9082,0.3667,0.174,0.8035,1.6592,0.7034,0.2775,1.0245
49,0.2256,0.9083,0.2256,0.0614,0.8035,1.6591,0.6998,0.1667,1.0636
50,0.2256,0.9091,0.2256,0.0614,0.8036,1.6595,0.7013,0.1667,1.0762
51,0.2738,0.9082,0.2738,0.1249,0.8033,1.6589,0.6984,0.2038,1.0293
52,0.304,0.9067,0.304,0.1355,0.8033,1.6589,0.6974,0.2315,1.0062
53,0.3701,0.9063,0.3701,0.1873,0.8033,1.6587,0.6975,0.2791,1.0162
54,0.2172,0.9068,0.2172,0.061,0.8032,1.6586,0.6973,0.1675,1.0605
55,0.2161,0.9054,0.2161,0.0592,0.8031,1.6582,0.6944,0.1667,0.9429
56,0.2178,0.905,0.2178,0.0618,0.8029,1.658,0.6927,0.1679,0.9432
57,0.3679,0.9043,0.3679,0.1768,0.8029,1.6578,0.6947,0.2782,1.0663
58,0.3141,0.9043,0.3141,0.1408,0.8027,1.6572,0.7003,0.239,0.9744
59,0.2256,0.9044,0.2256,0.0614,0.8027,1.6571,0.6998,0.1667,1.0676
