step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2184,0.6457,0.2184,0.0597,0.8873,7.462,0.2726,0.1667,0.1779
1,0.2184,0.7292,0.2184,0.0597,0.8142,1.6959,0.3545,0.1667,0.2022
2,0.2184,0.7455,0.2184,0.0597,0.8152,1.6932,0.3772,0.1667,0.2036
3,0.2256,0.7788,0.2256,0.0614,0.8127,1.6884,0.4086,0.1667,0.1991
4,0.229,0.794,0.229,0.0716,0.8143,1.6929,0.4401,0.1693,0.2033
5,0.2256,0.7955,0.2256,0.0614,0.8128,1.6817,0.4451,0.1667,0.2009
6,0.2256,0.808,0.2256,0.0614,0.8104,1.6795,0.4666,0.1667,0.1999
7,0.2256,0.8184,0.2256,0.0614,0.8115,1.6787,0.4897,0.1667,0.2124
8,0.2256,0.8476,0.2256,0.0614,0.8076,1.6682,0.5472,0.1667,0.2066
9,0.2256,0.8522,0.2256,0.0614,0.8087,1.6698,0.5549,0.1667,0.2065
10,0.2256,0.8552,0.2256,0.0614,0.8093,1.6728,0.5554,0.1667,0.2009
11,0.2256,0.861,0.2256,0.0614,0.8098,1.6753,0.5732,0.1667,0.2024
12,0.2256,0.8632,0.2256,0.0614,0.8073,1.67,0.5823,0.1667,0.2281
13,0.2256,0.8631,0.2256,0.0614,0.8067,1.668,0.5763,0.1667,0.1946
14,0.2256,0.8636,0.2256,0.0614,0.8054,1.6637,0.5776,0.1667,0.1906
15,0.2256,0.8623,0.2256,0.0614,0.8055,1.6638,0.5766,0.1667,0.1925
16,0.2256,0.8664,0.2256,0.0614,0.805,1.6632,0.5833,0.1667,0.217
17,0.2256,0.8674,0.2256,0.0614,0.806,1.6654,0.5819,0.1667,0.1979
18,0.2256,0.8712,0.2256,0.0614,0.8071,1.6691,0.5893,0.1667,0.1923
19,0.2256,0.8683,0.2256,0.0614,0.8068,1.6676,0.5813,0.1667,0.1909
20,0.2256,0.8674,0.2256,0.0614,0.806,1.6649,0.5858,0.1667,0.2222
21,0.2256,0.8832,0.2256,0.0614,0.8062,1.6665,0.6237,0.1667,0.192
