step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2318,0.5967,0.2318,0.0749,0.8348,2.2558,0.2341,0.1715,1.7688
1,0.2167,0.6681,0.2167,0.0821,0.8222,2.2118,0.2946,0.1607,0.7153
2,0.2368,0.7597,0.2368,0.0824,0.811,1.6881,0.3854,0.1753,0.7303
3,0.2256,0.7792,0.2256,0.0614,0.8161,1.7,0.4011,0.1667,0.7453
4,0.2256,0.7986,0.2256,0.0614,0.8116,1.6827,0.4294,0.1667,0.7598
5,0.2256,0.8059,0.2256,0.0614,0.8119,1.6836,0.4499,0.1667,0.7676
6,0.2256,0.8117,0.2256,0.0614,0.8066,1.6668,0.4682,0.1667,0.7682
7,0.3382,0.8097,0.3382,0.1609,0.8028,1.6582,0.4685,0.2555,0.7829
8,0.2161,0.823,0.2161,0.0592,0.8053,1.6651,0.4891,0.1667,0.7811
9,0.341,0.838,0.341,0.1666,0.8047,1.6631,0.5342,0.2573,0.787
10,0.2161,0.8411,0.2161,0.0592,0.8027,1.6567,0.5399,0.1667,0.8051
11,0.2161,0.8408,0.2161,0.0592,0.8027,1.6564,0.5368,0.1667,0.8198
12,0.2161,0.845,0.2161,0.0592,0.8024,1.656,0.5396,0.1667,0.8126
13,0.2161,0.8495,0.2161,0.0592,0.8029,1.6579,0.5462,0.1667,0.8258
14,0.2161,0.8509,0.2161,0.0592,0.8042,1.6615,0.5517,0.1667,0.827
15,0.2161,0.8549,0.2161,0.0592,0.8034,1.6596,0.5688,0.1667,0.8322
16,0.2161,0.8541,0.2161,0.0592,0.8055,1.6634,0.5618,0.1667,0.8571
17,0.2161,0.8608,0.2161,0.0592,0.8047,1.6615,0.5741,0.1667,0.8575
18,0.2161,0.8552,0.2161,0.0592,0.8037,1.6599,0.5634,0.1667,0.853
19,0.2161,0.8644,0.2161,0.0592,0.8026,1.6578,0.5847,0.1667,0.8714
20,0.2161,0.8654,0.2161,0.0592,0.8035,1.6606,0.5857,0.1667,0.8891
21,0.2161,0.8679,0.2161,0.0592,0.8042,1.6626,0.593,0.1667,0.8823
