step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.1697,0.7408,0.1697,0.0483,0.8682,1.7901,0.4302,0.1667,1.6306
1,0.2256,0.8337,0.2256,0.0614,0.8179,1.7007,0.5757,0.1667,0.5751
2,0.2256,0.8331,0.2256,0.0614,0.8109,1.6883,0.5612,0.1667,0.5673
3,0.2256,0.8197,0.2256,0.0614,0.8093,1.6807,0.5219,0.1667,0.5741
4,0.2256,0.8434,0.2256,0.0614,0.8068,1.6739,0.5571,0.1667,0.5452
5,0.2161,0.8659,0.2161,0.0592,0.8078,1.6756,0.607,0.1667,0.5396
6,0.2161,0.8689,0.2161,0.0592,0.8074,1.6705,0.6313,0.1667,0.5399
7,0.2262,0.8742,0.2262,0.0623,0.805,1.6635,0.6418,0.1671,0.5412
8,0.2273,0.8744,0.2273,0.064,0.8032,1.6593,0.6399,0.168,0.5177
9,0.2256,0.8748,0.2256,0.0614,0.8036,1.6611,0.6429,0.1667,0.5104
10,0.2256,0.8733,0.2256,0.0614,0.8029,1.659,0.6515,0.1667,0.5105
11,0.2822,0.8746,0.2822,0.1237,0.8028,1.6593,0.6506,0.2154,0.4962
12,0.2256,0.8782,0.2256,0.0614,0.8026,1.6586,0.6608,0.1667,0.4954
13,0.2256,0.8824,0.2256,0.0614,0.802,1.6571,0.6703,0.1667,0.5121
14,0.3052,0.8832,0.3052,0.1366,0.8017,1.6557,0.6751,0.2323,0.5076
15,0.3074,0.8809,0.3074,0.1378,0.8017,1.6554,0.6618,0.2339,0.502
16,0.2256,0.8803,0.2256,0.0614,0.8017,1.6547,0.6727,0.1667,0.4994
17,0.2256,0.8807,0.2256,0.0614,0.8018,1.6548,0.6685,0.1667,0.488
18,0.2256,0.8803,0.2256,0.0614,0.8019,1.6549,0.6664,0.1667,0.4851
19,0.2256,0.8802,0.2256,0.0614,0.8018,1.6548,0.667,0.1667,0.4781
20,0.2256,0.8814,0.2256,0.0614,0.8019,1.6553,0.6681,0.1667,0.4799
21,0.2256,0.8813,0.2256,0.0614,0.8017,1.655,0.6638,0.1667,0.479
22,0.2256,0.8829,0.2256,0.0614,0.8016,1.6546,0.6695,0.1667,0.4748
23,0.2256,0.883,0.2256,0.0614,0.8017,1.6548,0.6716,0.1667,0.4722
24,0.2256,0.8822,0.2256,0.0614,0.8015,1.6542,0.6692,0.1667,0.4639
25,0.2256,0.883,0.2256,0.0614,0.8014,1.6538,0.6723,0.1667,0.4552
26,0.2256,0.8849,0.2256,0.0614,0.8016,1.6543,0.676,0.1667,0.4519
27,0.2256,0.8832,0.2256,0.0614,0.8015,1.6541,0.6757,0.1667,0.4457
28,0.2256,0.8827,0.2256,0.0614,0.8013,1.6534,0.675,0.1667,0.4455
29,0.2256,0.8833,0.2256,0.0614,0.8012,1.6531,0.678,0.1667,0.4416
30,0.2256,0.8832,0.2256,0.0614,0.8012,1.6532,0.6797,0.1667,0.4349
31,0.2256,0.8819,0.2256,0.0614,0.8012,1.6532,0.6759,0.1667,0.4379
32,0.2256,0.8822,0.2256,0.0614,0.8013,1.6532,0.6739,0.1667,0.4393
33,0.2256,0.8836,0.2256,0.0614,0.8012,1.653,0.6767,0.1667,0.4341
34,0.2256,0.885,0.2256,0.0614,0.8012,1.6531,0.6803,0.1667,0.4287
35,0.2256,0.8848,0.2256,0.0614,0.8012,1.6532,0.6789,0.1667,0.4238
36,0.2256,0.885,0.2256,0.0614,0.8012,1.6533,0.6803,0.1667,0.4111
37,0.285,0.885,0.285,0.136,0.8014,1.6538,0.6789,0.2124,0.4073
38,0.2161,0.8852,0.2161,0.0592,0.8014,1.6536,0.6781,0.1667,0.4063
39,0.2161,0.8862,0.2161,0.0592,0.8015,1.6538,0.6791,0.1667,0.4038
40,0.2161,0.8866,0.2161,0.0592,0.8013,1.6534,0.6801,0.1667,0.4004
41,0.2161,0.8843,0.2161,0.0592,0.8012,1.6532,0.6763,0.1667,0.3997
42,0.2161,0.8851,0.2161,0.0592,0.8012,1.6531,0.6765,0.1667,0.397
43,0.2161,0.8856,0.2161,0.0592,0.8012,1.6531,0.6778,0.1667,0.3938
44,0.2161,0.8858,0.2161,0.0592,0.8012,1.653,0.6748,0.1667,0.3872
45,0.3393,0.887,0.3393,0.1559,0.8012,1.6532,0.6768,0.2574,0.3781
46,0.3533,0.8884,0.3533,0.1706,0.8012,1.653,0.6792,0.2672,0.3743
47,0.3527,0.8882,0.3527,0.1699,0.801,1.6527,0.6856,0.2668,0.3683
