step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.7219,0.2256,0.0614,0.811,2.1783,0.4052,0.1667,0.0128
1,0.2184,0.765,0.2184,0.0597,0.822,2.2062,0.479,0.1667,0.0152
2,0.2184,0.7875,0.2184,0.0597,0.8067,2.1689,0.5152,0.1667,0.0151
3,0.2184,0.7972,0.2184,0.0597,0.8017,2.1562,0.5359,0.1667,0.0119
4,0.2184,0.8502,0.2184,0.0597,0.8028,1.6666,0.5574,0.1667,0.0106
5,0.2184,0.8795,0.2184,0.0597,0.8015,1.6583,0.6883,0.1667,0.0123
6,0.2184,0.8755,0.2184,0.0597,0.8017,1.6602,0.6795,0.1667,0.016
7,0.2184,0.8723,0.2184,0.0597,0.8012,1.6566,0.6101,0.1667,0.0129
8,0.2256,0.8811,0.2256,0.0614,0.8011,1.6574,0.6273,0.1667,0.0111
9,0.2256,0.8848,0.2256,0.0614,0.801,1.6581,0.6292,0.1667,0.0114
10,0.2928,0.885,0.2928,0.1446,0.8011,1.6595,0.6293,0.2184,0.0115
11,0.2256,0.8844,0.2256,0.0614,0.8013,1.6608,0.632,0.1667,0.0139
12,0.2256,0.8828,0.2256,0.0614,0.8009,1.6545,0.6755,0.1667,0.0146
13,0.2256,0.8841,0.2256,0.0614,0.801,1.6553,0.6788,0.1667,0.0114
14,0.2256,0.8805,0.2256,0.0614,0.8011,1.6561,0.6771,0.1667,0.0113
15,0.2256,0.8839,0.2256,0.0614,0.801,1.6553,0.686,0.1667,0.0131
16,0.2256,0.8848,0.2256,0.0614,0.8012,1.655,0.6925,0.1667,0.0101
17,0.2256,0.887,0.2256,0.0614,0.8012,1.6555,0.6911,0.1667,0.0089
18,0.2256,0.8874,0.2256,0.0614,0.8011,1.6555,0.6932,0.1667,0.0108
19,0.2256,0.889,0.2256,0.0614,0.801,1.6556,0.6959,0.1667,0.0098
20,0.2256,0.8912,0.2256,0.0614,0.8008,1.6548,0.6983,0.1667,0.0083
21,0.2256,0.8882,0.2256,0.0614,0.8008,1.6543,0.6882,0.1667,0.0094
22,0.4082,0.8911,0.4082,0.2437,0.8007,1.6533,0.7091,0.311,0.0076
23,0.2256,0.8902,0.2256,0.0614,0.8007,1.6526,0.7035,0.1667,0.0096
24,0.2632,0.8945,0.2632,0.1125,0.8007,1.6529,0.7079,0.1953,0.009
25,0.3091,0.894,0.3091,0.1547,0.8007,1.6527,0.6954,0.2311,0.0109
26,0.2676,0.8922,0.2676,0.1174,0.8007,1.6526,0.6776,0.2024,0.0091
27,0.2256,0.8902,0.2256,0.0614,0.8007,1.6524,0.6795,0.1667,0.0093
28,0.294,0.8908,0.294,0.1361,0.8007,1.6527,0.6795,0.2212,0.0131
29,0.2699,0.8897,0.2699,0.1185,0.8007,1.6524,0.6673,0.2041,0.0142
30,0.2693,0.8902,0.2693,0.1183,0.8007,1.6525,0.668,0.2037,0.0102
31,0.4149,0.8906,0.4149,0.2702,0.8007,1.6526,0.6672,0.3128,0.0109
32,0.2256,0.8918,0.2256,0.0614,0.8007,1.6527,0.6689,0.1667,0.0135
33,0.2256,0.8944,0.2256,0.0614,0.8007,1.6524,0.6978,0.1667,0.0102
34,0.2256,0.8944,0.2256,0.0614,0.8007,1.6525,0.698,0.1667,0.0094
35,0.2256,0.8945,0.2256,0.0614,0.8007,1.6525,0.6987,0.1667,0.0087
36,0.2256,0.8945,0.2256,0.0614,0.8007,1.6524,0.6983,0.1667,0.0102
37,0.2256,0.8945,0.2256,0.0614,0.8007,1.6525,0.6979,0.1667,0.0104
38,0.2256,0.8941,0.2256,0.0614,0.8007,1.6527,0.698,0.1667,0.0115
39,0.2256,0.8955,0.2256,0.0614,0.8007,1.6528,0.6999,0.1667,0.0128
40,0.2256,0.895,0.2256,0.0614,0.8008,1.6526,0.6837,0.1667,0.0104
41,0.2256,0.8957,0.2256,0.0614,0.8007,1.6524,0.6826,0.1667,0.011
42,0.2256,0.8968,0.2256,0.0614,0.8007,1.6522,0.6864,0.1667,0.0113
43,0.2256,0.8964,0.2256,0.0614,0.8007,1.6523,0.6864,0.1667,0.0093
44,0.2256,0.8985,0.2256,0.0614,0.8007,1.6523,0.6896,0.1667,0.0115
45,0.2256,0.8978,0.2256,0.0614,0.8007,1.6523,0.6898,0.1667,0.0122
46,0.2256,0.8986,0.2256,0.0614,0.8007,1.6523,0.691,0.1667,0.0105
47,0.2256,0.8995,0.2256,0.0614,0.8008,1.6524,0.6931,0.1667,0.0125
48,0.2256,0.8998,0.2256,0.0614,0.8007,1.6524,0.6934,0.1667,0.0111
49,0.2256,0.9,0.2256,0.0614,0.8007,1.6525,0.693,0.1667,0.0092
50,0.2256,0.9004,0.2256,0.0614,0.8007,1.6525,0.6977,0.1667,0.0133
51,0.2256,0.8997,0.2256,0.0614,0.8007,1.6523,0.7044,0.1667,0.0111
52,0.2256,0.9,0.2256,0.0614,0.8007,1.6521,0.7143,0.1667,0.0106
53,0.2256,0.9002,0.2256,0.0614,0.8007,1.652,0.716,0.1667,0.0071
54,0.2256,0.8996,0.2256,0.0614,0.8007,1.6521,0.7107,0.1667,0.0081
55,0.2256,0.9002,0.2256,0.0614,0.8007,1.6521,0.7097,0.1667,0.0074
56,0.2256,0.8998,0.2256,0.0614,0.8007,1.6521,0.7042,0.1667,0.0085
57,0.2256,0.8999,0.2256,0.0614,0.8007,1.6522,0.7062,0.1667,0.0077
58,0.2256,0.8993,0.2256,0.0614,0.8007,1.6521,0.6956,0.1667,0.0079
59,0.2256,0.8996,0.2256,0.0614,0.8007,1.6521,0.6973,0.1667,0.0072
