step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.5,0.2256,0.0614,1.5487,27.9106,0.1667,0.1667,0.7028
1,0.2934,0.5458,0.2934,0.1388,1.0566,20.4252,0.2113,0.2217,0.2915
2,0.3259,0.5894,0.3259,0.2082,0.9241,14.675,0.2484,0.2647,0.3029
3,0.1697,0.5897,0.1697,0.0483,0.9819,14.7324,0.2516,0.1667,0.2985
4,0.1697,0.6076,0.1697,0.0483,0.8777,7.3486,0.2737,0.1667,0.3389
5,0.1697,0.623,0.1697,0.0483,0.9411,7.4311,0.2903,0.1667,0.3618
6,0.1697,0.6485,0.1697,0.0483,0.906,7.403,0.3234,0.1667,0.3171
7,0.1697,0.6386,0.1697,0.0483,0.8768,7.3643,0.3195,0.1667,0.2723
8,0.3068,0.6472,0.3068,0.1463,0.8765,7.3748,0.3319,0.2629,0.3373
9,0.2161,0.6458,0.2161,0.0592,0.8903,7.4006,0.328,0.1667,0.3195
10,0.3287,0.6515,0.3287,0.1561,0.9024,7.4312,0.3514,0.2795,0.3258
11,0.2161,0.661,0.2161,0.0592,0.9136,7.4551,0.3617,0.1667,0.4057
12,0.2161,0.7009,0.2161,0.0592,0.9009,6.9778,0.3677,0.1667,0.3744
13,0.2161,0.6863,0.2161,0.0592,0.9149,7.0013,0.35,0.1667,0.3736
14,0.2161,0.7226,0.2161,0.0592,0.8858,1.9256,0.3851,0.1667,0.385
15,0.2161,0.7253,0.2161,0.0592,0.8686,1.898,0.3958,0.1667,0.3714
16,0.2161,0.7678,0.2161,0.0592,0.8709,1.9476,0.4707,0.1667,0.386
17,0.2161,0.7826,0.2161,0.0592,0.8579,1.8982,0.4896,0.1667,0.4729
18,0.2161,0.7816,0.2161,0.0592,0.8679,1.9191,0.4864,0.1667,0.4207
19,0.2161,0.7852,0.2161,0.0592,0.8584,1.9052,0.5047,0.1667,0.5341
20,0.2161,0.7987,0.2161,0.0592,0.8591,1.9162,0.5295,0.1667,0.4725
21,0.2161,0.7964,0.2161,0.0592,0.8668,1.9333,0.5126,0.1667,0.5095
22,0.2161,0.7981,0.2161,0.0592,0.8588,1.9156,0.5181,0.1667,0.4257
23,0.2161,0.8094,0.2161,0.0592,0.855,1.9141,0.5363,0.1667,0.5057
24,0.2161,0.801,0.2161,0.0592,0.8621,1.9291,0.5138,0.1667,0.5162
25,0.2161,0.8325,0.2161,0.0592,0.8464,1.8167,0.5564,0.1667,0.537
26,0.2161,0.8172,0.2161,0.0592,0.8354,1.7676,0.5237,0.1667,0.5421
27,0.2161,0.8328,0.2161,0.0592,0.836,1.773,0.5529,0.1667,0.5136
28,0.2161,0.835,0.2161,0.0592,0.8424,1.7853,0.5594,0.1667,0.665
29,0.2161,0.8547,0.2161,0.0592,0.8337,1.7557,0.5965,0.1667,0.5578
30,0.2161,0.8563,0.2161,0.0592,0.832,1.7543,0.6037,0.1667,0.6317
31,0.2161,0.8539,0.2161,0.0592,0.8331,1.7599,0.5964,0.1667,0.5332
32,0.2161,0.8512,0.2161,0.0592,0.833,1.7629,0.5879,0.1667,0.5717
33,0.2161,0.8558,0.2161,0.0592,0.8269,1.7438,0.5942,0.1667,0.5067
34,0.2161,0.858,0.2161,0.0592,0.8289,1.7502,0.6057,0.1667,0.513
35,0.2161,0.8597,0.2161,0.0592,0.8298,1.7548,0.6066,0.1667,0.5224
36,0.2161,0.8625,0.2161,0.0592,0.8253,1.7423,0.6065,0.1667,0.5079
37,0.2161,0.8664,0.2161,0.0592,0.8279,1.7483,0.6152,0.1667,0.5518
38,0.2161,0.8713,0.2161,0.0592,0.8216,1.7236,0.6225,0.1667,0.5179
39,0.2161,0.8642,0.2161,0.0592,0.823,1.7285,0.6079,0.1667,0.5326
40,0.2161,0.8654,0.2161,0.0592,0.8244,1.7332,0.6136,0.1667,0.5396
41,0.2161,0.8657,0.2161,0.0592,0.8267,1.7395,0.6101,0.1667,0.6364
42,0.2161,0.8527,0.2161,0.0592,0.8232,1.7296,0.5947,0.1667,0.6884
43,0.2161,0.8609,0.2161,0.0592,0.8206,1.7234,0.6062,0.1667,0.6828
44,0.2161,0.8685,0.2161,0.0592,0.8219,1.7277,0.6229,0.1667,0.7416
45,0.2161,0.8659,0.2161,0.0592,0.817,1.7085,0.6153,0.1667,0.6777
46,0.2161,0.8686,0.2161,0.0592,0.819,1.714,0.6195,0.1667,0.8034
47,0.2161,0.8642,0.2161,0.0592,0.8171,1.7093,0.6094,0.1667,0.7568
48,0.3533,0.8616,0.3533,0.176,0.8187,1.7136,0.6028,0.3053,0.804
49,0.3533,0.8632,0.3533,0.176,0.8147,1.6991,0.6042,0.3053,0.9184
50,0.3533,0.8628,0.3533,0.176,0.8116,1.6888,0.6038,0.3053,0.7276
51,0.3533,0.8666,0.3533,0.176,0.8093,1.6816,0.6072,0.3053,0.8289
52,0.3533,0.8688,0.3533,0.176,0.8076,1.6769,0.6092,0.3053,0.8222
53,0.2161,0.8636,0.2161,0.0592,0.8076,1.6767,0.5986,0.1667,0.78
54,0.2161,0.8635,0.2161,0.0592,0.806,1.672,0.5994,0.1667,0.8691
55,0.2161,0.8651,0.2161,0.0592,0.805,1.6691,0.5968,0.1667,0.8719
56,0.2161,0.8673,0.2161,0.0592,0.8037,1.6653,0.5976,0.1667,0.8967
57,0.3589,0.8663,0.3589,0.1692,0.8032,1.6636,0.5904,0.2752,0.9204
58,0.4658,0.8692,0.4658,0.2978,0.8042,1.6659,0.602,0.3848,0.933
59,0.4658,0.8694,0.4658,0.2978,0.8051,1.6681,0.6022,0.3848,0.8914
