step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4462,0.7473,0.4462,0.3018,0.738,1.5851,0.4047,0.3677,2.4182
1,0.5459,0.8079,0.5459,0.4414,0.6669,1.363,0.4849,0.4473,2.5384
2,0.5409,0.8115,0.5409,0.4463,0.6483,1.4254,0.546,0.4444,2.5296
3,0.5297,0.8482,0.5297,0.4362,0.6413,1.3336,0.5824,0.4352,2.6198
4,0.5834,0.8703,0.5834,0.4829,0.6288,1.2539,0.5984,0.4837,2.6717
5,0.603,0.8773,0.603,0.5114,0.6243,1.2449,0.6386,0.5028,2.7353
6,0.6366,0.8941,0.6366,0.542,0.6078,1.2103,0.654,0.5359,2.7872
7,0.6338,0.9041,0.6338,0.5416,0.6026,1.2002,0.7122,0.5302,2.879
8,0.6579,0.9043,0.6579,0.5627,0.5895,1.1746,0.6927,0.5544,2.9425
9,0.6585,0.9081,0.6585,0.5626,0.5862,1.1677,0.7227,0.5534,2.978
10,0.6607,0.912,0.6607,0.5629,0.5803,1.1565,0.7125,0.5539,3.0098
11,0.6652,0.9194,0.6652,0.566,0.5736,1.1396,0.7354,0.5567,3.1874
12,0.6764,0.9139,0.6764,0.5782,0.5729,1.1429,0.7131,0.5695,3.3046
13,0.6652,0.9049,0.6652,0.5667,0.5697,1.1573,0.7061,0.5582,3.3333
14,0.673,0.9029,0.673,0.5748,0.5648,1.1458,0.7352,0.5654,3.4808
15,0.6758,0.9122,0.6758,0.5755,0.5634,1.1588,0.7441,0.567,3.4383
16,0.6993,0.9201,0.6993,0.6064,0.5554,1.108,0.7461,0.5932,3.6192
17,0.682,0.9148,0.682,0.582,0.5584,1.132,0.7369,0.5755,3.6612
18,0.696,0.9176,0.696,0.5925,0.555,1.1076,0.7186,0.5841,3.7404
19,0.6764,0.9118,0.6764,0.5768,0.5542,1.1087,0.7263,0.5688,3.8154
20,0.6892,0.9199,0.6892,0.5855,0.5515,1.1025,0.7376,0.5799,3.9753
21,0.7116,0.9246,0.7116,0.6046,0.5474,1.0958,0.7593,0.5998,4.0057
22,0.6965,0.9227,0.6965,0.5921,0.5458,1.0929,0.7286,0.5862,4.1703
23,0.7161,0.9256,0.7161,0.6097,0.5454,1.0895,0.7625,0.6058,4.3112
24,0.7088,0.9294,0.7088,0.6119,0.5398,1.0789,0.7838,0.6017,4.2805
25,0.6988,0.9253,0.6988,0.5941,0.5409,1.0824,0.759,0.5889,4.4045
26,0.7167,0.9248,0.7167,0.6287,0.5372,1.0923,0.76,0.6141,4.5925
27,0.706,0.9301,0.706,0.6089,0.5362,1.0715,0.786,0.6006,4.6772
28,0.7195,0.9326,0.7195,0.6138,0.5318,1.0634,0.7793,0.6088,4.7357
29,0.696,0.9288,0.696,0.6126,0.5353,1.0709,0.781,0.5977,4.8246
30,0.6976,0.929,0.6976,0.6067,0.5327,1.063,0.7813,0.5961,4.7821
31,0.7251,0.9334,0.7251,0.6297,0.5253,1.0503,0.808,0.6189,5.1008
32,0.7083,0.9333,0.7083,0.6254,0.5297,1.0561,0.7989,0.6092,5.1724
33,0.7088,0.9338,0.7088,0.6047,0.5271,1.0536,0.7895,0.5997,5.2522
34,0.7195,0.9294,0.7195,0.6138,0.5241,1.0495,0.7887,0.609,5.3165
35,0.7217,0.9321,0.7217,0.6133,0.5223,1.046,0.7891,0.6093,5.4643
36,0.7156,0.9359,0.7156,0.6104,0.524,1.0492,0.791,0.6067,5.5675
37,0.7346,0.9338,0.7346,0.6249,0.52,1.044,0.7839,0.6237,5.621
38,0.7217,0.9332,0.7217,0.6241,0.5204,1.0441,0.8043,0.6152,5.7566
39,0.7296,0.9385,0.7296,0.6313,0.5144,1.0323,0.8076,0.622,5.9726
40,0.7156,0.935,0.7156,0.6104,0.5188,1.0387,0.7998,0.6068,5.9734
41,0.7284,0.935,0.7284,0.6401,0.5144,1.032,0.7966,0.6267,6.1205
42,0.7279,0.9399,0.7279,0.6306,0.5139,1.0302,0.8004,0.622,6.2138
43,0.7458,0.9377,0.7458,0.6438,0.5107,1.0239,0.7941,0.6369,6.1276
44,0.734,0.9391,0.734,0.6343,0.5099,1.0247,0.7992,0.6272,6.603
45,0.7424,0.9414,0.7424,0.6426,0.5088,1.0204,0.8153,0.6345,6.5137
46,0.7374,0.9423,0.7374,0.6371,0.5065,1.0166,0.7977,0.6293,6.3036
47,0.7424,0.9415,0.7424,0.6316,0.5063,1.015,0.8079,0.6282,6.3769
48,0.7346,0.9402,0.7346,0.6242,0.5068,1.0184,0.8061,0.6211,6.5404
49,0.7217,0.9405,0.7217,0.6241,0.5094,1.0219,0.8127,0.6153,6.8048
50,0.7402,0.9439,0.7402,0.6401,0.5019,1.0086,0.818,0.6326,6.6849
51,0.7363,0.9422,0.7363,0.6376,0.5031,1.0096,0.8201,0.6302,7.0166
52,0.7374,0.9421,0.7374,0.6586,0.5005,1.0057,0.8278,0.6422,6.7508
53,0.7436,0.9421,0.7436,0.6434,0.4984,1.003,0.81,0.6345,6.9179
54,0.7363,0.9414,0.7363,0.6564,0.5025,1.008,0.8091,0.6394,6.7592
55,0.7335,0.9402,0.7335,0.6337,0.4996,1.005,0.8097,0.626,7.1399
56,0.7452,0.9451,0.7452,0.6561,0.4975,0.999,0.8343,0.6427,7.3219
57,0.743,0.9439,0.743,0.6526,0.4928,0.993,0.8284,0.6376,7.405
58,0.738,0.9444,0.738,0.6586,0.4968,0.9984,0.8118,0.6414,7.6734
59,0.7464,0.9467,0.7464,0.6739,0.4947,0.9948,0.8292,0.6526,7.8567
