step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2256,0.5,0.2256,0.0614,1.5487,27.9106,0.1667,0.1667,0.1694
1,0.2312,0.5273,0.2312,0.0872,1.062,20.4244,0.1854,0.1775,0.2587
2,0.2256,0.4936,0.2256,0.0614,1.0918,20.4413,0.1668,0.1667,0.2603
3,0.2296,0.5312,0.2296,0.0764,0.9415,15.2171,0.1893,0.1709,0.2598
4,0.2284,0.5304,0.2284,0.0679,0.8664,7.8557,0.1899,0.1695,0.2447
5,0.2497,0.5401,0.2497,0.1202,0.8613,7.8616,0.2016,0.2086,0.262
6,0.182,0.5762,0.182,0.0849,0.8993,7.9184,0.2306,0.1829,0.2613
7,0.1585,0.567,0.1585,0.0597,0.9371,7.9802,0.2292,0.1671,0.2525
8,0.1904,0.5567,0.1904,0.1017,0.8872,7.9235,0.2226,0.1885,0.265
9,0.1842,0.5886,0.1842,0.0931,0.8399,2.2544,0.2433,0.1857,0.2684
10,0.2268,0.5697,0.2268,0.1115,0.8416,2.2777,0.239,0.2103,0.2658
11,0.1965,0.5817,0.1965,0.0963,0.8583,2.3111,0.2486,0.1923,0.2601
12,0.2223,0.5622,0.2223,0.1081,0.8651,2.3381,0.2285,0.2083,0.2714
13,0.2167,0.5547,0.2167,0.1136,0.8456,2.3092,0.2377,0.2033,0.2663
14,0.2262,0.5713,0.2262,0.1117,0.8544,2.315,0.2255,0.2078,0.2679
15,0.2486,0.593,0.2486,0.1353,0.8181,2.2036,0.2493,0.2264,0.2667
16,0.2077,0.6227,0.2077,0.1026,0.8253,2.2154,0.2873,0.2021,0.2682
17,0.2581,0.6033,0.2581,0.1247,0.8389,2.2616,0.267,0.2343,0.2707
18,0.2139,0.5852,0.2139,0.1094,0.8358,2.2442,0.2556,0.2015,0.2692
19,0.2368,0.5917,0.2368,0.1302,0.8141,2.1955,0.2583,0.2152,0.2724
20,0.2436,0.62,0.2436,0.1371,0.8093,2.1732,0.2814,0.2238,0.2687
21,0.2094,0.6254,0.2094,0.1207,0.8075,2.1705,0.2965,0.2027,0.2719
22,0.257,0.6402,0.257,0.1686,0.7937,2.1377,0.3089,0.2367,0.2784
23,0.2766,0.6229,0.2766,0.1939,0.7896,2.1298,0.292,0.2497,0.2781
