step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.262,0.6992,0.262,0.1522,0.7788,1.6148,0.3039,0.2031,5.9832
1,0.3779,0.7711,0.3779,0.2594,0.7255,1.4624,0.4133,0.2938,4.9609
2,0.4692,0.7485,0.4692,0.3477,0.717,1.5363,0.3998,0.3744,4.9315
3,0.4888,0.7862,0.4888,0.3769,0.6996,1.5212,0.4739,0.3934,5.1337
4,0.5174,0.8041,0.5174,0.3895,0.6794,1.5031,0.4921,0.4221,5.4755
5,0.5073,0.8112,0.5073,0.3889,0.6824,1.4153,0.4898,0.4099,5.5186
6,0.5011,0.8296,0.5011,0.3724,0.6735,1.3818,0.5166,0.4081,5.6651
7,0.5218,0.8368,0.5218,0.3968,0.6664,1.3827,0.5445,0.424,5.861
8,0.5325,0.8461,0.5325,0.4117,0.6528,1.354,0.5702,0.435,5.8789
9,0.5246,0.8469,0.5246,0.4066,0.649,1.3449,0.5575,0.4246,6.2032
10,0.551,0.8507,0.551,0.4332,0.6413,1.3138,0.5622,0.4469,6.3239
11,0.5571,0.8672,0.5571,0.4474,0.6372,1.2984,0.5945,0.4529,6.0919
12,0.5974,0.8736,0.5974,0.4767,0.6303,1.2829,0.6258,0.4872,6.4418
13,0.5862,0.8846,0.5862,0.4799,0.619,1.2551,0.6144,0.4805,6.7589
14,0.6025,0.8901,0.6025,0.4754,0.6213,1.2452,0.6201,0.4888,6.88
15,0.5812,0.8776,0.5812,0.4755,0.6171,1.2713,0.628,0.4752,7.0811
16,0.5974,0.8737,0.5974,0.4826,0.6149,1.2858,0.6247,0.4881,6.8574
17,0.5957,0.8826,0.5957,0.4931,0.606,1.2633,0.6512,0.4883,7.0724
18,0.6013,0.854,0.6013,0.493,0.6077,1.3955,0.6234,0.4929,6.0634
19,0.6277,0.8891,0.6277,0.5156,0.5986,1.219,0.6496,0.5166,6.3427
20,0.6333,0.8985,0.6333,0.5207,0.5992,1.215,0.6722,0.5223,6.2812
21,0.6349,0.8905,0.6349,0.5235,0.5908,1.2075,0.6521,0.5238,6.7314
22,0.6428,0.8889,0.6428,0.5341,0.5911,1.2194,0.6493,0.5325,6.5383
23,0.6433,0.8952,0.6433,0.5355,0.5889,1.1989,0.6559,0.5328,6.5323
24,0.6517,0.9024,0.6517,0.5464,0.5823,1.1844,0.6601,0.54,6.5905
25,0.6669,0.8929,0.6669,0.5574,0.5786,1.2486,0.6578,0.5544,6.7185
