step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2301,0.7582,0.2301,0.1458,0.7821,1.5968,0.4353,0.2193,1.1877
1,0.5006,0.7914,0.5006,0.4106,0.6714,1.3844,0.5113,0.4218,0.5043
2,0.5543,0.8436,0.5543,0.4777,0.6433,1.2981,0.5655,0.469,0.5009
3,0.5845,0.8588,0.5845,0.5115,0.6163,1.2386,0.5981,0.497,0.5026
4,0.6114,0.8598,0.6114,0.5357,0.6101,1.2464,0.6063,0.5197,0.5017
5,0.6081,0.8739,0.6081,0.521,0.6073,1.224,0.6128,0.5123,0.491
6,0.6338,0.8738,0.6338,0.5534,0.5912,1.1919,0.6201,0.5437,0.4939
7,0.6142,0.873,0.6142,0.5371,0.5948,1.1979,0.6167,0.5222,0.49
8,0.6204,0.8818,0.6204,0.5382,0.5858,1.1802,0.6439,0.5256,0.4902
9,0.6428,0.89,0.6428,0.5587,0.5767,1.1613,0.6614,0.5481,0.4817
10,0.6366,0.8852,0.6366,0.5493,0.5733,1.1588,0.6411,0.5417,0.4912
11,0.6629,0.8967,0.6629,0.5613,0.5695,1.1649,0.6633,0.5606,0.4733
12,0.6495,0.8979,0.6495,0.5617,0.5681,1.1435,0.6624,0.5542,0.4757
13,0.6719,0.898,0.6719,0.5809,0.5652,1.1397,0.6573,0.576,0.4703
14,0.6652,0.8952,0.6652,0.5739,0.5609,1.1475,0.6812,0.5671,0.4651
15,0.6697,0.897,0.6697,0.5768,0.5546,1.1532,0.6805,0.5711,0.4646
16,0.6624,0.8954,0.6624,0.5716,0.5651,1.1547,0.6679,0.5645,0.4577
17,0.668,0.9141,0.668,0.588,0.5545,1.1136,0.7085,0.5748,0.4559
18,0.6825,0.9004,0.6825,0.5895,0.5521,1.129,0.6933,0.5821,0.4534
19,0.692,0.9191,0.692,0.6077,0.5422,1.0867,0.7155,0.5958,0.4378
20,0.6842,0.9182,0.6842,0.593,0.5448,1.0954,0.7099,0.5845,0.4324
21,0.6965,0.907,0.6965,0.602,0.5428,1.1266,0.6961,0.5923,0.4277
22,0.6915,0.9127,0.6915,0.5899,0.5444,1.0922,0.7034,0.586,0.4229
23,0.6915,0.912,0.6915,0.5976,0.5366,1.0946,0.7367,0.5904,0.4174
24,0.692,0.9085,0.692,0.5985,0.5378,1.0843,0.7143,0.5931,0.414
