step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4748,0.718,0.4748,0.3641,0.7027,1.9484,0.4174,0.3943,1.9916
1,0.4804,0.7795,0.4804,0.3817,0.6887,1.4269,0.448,0.3863,2.2187
2,0.5297,0.8246,0.5297,0.4355,0.6792,1.3662,0.4942,0.4367,2.049
3,0.5442,0.8506,0.5442,0.4467,0.67,1.3392,0.5524,0.4469,2.3532
4,0.5549,0.8347,0.5549,0.4501,0.6601,1.3619,0.533,0.4524,2.1835
5,0.5476,0.8324,0.5476,0.455,0.6637,1.3464,0.5371,0.4471,2.5203
6,0.5459,0.8553,0.5459,0.4497,0.6527,1.3209,0.5618,0.4432,2.6403
7,0.5504,0.846,0.5504,0.4519,0.6437,1.3118,0.5679,0.4498,2.4904
8,0.5409,0.8558,0.5409,0.4378,0.6409,1.3031,0.5704,0.4416,2.8516
9,0.5784,0.8486,0.5784,0.48,0.6381,1.3321,0.5602,0.4757,2.751
10,0.5711,0.8777,0.5711,0.4779,0.6348,1.2646,0.6167,0.4703,3.0412
11,0.5918,0.8582,0.5918,0.4948,0.6283,1.3103,0.6015,0.4872,2.9493
12,0.5957,0.8821,0.5957,0.4918,0.6233,1.2471,0.6131,0.4896,3.2695
13,0.626,0.8722,0.626,0.5229,0.6137,1.2839,0.6354,0.5165,3.0931
14,0.6221,0.8771,0.6221,0.5213,0.6148,1.2488,0.6292,0.5158,3.5014
15,0.6092,0.8881,0.6092,0.5172,0.6091,1.2202,0.661,0.5093,3.381
16,0.626,0.8648,0.626,0.5348,0.6089,1.327,0.6354,0.5246,3.5524
17,0.6193,0.877,0.6193,0.5282,0.6071,1.2514,0.6341,0.5192,3.7094
18,0.6321,0.8769,0.6321,0.5427,0.5999,1.2572,0.6486,0.5332,3.9364
19,0.631,0.8926,0.631,0.5415,0.6014,1.2171,0.669,0.5295,3.8864
20,0.6383,0.896,0.6383,0.5467,0.6021,1.217,0.6838,0.5365,3.9623
21,0.6405,0.8978,0.6405,0.5512,0.5915,1.1988,0.6671,0.5384,4.3843
22,0.6277,0.8881,0.6277,0.5356,0.5943,1.2227,0.6631,0.526,4.1526
23,0.6277,0.8903,0.6277,0.5355,0.5949,1.2248,0.6616,0.5249,4.2549
24,0.6529,0.8896,0.6529,0.5614,0.5832,1.2191,0.6716,0.5494,4.5326
25,0.6562,0.9063,0.6562,0.5644,0.5851,1.1667,0.6821,0.5527,4.6122
26,0.6484,0.9011,0.6484,0.5499,0.5826,1.1956,0.6821,0.5408,5.0511
27,0.6624,0.9056,0.6624,0.5703,0.5775,1.1545,0.6938,0.5564,4.7936
28,0.6467,0.8942,0.6467,0.5502,0.5819,1.1977,0.6797,0.5402,5.0699
29,0.6579,0.9042,0.6579,0.5538,0.5763,1.1851,0.6902,0.5476,5.1898
30,0.6551,0.9097,0.6551,0.5702,0.5714,1.1373,0.7214,0.5549,5.3787
31,0.6551,0.9094,0.6551,0.5672,0.5687,1.1349,0.7123,0.5547,5.6889
32,0.6691,0.9164,0.6691,0.5671,0.5635,1.1249,0.7196,0.5611,5.4885
33,0.6697,0.9092,0.6697,0.58,0.5671,1.1495,0.7008,0.5671,5.5604
34,0.6792,0.908,0.6792,0.5776,0.5616,1.1734,0.7313,0.5718,5.7628
35,0.6859,0.9181,0.6859,0.5912,0.5584,1.1155,0.7204,0.5806,5.8202
36,0.682,0.909,0.682,0.5799,0.559,1.1393,0.6993,0.5726,5.9338
