step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4826,0.7367,0.4826,0.3313,0.7028,1.9707,0.4311,0.3907,0.0113
1,0.5006,0.7731,0.5006,0.3701,0.6659,1.6,0.4874,0.4043,0.0098
2,0.556,0.8327,0.556,0.453,0.64,1.2932,0.5429,0.46,0.0081
3,0.5784,0.8599,0.5784,0.4701,0.6299,1.2703,0.5706,0.4787,0.0082
4,0.6075,0.8504,0.6075,0.5051,0.6164,1.2586,0.5815,0.5039,0.0086
5,0.6282,0.884,0.6282,0.5279,0.6039,1.2069,0.613,0.5263,0.0082
6,0.6523,0.9004,0.6523,0.553,0.5898,1.1805,0.6752,0.5486,0.0079
7,0.6523,0.9027,0.6523,0.5537,0.5908,1.1847,0.7073,0.5499,0.0087
8,0.6685,0.9052,0.6685,0.5658,0.5797,1.1618,0.7138,0.5646,0.0096
9,0.6624,0.9105,0.6624,0.5737,0.5754,1.1495,0.722,0.5655,0.0078
10,0.6825,0.9114,0.6825,0.5821,0.5689,1.1397,0.7144,0.5785,0.0073
11,0.6898,0.9091,0.6898,0.5849,0.5617,1.1266,0.7269,0.5835,0.0078
12,0.6892,0.9174,0.6892,0.5841,0.5529,1.1079,0.7446,0.582,0.0077
13,0.6926,0.9183,0.6926,0.5981,0.5538,1.1108,0.7283,0.5916,0.0075
14,0.6909,0.922,0.6909,0.5853,0.5495,1.1001,0.7375,0.5835,0.0089
15,0.7049,0.924,0.7049,0.6093,0.5402,1.0824,0.7638,0.6008,0.0079
16,0.6954,0.9172,0.6954,0.59,0.5407,1.1045,0.756,0.5876,0.0081
17,0.7083,0.9217,0.7083,0.6225,0.5383,1.0801,0.7464,0.6109,0.0076
18,0.7016,0.9237,0.7016,0.6159,0.538,1.0774,0.7587,0.6052,0.0076
19,0.7055,0.9267,0.7055,0.6299,0.5357,1.0739,0.7511,0.614,0.0093
20,0.7122,0.9273,0.7122,0.6145,0.5314,1.0682,0.7509,0.6106,0.0072
21,0.7083,0.9265,0.7083,0.6215,0.5323,1.067,0.7645,0.611,0.0073
