step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5594,0.8531,0.5594,0.4581,0.6717,1.3822,0.5821,0.489,7.4968
1,0.5907,0.8727,0.5907,0.4883,0.6394,1.2995,0.6202,0.5225,8.1591
2,0.5946,0.8708,0.5946,0.4984,0.6233,1.258,0.6219,0.5082,8.7295
3,0.5963,0.8668,0.5963,0.5011,0.6128,1.2554,0.6084,0.5076,9.7878
4,0.6159,0.8852,0.6159,0.5185,0.5981,1.2043,0.6393,0.5261,11.0899
5,0.6344,0.888,0.6344,0.5486,0.5929,1.2035,0.6648,0.5408,11.7529
6,0.6349,0.901,0.6349,0.5372,0.5855,1.1717,0.6871,0.5375,12.6731
7,0.6461,0.9075,0.6461,0.547,0.579,1.1592,0.6907,0.5479,13.659
8,0.6411,0.9082,0.6411,0.5425,0.5733,1.148,0.7032,0.5473,71.5824
9,0.6394,0.9076,0.6394,0.5385,0.5706,1.1453,0.7013,0.5468,104.9488
10,0.6585,0.9088,0.6585,0.5879,0.5672,1.1355,0.7047,0.5778,17.7987
11,0.6467,0.9153,0.6467,0.5706,0.5603,1.1232,0.7118,0.559,17.7495
12,0.6568,0.9094,0.6568,0.5754,0.557,1.119,0.7266,0.5694,19.2084
13,0.6613,0.9119,0.6613,0.5695,0.5539,1.1141,0.7155,0.5682,19.3585
14,0.6501,0.9165,0.6501,0.5491,0.5549,1.1144,0.7261,0.5519,20.4296
15,0.6629,0.9191,0.6629,0.5623,0.5529,1.106,0.7452,0.5644,21.1762
16,0.6596,0.9193,0.6596,0.5599,0.5481,1.1002,0.7352,0.5583,22.3718
17,0.6713,0.9164,0.6713,0.5834,0.5471,1.0944,0.7259,0.5743,23.0468
18,0.673,0.9211,0.673,0.5731,0.5422,1.0886,0.7365,0.5721,29.2056
19,0.6909,0.9208,0.6909,0.5998,0.5371,1.0787,0.726,0.5941,27.4234
20,0.6814,0.921,0.6814,0.5903,0.5401,1.0841,0.7334,0.585,28.9288
21,0.6982,0.9242,0.6982,0.6015,0.5397,1.0821,0.7415,0.5967,37.1013
22,0.6932,0.9246,0.6932,0.5989,0.532,1.0699,0.7461,0.5937,42.5179
23,0.6915,0.9247,0.6915,0.5973,0.5362,1.0769,0.7448,0.5925,32.4225
24,0.6926,0.9247,0.6926,0.598,0.5358,1.0751,0.758,0.5947,29.6226
25,0.6982,0.9222,0.6982,0.5905,0.5318,1.0698,0.7452,0.5907,30.4465
26,0.6786,0.9265,0.6786,0.5782,0.5313,1.0666,0.7306,0.5772,34.7692
27,0.6932,0.9265,0.6932,0.5993,0.531,1.0664,0.7469,0.5942,28.869
28,0.6937,0.9282,0.6937,0.6009,0.5257,1.0563,0.7562,0.5955,28.8371
29,0.6965,0.9281,0.6965,0.5914,0.5278,1.0585,0.7634,0.5916,42.1083
30,0.6971,0.9264,0.6971,0.6239,0.5297,1.0619,0.7516,0.6078,31.5101
31,0.7027,0.9244,0.7027,0.6276,0.5249,1.055,0.757,0.6122,119.3009
32,0.7077,0.9252,0.7077,0.6327,0.5241,1.0525,0.7499,0.617,34.2755
33,0.6943,0.931,0.6943,0.6005,0.5212,1.0445,0.769,0.5931,34.7243
34,0.6982,0.9292,0.6982,0.6031,0.5242,1.0532,0.7663,0.5969,35.452
35,0.7072,0.9327,0.7072,0.622,0.5213,1.0467,0.7671,0.6098,35.9382
36,0.6937,0.9308,0.6937,0.5997,0.5227,1.0497,0.7507,0.5934,37.8591
37,0.715,0.927,0.715,0.6061,0.5205,1.0474,0.7627,0.6056,40.0377
38,0.7049,0.9285,0.7049,0.6091,0.5222,1.0481,0.752,0.6021,39.37
39,0.6999,0.9257,0.6999,0.5952,0.5219,1.0484,0.7633,0.5929,41.5827
40,0.7066,0.9325,0.7066,0.6108,0.5177,1.0391,0.7704,0.6037,42.3619
41,0.7049,0.9323,0.7049,0.5988,0.5185,1.0406,0.7617,0.5976,42.9371
42,0.7133,0.9347,0.7133,0.6169,0.5166,1.037,0.7871,0.6092,45.2864
43,0.7133,0.9349,0.7133,0.6169,0.5134,1.0315,0.7601,0.6096,44.3897
44,0.7083,0.9301,0.7083,0.6028,0.5164,1.0385,0.7453,0.6015,45.3611
45,0.7088,0.9363,0.7088,0.6216,0.5156,1.0325,0.7715,0.6102,46.7583
46,0.7094,0.9337,0.7094,0.6142,0.5113,1.0265,0.7766,0.6065,50.2921
47,0.701,0.933,0.701,0.6186,0.5121,1.0287,0.7702,0.6061,50.2126
48,0.7251,0.9323,0.7251,0.6366,0.5119,1.028,0.7562,0.625,52.354
49,0.7116,0.9338,0.7116,0.6152,0.5114,1.0271,0.7682,0.608,51.1092
50,0.7172,0.9334,0.7172,0.6377,0.5106,1.0275,0.7792,0.6223,51.4361
51,0.7094,0.9325,0.7094,0.6242,0.5107,1.0422,0.7773,0.6111,52.7266
52,0.7077,0.9378,0.7077,0.6243,0.5068,1.016,0.7829,0.6108,54.1862
53,0.7212,0.9366,0.7212,0.6241,0.5077,1.0187,0.7813,0.6164,55.1021
54,0.7105,0.9355,0.7105,0.6154,0.5071,1.017,0.7862,0.6075,53.4591
55,0.7083,0.9351,0.7083,0.622,0.508,1.0177,0.7794,0.6101,55.8499
56,0.7077,0.9339,0.7077,0.6019,0.5075,1.0203,0.7694,0.6,57.6879
57,0.7128,0.9352,0.7128,0.628,0.5071,1.0177,0.7687,0.6149,58.6417
