step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.2184,0.5,0.2184,0.0597,1.5633,28.173,0.1667,0.1667,0.0295
1,0.2195,0.4927,0.2195,0.0615,1.0811,20.3601,0.1641,0.1675,0.1642
2,0.2184,0.5239,0.2184,0.0597,1.1292,20.3828,0.1862,0.1667,0.1717
3,0.22,0.5394,0.22,0.0632,0.9254,13.0017,0.1972,0.1679,0.1715
4,0.294,0.5748,0.294,0.1365,0.9003,12.9791,0.2341,0.2252,0.1823
5,0.2716,0.5624,0.2716,0.1422,0.8414,7.3036,0.214,0.2106,0.1834
6,0.271,0.5781,0.271,0.1402,0.8191,7.2495,0.2305,0.2048,0.1883
7,0.2744,0.5785,0.2744,0.132,0.838,7.2758,0.2258,0.2053,0.2005
8,0.2945,0.5919,0.2945,0.1774,0.8252,7.2583,0.2425,0.2285,0.1936
9,0.2956,0.6164,0.2956,0.1756,0.787,2.1231,0.2604,0.2264,0.1971
10,0.3169,0.6185,0.3169,0.2008,0.7931,2.1471,0.2673,0.2578,0.2025
11,0.3443,0.6592,0.3443,0.2572,0.771,2.0891,0.3121,0.2907,0.2073
12,0.3477,0.6425,0.3477,0.2706,0.7767,2.1059,0.2901,0.309,0.2064
13,0.2996,0.6473,0.2996,0.2007,0.7862,2.1164,0.2878,0.2445,0.2064
14,0.3007,0.652,0.3007,0.2067,0.7791,2.0949,0.3043,0.2476,0.2133
15,0.2699,0.6595,0.2699,0.1628,0.7796,2.0869,0.3073,0.2119,0.2102
16,0.2951,0.6577,0.2951,0.1889,0.7844,2.113,0.31,0.2442,0.2105
17,0.2984,0.6624,0.2984,0.1974,0.7801,2.1011,0.3154,0.2462,0.2152
18,0.2973,0.687,0.2973,0.1736,0.7759,2.0876,0.3297,0.2451,0.2114
19,0.3001,0.6901,0.3001,0.1843,0.7792,1.6211,0.3373,0.2498,0.2155
20,0.3214,0.6735,0.3214,0.1981,0.7743,1.604,0.3374,0.2656,0.2186
21,0.3303,0.7039,0.3303,0.2311,0.7653,1.5721,0.3431,0.2719,0.2258
22,0.3337,0.6964,0.3337,0.2196,0.7693,1.6077,0.3391,0.2793,0.2262
23,0.3455,0.687,0.3455,0.223,0.7756,1.6314,0.3288,0.2803,0.2295
24,0.3393,0.7223,0.3393,0.221,0.7574,1.5628,0.3581,0.275,0.229
25,0.3415,0.6972,0.3415,0.2217,0.7627,1.6067,0.3326,0.2808,0.2316
26,0.3152,0.7258,0.3152,0.1999,0.7653,1.5825,0.3488,0.2513,0.2324
27,0.2906,0.7183,0.2906,0.1717,0.7774,1.6084,0.3508,0.2294,0.2399
28,0.2889,0.6869,0.2889,0.1764,0.7737,1.6,0.3241,0.2315,0.2376
29,0.3052,0.7144,0.3052,0.1949,0.7735,1.6084,0.3482,0.2532,0.2298
