step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.305,0.7782,0.305,0.1948,0.8506,9.8204,0.6023,0.305,0.7691
1,0.5381,0.8631,0.5381,0.4573,0.647,1.252,0.7231,0.5381,0.8936
2,0.7324,0.9106,0.7324,0.7292,0.5194,0.9747,0.7931,0.7324,0.8928
3,0.7704,0.9241,0.7704,0.77,0.4945,0.9403,0.8281,0.7704,0.8013
4,0.7444,0.9239,0.7444,0.7483,0.4895,0.9253,0.8238,0.7444,0.9402
5,0.7543,0.9305,0.7543,0.7572,0.4781,0.9057,0.8381,0.7543,0.9113
6,0.7444,0.9363,0.7444,0.7407,0.4764,0.9076,0.8523,0.7444,0.8658
7,0.7939,0.941,0.7939,0.7939,0.4488,0.862,0.8589,0.7939,0.9876
8,0.7828,0.9382,0.7828,0.7816,0.456,0.8759,0.8549,0.7828,0.8794
9,0.8055,0.9439,0.8055,0.8045,0.4369,0.845,0.8662,0.8055,0.8693
10,0.8154,0.948,0.8154,0.8155,0.4317,0.8344,0.8761,0.8154,1.0507
11,0.8223,0.9493,0.8223,0.8222,0.4257,0.8233,0.8753,0.8223,0.9926
12,0.8262,0.9517,0.8262,0.8251,0.4125,0.8032,0.8787,0.8262,0.999
13,0.8352,0.9529,0.8352,0.8352,0.4035,0.7877,0.8837,0.8352,1.0097
14,0.8383,0.9549,0.8383,0.8378,0.4035,0.787,0.8851,0.8383,0.9706
15,0.8372,0.9555,0.8372,0.8367,0.3945,0.7722,0.8864,0.8372,1.102
16,0.8318,0.9541,0.8318,0.831,0.3941,0.7715,0.8833,0.8318,1.0077
17,0.8299,0.9526,0.8299,0.8296,0.3965,0.7752,0.881,0.8299,0.9752
18,0.832,0.953,0.832,0.8317,0.3957,0.7728,0.8809,0.832,1.132
19,0.8354,0.9557,0.8354,0.8353,0.3851,0.7568,0.8889,0.8354,1.0441
20,0.8414,0.9564,0.8414,0.8413,0.3855,0.7562,0.8908,0.8414,1.2255
21,0.8375,0.9548,0.8375,0.8375,0.3907,0.7642,0.8859,0.8375,1.0447
22,0.8382,0.9564,0.8382,0.8385,0.3876,0.7585,0.8903,0.8382,1.1007
23,0.835,0.9552,0.835,0.8353,0.3824,0.7493,0.8885,0.835,1.0994
24,0.8431,0.9563,0.8431,0.8431,0.3811,0.7482,0.8897,0.8431,1.036
25,0.8381,0.9556,0.8381,0.8385,0.38,0.7453,0.888,0.8381,1.1314
26,0.8427,0.9577,0.8427,0.8426,0.3773,0.7416,0.8916,0.8427,1.1801
27,0.84,0.9569,0.84,0.8399,0.3801,0.7458,0.8887,0.84,1.3071
28,0.8457,0.9586,0.8457,0.846,0.3742,0.7372,0.8934,0.8457,1.2556
29,0.8461,0.959,0.8461,0.8465,0.3728,0.7332,0.894,0.8461,1.4519
30,0.844,0.9584,0.844,0.8443,0.3747,0.7363,0.8924,0.844,1.4371
31,0.8478,0.9598,0.8478,0.8479,0.3664,0.7244,0.8963,0.8478,1.1507
32,0.8485,0.9585,0.8485,0.8486,0.3719,0.7315,0.8923,0.8485,1.3063
33,0.8489,0.9604,0.8489,0.849,0.3687,0.7267,0.8974,0.8489,1.5872
34,0.8486,0.9603,0.8486,0.8485,0.3653,0.7225,0.8975,0.8486,1.7012
35,0.8512,0.9613,0.8512,0.8515,0.3646,0.7211,0.9008,0.8512,1.3082
36,0.8524,0.9605,0.8524,0.8522,0.3614,0.7179,0.8977,0.8524,1.7076
37,0.8519,0.9611,0.8519,0.8518,0.3577,0.7098,0.8988,0.8519,1.5775
38,0.855,0.962,0.855,0.8548,0.3547,0.7054,0.9017,0.855,1.4417
39,0.8542,0.9625,0.8542,0.8544,0.3529,0.7018,0.9019,0.8542,1.5268
40,0.8551,0.9626,0.8551,0.8553,0.3575,0.7097,0.9023,0.8551,1.2739
41,0.8514,0.9613,0.8514,0.8514,0.3521,0.699,0.8992,0.8514,1.4162
42,0.8538,0.9618,0.8538,0.8537,0.354,0.7037,0.9,0.8538,1.7363
43,0.8554,0.9625,0.8554,0.8552,0.3474,0.6912,0.9014,0.8554,1.4342
44,0.8564,0.9626,0.8564,0.8561,0.3465,0.691,0.9019,0.8564,1.4384
45,0.8592,0.9632,0.8592,0.8592,0.3424,0.6838,0.9037,0.8592,1.9736
46,0.8587,0.9637,0.8587,0.8586,0.3439,0.6863,0.9048,0.8587,1.4345
47,0.8563,0.9629,0.8563,0.8563,0.3471,0.6897,0.902,0.8563,2.0979
48,0.8609,0.9644,0.8609,0.8608,0.3446,0.6873,0.9062,0.8609,1.4361
49,0.8594,0.9646,0.8594,0.8591,0.3411,0.6808,0.906,0.8594,1.4938
50,0.8619,0.9649,0.8619,0.8618,0.3439,0.6871,0.9076,0.8619,1.4309
51,0.8595,0.9643,0.8595,0.8597,0.3399,0.6793,0.9063,0.8595,1.44
52,0.8662,0.9658,0.8662,0.8661,0.3363,0.6745,0.9103,0.8662,2.0282
53,0.8605,0.9645,0.8605,0.8606,0.3414,0.6825,0.9076,0.8605,1.5823
54,0.8619,0.9651,0.8619,0.8622,0.3396,0.6793,0.908,0.8619,2.1808
55,0.8616,0.9646,0.8616,0.8618,0.3372,0.6759,0.9076,0.8616,1.6855
56,0.8603,0.9651,0.8603,0.8606,0.3384,0.6763,0.9087,0.8603,1.9183
